"calendario","genero","institucion_de_procedencia","campus","program","gpa","igs","location_1"
"Calendario Académico 13-14","Femenino","0001300-E/S MARGARITA JANER PALACIOS","RIOPIEDRAS","200403 - Bachillerato en Artes en Educación Secundaria con concentración en Química","3.56","302","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Femenino","0001159-E/S LUZ AMERICA CALDERON BIRRIEL","CAROLINA","833104 - Bachillerato en Ciencias en Enfermería-Traslado Articulado RCM","3.60","298","
, PR 
(26.649497232000442, -98.34556876399967)"
"Calendario Académico 13-14","Masculino","0002973-ACADEMIA DEL PERPETUO SOCORRO","RIOPIEDRAS","201204 - Bachillerato en Ciencias con concentración en Química","4.00","365","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001774-E/S JOSE VIZCARRONDO ANESES","ARECIBO","841624 - Bachillerato en Ciencias Sociales concentración en Psicología Industrial Organizacional","4.00","310","
ANGELES, PR 
(39.52368635500045, -99.11415045099966)"
"Calendario Académico 13-14","Masculino","0002695-ACADEMIA SAN SEBASTIAN MARTIR","AGUADILLA","811606 - Bachillerato en Artes en Sociología-Traslado Articulado RUM","3.54","283","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Masculino","0002916-COLEGIO BAUTISTA DE CAROLINA","CAROLINA","832012 - Grado Asociado en Ingeniería Mecánica con concentración en Mantenimiento Industrial","2.80","248","
TRUJILLO ALTO, PR 
(18.380036652000456, -66.02360000199963)"
"Calendario Académico 13-14","Masculino","0001484-CENTRO RES DE OPORTUNIDADES EDUC (CROEM)","RUM","301205 - Bachillerato en Ciencias Matemáticas(2003)","3.82","383","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0002882-COLEGIO EVANGELICO CAPITAN CORREA","RIOPIEDRAS","200601 - Bachillerato en Artes en Estudios Generales","3.03","289","
ARECIBO, PR 
(18.494389977000424, -66.62700999999964)"
"Calendario Académico 13-14","Femenino","0001612-E/S CASIANO CEPEDA","CAROLINA","830410 - Bachillerato Artes Educ Sec concentración en Educación Ocupacional","3.83","265","
RIO GRANDE, PR 
(18.423009996000474, -65.82873668799965)"
"Calendario Académico 13-14","Femenino","0001752-E/S ADELA ROLON FUENTES","RUM","300703 - Bachillerato en Ciencias en Enfermería(2005)","3.93","330","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Masculino","0002864-CHRISTIAN MILITARY ACADEMY","UTUADO","823006 - Grado Asociado en Artes en Ciencias Sociales","3.03","222","
VEGA BAJA, PR 
(18.49414997700046, -66.40055999699962)"
"Calendario Académico 13-14","Masculino","0001400-E/S DOMINGO APONTE COLLAZO","ARECIBO","840703 - Bachillerato en Ciencias en Enfermería","2.59","306","
LARES, PR 
(18.368009988000438, -66.89100998399965)"
"Calendario Académico 13-14","Masculino","0002892-COLEGIO SAGRADOS CORAZONES","RIOPIEDRAS","201224 - Bachillerato en Ciencias de Cómputos","3.16","307","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
