"pr","km","sistema","municipio","descripci_n","a_o","aadt"
"1","37.2","Urban Primary","Caguas","Entre PR-172 y Ave Muñoz Marín","2014-01-01T00:00:00.000","12173"
"1","63.5","Secondary","Cayey","Entre PR-715 y PR-7722","2014-01-01T00:00:00.000","8231"
"1","56","Urban Primary","Cayey","Entre PR-14 y Acceso Autopista","2014-01-01T00:00:00.000","14741"
"1","76.1","Terciary","Salinas","Entre San Juan Southwest y PR-717","2014-01-01T00:00:00.000","645"
"1","123.1","Secondary","Ponce","Entre PR-506 R  y PR-52","2014-01-01T00:00:00.000","7380"
"1","2.8","Secondary","San Juan","Oeste PR-25","2014-01-01T00:00:00.000","24300"
"1","22","Secondary","Guaynabo","Entre PR-20 y PR-173","2014-01-01T00:00:00.000","43800"
"2","22.5","Urban Primary","Toa Baja","Entre PR-165 y PR-165/PR-693","2014-01-01T00:00:00.000","24255"
"2","55","Secondary","Barceloneta","Entre PR-140 Este y Median end","2014-01-01T00:00:00.000","20778"
"2","49.7","Secondary","Manatí","Entre PR-685 y PR-6685","2014-01-01T00:00:00.000","17969"
"2","165","Primary","Hormigueros","Entre PR-319 y PR-345 Este","2014-01-01T00:00:00.000","39016"
"2","36","Secondary","Vega Baja","Entre PR-160 y PR-676","2014-01-01T00:00:00.000","20360"
"2","188.4","Primary","Yauco","Oeste Yauco","2014-01-01T00:00:00.000","23230"
"3","80.7",,"Humacao","Entre Calle Flor Gerena y Calle A López","2014-01-01T00:00:00.000","9544"
"3","81.8","Urban Primary","Humacao","Entre PR-908 y PR-909","2014-01-01T00:00:00.000","11779"
"3","75.9","Terciary","Humacao","Este PR-53","2014-01-01T00:00:00.000","13370"
"3","29","Primary","Río Grande","Oeste PR-186","2014-01-01T00:00:00.000","35590"
"5","2.8","Urban Primary","Cataño","Entre PR-165/ El Caño y PR-22","2014-01-01T00:00:00.000","19975"
"8","1.4","Urban Primary","San Juan","Entre Simón Madera y Calle Iturregui","2014-01-01T00:00:00.000","47219"
"10","1","Primary","Ponce","Entre Entrada Aeropuerto y PR-52","2014-01-01T00:00:00.000","8297"
"10","75.7",,"Utuado","Sur PR-123","2014-01-01T00:00:00.000","11020"
"12","3","Primary","Ponce","Entre PR-52 y PR-2","2014-01-01T00:00:00.000","39007"
"12","0.4","Primary","Ponce","Entre Muelle Ponce y Calle Comercio","2014-01-01T00:00:00.000","5672"
"14","69","Secondary","Cayey","Entre Calle Malave y Calle Cesareo Rivera","2014-01-01T00:00:00.000","12369"
"15","25.2","Urban Primary","Cayey","Entre PR-1 y Calle V. Rodriguez","2014-01-01T00:00:00.000","12914"
"15","0.4","Urban Primary","Guayama","Entre Calle Pérez y Calle Bellón","2014-01-01T00:00:00.000","7966"
"17","1.7","Urban Primary","San Juan","Entre Ave San Patricio y Ave de Diego","2014-01-01T00:00:00.000","30366"
"22","80.4","Primary","Hatillo","Oeste PR-493","2014-01-01T00:00:00.000","31130"
"27","2.3","Urban Primary","San Juan","Entre PR-17 y Calle Francia","2014-01-01T00:00:00.000","37645"
"28","3.4","Terciary","Guaynabo","Entre Entrada Plaza Peaje Buchanan y PR-165","2014-01-01T00:00:00.000","17511"
"29","0.3","Terciary","Bayamón","Entre PR-2 y PR-872","2014-01-01T00:00:00.000","21486"
"30","24","Primary","Humacao","Oeste de Humacao","2014-01-01T00:00:00.000","60670"
"30","3.1",,"Caguas","Entre Ave R. Cordero y PR-189","2014-01-01T00:00:00.000","75320"
