"materiaano","metasanuales","tercero","cuarto","quinto","sexto","septimo","octavo","duodecimo"
"E06.07","49.53","59","57","53","42","44","41","51"
"M06.07","54.03","78","64","59","52","42","45","45"
"I06.07","34","55","56","48","51","48","50","55"
"E07.08","66.35","65","65","60","48","49","44","52"
"M07.08","69.35","82","72","62","60","44","47","44"
"I07.08","34","66","67","59","59","57","55","58"
"E08.09","66.35","47","37","39","45","35","36","35"
"M08.09","69.35","59","41","30","5","4","3","2"
"I08.09","34","53","38","38","48","29","34","44"
"E09.10","66.35","52","40","40","46","33","39","35"
"M09.10","69.35","65","48","37","9","6","7","4"
"I09.10","34","50","35","37","49","31","32","38"
"E10.11","83.18","54","44","44","48","37","45","38"
"M10.11","84.68","66","52","40","10","7","9","8"
"I10.11","34","53","36","40","50","32","37","41"
