"municipio_y_su_cuadro_telef_nico","nombre_de_la_biblioteca","director_o_encargado","direcci_n","tel_fax","correo_electr_nico"
"1. Adjuntas Cuadro: 829-3310 ","Biblioteca Municipal de Adjuntas ","Sr. Rafael Mirabal ","PO Box 1009 Adjuntas, PR 00601 ","Tel. 829-5039 ","NO TIENE CORREO ELECTRONICO "
"2. Aguada Cuadro: 868-6400 ","Biblioteca Municipal de Aguada ","Sra. María Lorenzo ",,"Tel. 252-4780 ","aguadabpm@yahoo.com "
"3. Aguadilla Cuadro:891-1005 ","1. Aguadilla Electronic Library 
2. Biblioteca Municipal Neris L. Crepo ","Sra. María Molina Cordero , Directora Desarrollo Tecnológico 
Sra. Mari Carmen Rosa Lugo, Oficial Ejecutivo ","PO Box 1008 V.S. Aguadilla Puerto Rico 00603 (para ambas bibliotecas)","Tel. 891-1005 Ext. 3264 
Fax 891-3267 
Tel. 890-3210 
Fax 890-3210 


","biby26@gmail.com 
biblioteca.sanantonio@gmail.com "
"4. Aguas Buenas Cuadro: 732-8621 ","Biblioteca Municipal del Municipio de Aguas Buenas ","Sra. Ninotshka Ramos Rivera Directora Oficina del Alcalde Damaris Reyes 787-732-0269 ","PO Box 128 Aguas Buenas, Puerto Rico 00703 ","Tel.732-4418 Fax 732-2004 ","Directora: Ninotshka Ramos Rivera nramos@aguasbuenaspr.net Secretaria: DianaTorres dtorres@aguasbuenaspr.net "
"5. Aibonito Cuadro: 375-8181 ","Biblioteca Municipal de Aibonito ","Sra. Sandra Rivera Directora de Cultura y Turismo ",,"Tel. 735-8181 ","aibonitoprensa@gmail.com Sra. Sandra Rivera "
"6. Añasco Cuadro: 826-3100 ","Biblioteca Pública Municipal de Añasco ","Sr. Domingo Feliciano Programas Federales ",,"Fax 826-1580 ","NO TIENE CORREO ELECTRONICO "
"7. Arecibo Cuadro: 333-1063 ","Biblioteca Municipal Nicolás Nabal Barreto ","Sra. Yomayra Robles Arce Encargada ","210 Ave Santiago Iglesias, Arecibo, PR 00612 ","Tel. 878-1178 ","bibliotecaarecibo@gmail.com "
"8. Arroyo Cuadro: 839-3500 ","BIBLIOTECA MUNICIPAL EN REPARACIONES ","Sr. Luis Sánchez Mariani Encargado ",,"Tel.839-3500 ext. 228 ","BIBLIOTECA MUNICIPAL EN REPARACIONES "
"9. Barceloneta Cuadro: 846-3400 ","Biblioteca Electrónica Sixto Escobar ","Sra. Leticia Rodríguez Torrado ",,"Tel. 846-3400, ext. 411 ","leticiarodrigueztorrado@yahoo.com bibliotecaelectronica_se@yahoo.com "
"10. Barranquitas Cuadro: 857-2065 ","Biblioteca Municipal de Barranquitas ","Sra. Blanca Rivera Rivera Persona Encargada ","PO Box 250, Barranquitas PR 00794 ","Tel.857-6661 Fax: 857-4946 ","nvazquez@ciudadbarranquitas.com blaive2002@yahoo.com "
"11. Bayamón Cuadro: 780-5552 ","Biblioteca Municipal Dra. Pilar Barbosa ","Sra. Gladys Gallardo Janer Directora ","PO Box 1588, Bayamón PR 00960 ","Tel. 787 -5189 Tel. 787-5181 Fax: 785 2763 ","oabayamon@yahoo.com "
"12. Cabo Rojo Cuadro: 851-1025 ","Biblioteca Municipal Blanca Colberg Ramirez ","Sr. Jorge Nicolay Avilés ","Apartado 1308, Cabo Rojo, PR 00623 ","Tel. 851-2284 ","bibliotecablancacolbert@yahoo.com "
"13. Caguas Cuadro: 746-6100 ","Biblioteca Municipal Dr. Pedro Albizu Campos ","Sra. Idalia Díaz Colón ","PO Box 907, Caguas, PR 00726 ","Tel.743-5348 Tel. 745-0840 ","bibliotdrpedroalbizu@gmail.com "
"14. Camuy Cuadro: 898-2160 ","Biblioteca Pública Municipal de Camuy Mayra Marchand de Benítez ","Sra. Daisy Rodríguez ",,"Tel.898-2280 ","bibliotecacamuy@gmail.com rodriguezdaisy@gmail.com "
"15. Canóvanas Cuadro: 876-2328 ","1.Biblioteca Municipal de Campo Rico 2.Biblioteca Municipal de la Central 3.Biblioteca Municipal San Isidro ","Sra. Rosalyn Correa Directora de las 3 Bibliotecas ",,"1. 957-0774 2. 256-2840 3. 876-0745 ","comunicacionesgmc@yahoo.com "
"16. Carolina Cuadro: 757-2626 ","Oficina de Sistemas Bibliotecarios (agrupa todas las bibliotecas municipales de Carolina) ","Sra. Azlyn Pérez Soto Directora Lucy Méndez Secretaria ",,"Tel. 276-1065 ","azperez@carolina.gobierno.pr lmendez@carolina.gobierno.pr "
"17. Cataño Cuadro: 788-0404 ","Biblioteca Municipal Alberto Dávila Fuertes. ","Carmen M. Cintrón de Estévez Directora Eneyda Guzmán Bibliotecaria encargada ","Ave Las Nereidas 115 PO Box 428 Cataño, PR 00963 ","Tel. 788-8808 Ext 6660-6667 ","ccintron@catano.gobierno.pr oaebi2012@gmail.com itaesteves@gmail.com "
"18.Cayey Cuadro: 738-3211 ","Biblioteca Municipal de Cayey ","Sra. Elba I. Hernández Santos Directora ","PO Box 371330 Cayey, PR 00736 ","Tel. 263-0574 ","elbita20022002@yahoo.com "
"19. Ceiba Cuadro: 885-2180 ","Biblioteca Municipal de Ceiba ","Sra. Rosa A. Prieto ",,"Tel. 885-2606 ","raprietocastillo@gmail.com "
"20. Ciales Cuadro: 871-3500 ","Biblioteca Pública María Isabel Blanco de Hidalgo ","Sra. María Montijo Directora ",,"Tel. 871-4075 ","bibliotecapublicaciales@yahoo.com "
"21. Cidra Cuadro: 434-1400 ","Biblioteca Electrónica Municipal de Cidra ","Sr. Juan Colón Bibliotecario ","PO Box 729 Cidra, PR 00739 ","Tel. 714-0535 Fax 714-0580 ","juan0499@yahoo.com Sr. Juan Colón "
"22. Coamo Cuadro: 825-1150 ","Ya no tienen Biblioteca Municipal ahora es el Centro Cibernético de la UIA ",,,,"NO TIENEN BIBLIOTECA MUNICIPAL "
