"fch_cerrado","region","oficina","familias"
"201304","CAGUAS              ","SAN LORENZO         ","49.0"
"201403","CAGUAS              ","SAN LORENZO         ","51.0"
"201403","CAGUAS              ","GURABO              ","39.0"
"201401","BAYAMON             ","DORADO              ","34.0"
"201210","SAN JUAN            ","GUAYNABO 1          ","34.0"
"201305","CAROLINA            ","CAROLINA 2          ","43.0"
"201308","CAGUAS              ","COMERIO             ","27.0"
"201312","BAYAMON             ","VEGA BAJA 2         ","38.0"
"201211","GUAYAMA             ","CAYEY               ","62.0"
"201409","ARECIBO             ","ARECIBO 1           ","73.0"
"201405","SAN JUAN            ","RIO PIEDRAS 1       ","28.0"
"201402","CAGUAS              ","SAN LORENZO         ","44.0"
"201305","BAYAMON             ","BAYAMON 3           ","88.0"
"201311","PONCE               ","CASTAÑER            ","7.0"
"201301","HUMACAO             ","VIEQUES             ","15.0"
"201211","PONCE               ","GUAYANILLA          ","37.0"
"201301","DESCONOCIDA         ","DESCONOCIDA         ","9.0"
"201402","CAGUAS              ","COMERIO             ","24.0"
"201304","PONCE               ","CASTAÑER            ","3.0"
"201306","HUMACAO             ","CULEBRA             ","2.0"
"201303","BAYAMON             ","VEGA BAJA 1         ","30.0"
"201305","HUMACAO             ","FAJARDO             ","66.0"
"201210","HUMACAO             ","NAGUABO             ","37.0"
"201408","ARECIBO             ","HATILLO             ","53.0"
"201212","ARECIBO             ","CIALES              ","26.0"
"201406","HUMACAO             ","HUMACAO             ","85.0"
"201210","MAYAGÜEZ            ","GUANICA             ","33.0"
"201306","BAYAMON             ","CATAÑO              ","19.0"
"201407","PONCE               ","OROCOVIS            ","53.0"
"201403","BAYAMON             ","TOA BAJA 2          ","24.0"
"201310","PONCE               ","COAMO               ","72.0"
"201310","CAGUAS              ","AGUAS BUENAS        ","27.0"
"201305","SAN JUAN            ","RIO PIEDRAS 4       ","28.0"
"201312","HUMACAO             ","VIEQUES             ","22.0"
"201312","HUMACAO             ","CULEBRA             ","1.0"
"201312","AGUADILLA           ","AGUADILLA 1         ","25.0"
"201311","CAROLINA            ","RIO GRANDE 1        ","69.0"
"201302","GUAYAMA             ","ARROYO              ","48.0"
"201308","CAGUAS              ","SAN LORENZO         ","51.0"
"201304","BAYAMON             ","TOA ALTA            ","44.0"
"201312","SAN JUAN            ","RIO PIEDRAS 2       ","47.0"
"201402","CAGUAS              ","CIDRA               ","63.0"
"201310","HUMACAO             ","JUNCOS              ","54.0"
"201406","SAN JUAN            ","RIO PIEDRAS 1       ","38.0"
"201401","AGUADILLA           ","AGUADILLA 2         ","46.0"
"201406","GUAYAMA             ","SANTA ISABEL        ","27.0"
"201301","ARECIBO             ","LARES               ","38.0"
"201212","BAYAMON             ","BAYAMON 2           ","52.0"
"201305","MAYAGÜEZ            ","LAJAS               ","40.0"
"201402","MAYAGÜEZ            ","CABO ROJO           ","36.0"
"201309","SAN JUAN            ","RIO PIEDRAS 1       ","38.0"
"201308","PONCE               ","CASTAÑER            ","5.0"
"201403","CAROLINA            ","CAROLINA 1          ","33.0"
"201302","CAGUAS              ","CAGUAS              ","182.0"
"201309","BAYAMON             ","VEGA BAJA 2         ","30.0"
"201405","BAYAMON             ","TOA BAJA 2          ","39.0"
"201305","PONCE               ","PEÑUELAS            ","55.0"
"201212","CAGUAS              ","BARRANQUITAS        ","29.0"
"201301","BAYAMON             ","VEGA ALTA           ","31.0"
"201308","PONCE               ","COAMO               ","69.0"
"201308","CAROLINA            ","CANOVANAS           ","36.0"
"201311","AGUADILLA           ","AGUADILLA 2         ","50.0"
