"n_mero_de_panel","fecha_vigencia_panel","a_o_vigencia_panel","municipio","sector","barrio","link_a_imagen"
"72000C0020J","2009-11-18T00:00:00.000","2009",,"Atlantic",,"https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009","Aguadilla","Atlantic","Maleza Alta","https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009","Aguadilla","Atlantic","Maleza Baja","https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009",,"Las Villas",,"https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009","Aguadilla","Las Villas","Borinquen","https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009","Aguadilla","Las Villas","Maleza Baja","https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009",,"Martinico",,"https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009","Aguadilla","Martinico","Maleza Alta","https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009","Aguadilla","Martinico","Maleza Baja","https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
"72000C0020J","2009-11-18T00:00:00.000","2009",,,,"https://data.pr.gov/views/wcqc-ktkp/files/7284ec53-538d-4b55-86db-a23686cfb104?filename=72000C0020J.png&content_type=image%2Fpng%3B+charset%3Dbinary"
