"num_aep","edificios","municipio","regi_n","direcci_n_f_sica","latitud","longitud","location"
"2110","CENTRO GUBERNAMENTAL","BAYAMÓN","ADMINISTRADOR&FA","PASEO DEL PARQUE EDIFICIO A, CALLE PARQUE ESQ. BETANCES, AL LADO ESC. SUP. AGUSTÍN STAHL DETRÁS DE LA BIBLIOTECA MUNICIPAL DRA. PILAR BARBOSA, BAYAMÓN-P.O. BOX 55455, STATION 1, BAYAMÓN, P.R. 00960","18.3998556323","-66.1595420944","(18.3998556323, -66.1595420944)"
"2130","CENTRO GUBERNAMENTAL","CAGUAS","ADMINISTRADOR","CALLE ACOSTA, ESQUINA GOYCO, FRENTE AL TERMINAL CARROS PÚBLICOS, CAGUAS, P.R. ","18.2359965222","-66.0321410244","(18.2359965222, -66.0321410244)"
"2150","CENTRO GUBERNAMENTAL","CAROLINA","ADMINISTRADOR","CARRETERA 874 KM. 3.4, URB. ROSA MARÍA ESQ. CALLE 2, CAROLINA, P.R.","18.3834179841","-65.9542227349","(18.3834179841, -65.9542227349)"
"2300","CENTRO GUBERNAMENTAL","GUAYNABO","ADMINISTRADOR&FA","CARRETETRA NÚM. 20 CALLE PARQUE DE LOS NIÑOS, GUAYNABO, P.R.","18.3618092658","-66.1120674889","(18.3618092658, -66.1120674889)"
"1120","CENTRO GUBERNAMENTAL ROBERTO SÁNCHEZ VILELLA","MINILLAS","ADMINISTRADOR&FA","AVE. DE DIEGO, PARADA 22 SANTURCE, P.R.","18.4490448374","-66.067434268","(18.4490448374, -66.067434268)"
"1040","CENTRO GUBERNAMENTAL","PUERTO NUEVO","ADMINISTRADOR&FA","AVE. ROOSEVELT PUERTO NUEVO, HATO REY, SAN JUAN, P.R.","18.4133199998","-66.0853699988","(18.4133199998, -66.0853699988)"
"1030","DEPARTAMENTO DE HACIENDA INTENDENTE A. RAMÍREZ","SAN JUAN","ADMINISTRADOR&FA","PASEO COVADONGA NÚM. 10 SAN JUAN, P.R. 00902","18.4650024334","-66.1094697508","(18.4650024334, -66.1094697508)"
"2030","CENTRO GUBERNAMENTAL MIGUEL GARCÍA MÉNDEZ","AGUADILLA","ADMINISTRADOR","CALLE LUIS MUÑOZ RIVERA, ESQUINA BETANCES CERCA DEL PARQUE EL PARTERRE Y LA GUARDIA MUNICIPAL, CENTRO DEL PUEBLO, AGUADILLA, P.R.","18.4327099992","-67.1548800023","(18.4327099992, -67.1548800023)"
"1260","EDIFICIO LOTERÍA DE P.R.","SAN JUAN","ADMINISTRADOR&FA","AVE. CHARDÓN, HATO REY, SAN JUAN, P.R.","18.4257208362","-66.06189611","(18.4257208362, -66.06189611)"
"2020","CENTRO GUBERNAMENTAL","AGUADA","AGUADILLA","CALLE M. BENÍTEZ, AGUADA, P.R.","18.3814399995","-67.1948999977","(18.3814399995, -67.1948999977)"
"2140","CENTRO GUBERNAMENTAL","CAMUY","AGUADILLA","CARR. 485  KM. 0.2 CAMUY, P.R.","18.4869815721","-66.8469839521","(18.4869815721, -66.8469839521)"
"2350","CENTRO GUBERNAMENTAL","ISABELA","AGUADILLA","AVE. JUAN HERNÁNDEZ ORTIZ, ISABELA, P.R.","18.4986000009","-67.0232699981","(18.4986000009, -67.0232699981)"
"2490","CENTRO GUBERNAMENTAL","MOCA","AGUADILLA","CALLE BALDORIOTY DE CASTRO, MOCA, P.R.","18.3932100011","-67.1119200016","(18.3932100011, -67.1119200016)"
"2070","CENTRO GUBERNAMENTAL","ARECIBO","ARECIBO","AVE. CEDEÑO, FRENTE AL CENTRO COMERCIAL PUEBLO XTRA, ARECIBO, P.R.","18.4708099985","-66.7255600014","(18.4708099985, -66.7255600014)"
"2073","CENTRO CAMBIO DE LA LOTERÍA","ARECIBO","ARECIBO","CALLE GONZALO MARÍN NUM. 63, ARECIBO, P.R.","18.472634","-66.7124466","(18.472634, -66.7124466)"
