"month_year","online","paper","combined"
"2011-05-01T00:00:00.000","687","697","1384"
"2011-06-01T00:00:00.000","1048","375","1423"
"2011-07-01T00:00:00.000","898","303","1201"
"2011-08-01T00:00:00.000","880","289","1169"
"2011-09-01T00:00:00.000","1045","371","1416"
"2011-10-01T00:00:00.000","1056","272","1328"
"2011-11-01T00:00:00.000","913","189","1102"
"2011-12-01T00:00:00.000","805","196","1001"
"2012-01-01T00:00:00.000","1138","138","1276"
"2012-02-01T00:00:00.000","1167","155","1322"
"2012-03-01T00:00:00.000","1223","189","1412"
"2012-04-01T00:00:00.000","1061","177","1238"
"2012-05-01T00:00:00.000","1194","186","1380"
"2012-06-01T00:00:00.000","1116","134","1250"
"2012-07-01T00:00:00.000","937","115","1052"
"2012-08-01T00:00:00.000","1113","115","1228"
"2012-09-01T00:00:00.000","1058","103","1161"
"2012-10-01T00:00:00.000","1156","105","1261"
"2012-11-01T00:00:00.000","767","71","838"
"2012-12-01T00:00:00.000","833","77","910"
"2013-01-01T00:00:00.000","1323","116","1439"
"2013-02-01T00:00:00.000","1297","104","1401"
"2013-03-01T00:00:00.000","1177","115","1292"
"2013-04-01T00:00:00.000","1252","153","1405"
"2013-05-01T00:00:00.000","1216","144","1360"
"2013-06-01T00:00:00.000","1076","116","1192"
"2013-07-01T00:00:00.000","999","105","1104"
"2013-08-01T00:00:00.000","1244","123","1367"
"2013-09-01T00:00:00.000","1040","98","1138"
"2013-10-01T00:00:00.000","1061","111","1172"
"2013-11-01T00:00:00.000","817","100","917"
"2013-12-01T00:00:00.000","788","108","896"
"2014-01-01T00:00:00.000","1150","117","1267"
"2014-02-01T00:00:00.000","1048","124","1172"
"2014-03-01T00:00:00.000","1239","106","1345"
"2014-04-01T00:00:00.000","1088","87","1175"
"2014-05-01T00:00:00.000","1212","87","1299"
"2014-06-01T00:00:00.000","1111","106","1217"
"2014-07-01T00:00:00.000","985","71","1056"
"2014-08-01T00:00:00.000","1078","92","1170"
"2014-09-01T00:00:00.000","1158","158","1316"
"2014-10-01T00:00:00.000","1097","157","1254"
