"fips_state_code","state","industry_code_6_digit_naics_code","industry_description","data_suppression_flag","total_mid_march_employees_noise_flag_see_all_noise_flag_definitions_at_the_end_of_this_record_layout","total_mid_march_employees_with_noise","total_first_quarter_payroll_noise_flag","total_first_quarter_payroll_1_000_with_noise","total_annual_payroll_noise_flag","total_annual_payroll_1_000_with_noise","total_number_of_establishments","data_suppression_flag_1_4_employee_size_class","mid_march_employees_noise_flag_1_4_employee_size_class","mid_march_employees_with_noise_1_4_employee_size_class","first_quarter_payroll_noise_flag_1_4_employee_size_class","first_quarter_payroll_1000_with_noise_1_4_employee_size_class","annual_payroll_noise_flag_1_4_employee_size_class","annual_payroll_1000_with_noise_1_4_employee_size_class","number_of_establishments_1_4_employee_size_class","data_suppression_flag_5_9_employee_size_class","mid_march_employees_noise_flag_5_9_employee_size_class","mid_march_employees_with_noise_5_9_employee_size_class","first_quarter_payroll_noise_flag_5_9_employee_size_class","first_quarter_payroll_1000_with_noise_5_9_employee_size_class","annual_payroll_noise_flag_5_9_employee_size_class","annual_payroll_1000_with_noise_5_9_employee_size_class","number_of_establishments_5_9_employee_size_class","data_suppression_flag_10_19_employee_size_class","mid_march_employees_noise_flag_10_19_employee_size_class","mid_march_employees_with_noise_10_19_employee_size_class","first_quarter_payroll_noise_flag_10_19_employee_size_class","first_quarter_payroll_1000_with_noise_10_19_employee_size_class","annual_payroll_noise_flag_10_19_employee_size_class","annual_payroll_1000_with_noise_10_19_employee_size_class","number_of_establishments_10_19_employee_size_class","data_suppression_flag_20_49_employee_size_class","mid_march_employees_noise_flag_20_49_employee_size_class","mid_march_employees_with_noise_20_49_employee_size_class","first_quarter_payroll_noise_flag_20_49_employee_size_class","first_quarter_payroll_1000_with_noise_20_49_employee_size_class","annual_payroll_noise_flag_20_49_employee_size_class","annual_payroll_1000_with_noise_20_49_employee_size_class","number_of_establishments_20_49_employee_size_class","data_suppression_flag_50_99_employee_size_class","mid_march_employees_noise_flag_50_99_employee_size_class","mid_march_employees_with_noise_50_99_employee_size_class","first_quarter_payroll_noise_flag_50_99_employee_size_class","first_quarter_payroll_1000_with_noise_50_99_employee_size_class","annual_payroll_noise_flag_50_99_employee_size_class","annual_payroll_1000_with_noise_50_99_employee_size_class","number_of_establishments_50_99_employee_size_class","data_suppression_flag_100_249_employee_size_class","mid_march_employees_noise_flag_100_249_employee_size_class","mid_march_employees_with_noise_100_249_employee_size_class","first_quarter_payroll_noise_flag_100_249_employee_size_class","first_quarter_payroll_1000_with_noise_100_249_employee_size_class","annual_payroll_noise_flag_100_249_employee_size_class","annual_payroll_1000_with_noise_100_249_employee_size_class","number_of_establishments_100_249_employee_size_class","data_suppression_flag_250_499_employee_size_class","mid_march_employees_noise_flag_250_499_employee_size_class","mid_march_employees_with_noise_250_499_employee_size_class","first_quarter_payroll_noise_flag_250_499_employee_size_class","first_quarter_payroll_1000_with_noise_250_499_employee_size_class","annual_payroll_noise_flag_250_499_employee_size_class","annual_payroll_1000_with_noise_250_499_employee_size_class","number_of_establishments_250_499_employee_size_class","data_suppression_flag_500_999_employee_size_class","mid_march_employees_noise_flag_500_999_employee_size_class","mid_march_employees_with_noise_500_999_employee_size_class","first_quarter_payroll_noise_flag_500_999_employee_size_class","first_quarter_payroll_1000_with_noise_500_999_employee_size_class","annual_payroll_noise_flag_500_999_employee_size_class","annual_payroll_1000_with_noise_500_999_employee_size_class","number_of_establishments_500_999_employee_size_class","data_suppression_flag_1000_or_more_employee_size_class","mid_march_employees_noise_flag_1000_or_more_employee_size_class","mid_march_employees_with_noise_1000_or_more_employee_size_class","first_quarter_payroll_noise_flag_1000_or_more_employee_size_class","first_quarter_payroll_1000_with_noise_1000_or_more_employee_size_class","annual_payroll_noise_flag_1000_or_more_employee_size_class","annual_payroll_1000_with_noise_1000_or_more_employee_size_class","number_of_establishments_1_000_or_more_employee_size_class","census_state_code"
"72","Puerto Rico","------","Total for all sectors",,"0 to < 2% noise (low noise)","687836","0 to < 2% noise (low noise)","4297941","0 to < 2% noise (low noise)","17161875","44585",,"0 to < 2% noise (low noise)","46420","0 to < 2% noise (low noise)","226481","0 to < 2% noise (low noise)","1036926","24714",,"0 to < 2% noise (low noise)","55977","0 to < 2% noise (low noise)","276580","0 to < 2% noise (low noise)","1126882","8517",,"0 to < 2% noise (low noise)","72605","0 to < 2% noise (low noise)","365341","0 to < 2% noise (low noise)","1479962","5421",,"0 to < 2% noise (low noise)","112803","0 to < 2% noise (low noise)","617293","0 to < 2% noise (low noise)","2476594","3707",,"0 to < 2% noise (low noise)","81504","0 to < 2% noise (low noise)","504078","0 to < 2% noise (low noise)","2007771","1192",,"0 to < 2% noise (low noise)","103420","0 to < 2% noise (low noise)","674309","0 to < 2% noise (low noise)","2731278","675",,"0 to < 2% noise (low noise)","80173","0 to < 2% noise (low noise)","593766","0 to < 2% noise (low noise)","2260112","223",,"0 to < 2% noise (low noise)","65854","0 to < 2% noise (low noise)","539388","0 to < 2% noise (low noise)","2119864","98",,"0 to < 2% noise (low noise)","69080","0 to < 2% noise (low noise)","500705","0 to < 2% noise (low noise)","1922486","38","6"
"72","Puerto Rico","11----","Agriculture, Forestry, Fishing and Hunting",,"2 to < 5% noise (medium noise)","165","2 to < 5% noise (medium noise)","230","2 to < 5% noise (medium noise)","1188","8","0-19","Withheld because estimate did not meet publication standards. Employment or payroll field set to zero.","0","Withheld because estimate did not meet publication standards. Employment or payroll field set to zero.","0","2 to < 5% noise (medium noise)","58","6","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","Puerto Rico","113///","Forestry and Logging","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","Puerto Rico","1133//","Logging","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","Puerto Rico","423410","Photographic Equipment and Supplies Merchant Wholesalers",,"0 to < 2% noise (low noise)","36","0 to < 2% noise (low noise)","259","0 to < 2% noise (low noise)","1084","3",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","36","0 to < 2% noise (low noise)","259","0 to < 2% noise (low noise)","1084","3",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","Puerto Rico","11331/","Logging","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","Puerto Rico","113310","Logging","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","Puerto Rico","115///","Support Activities for Agriculture and Forestry","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","7","0-19","Withheld because estimate did not meet publication standards. Employment or payroll field set to zero.","0","Withheld because estimate did not meet publication standards. Employment or payroll field set to zero.","0","2 to < 5% noise (medium noise)","49","5","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","Puerto Rico","1151//","Support Activities for Crop Production","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","4","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","Puerto Rico","11511/","Support Activities for Crop Production","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","4","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
