"fipstate","naics","description","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","f1_4","e1_4nf","e1_4","q1_4nf","q1_4","a1_4nf","a1_4","n1_4","f5_9","e5_9nf","e5_9","q5_9nf","q5_9","a5_9nf","a5_9","n5_9","f10_19","e10_19nf","e10_19","q10_19nf","q10_19","a10_19nf","a10_19","n10_19","f20_49","e20_49nf","e20_49","q20_49nf","q20_49","a20_49nf","a20_49","n20_49","f50_99","e50_99nf","e50_99","q50_99nf","q50_99","a50_99nf","a50_99","n50_99","f100_249","e100_249nf","e100_249","q100_249nf","q100_249","a100_249nf","a100_249","n100_249","f250_499","e250_499nf","e250_499","q250_499nf","q250_499","a250_499nf","a250_499","n250_499","f500_999","e500_999nf","e500_999","q500_999nf","q500_999","a500_999nf","a500_999","n500_999","f1000","e1000nf","e1000","q1000nf","q1000","a1000nf","a1000","n1000","censtate"
"72","------","Total for all sectors",,"0 to < 2% noise (low noise)","677974","0 to < 2% noise (low noise)","4319132","0 to < 2% noise (low noise)","17315903","43620",,"0 to < 2% noise (low noise)","44701","0 to < 2% noise (low noise)","241927","0 to < 2% noise (low noise)","1087433","24145",,"0 to < 2% noise (low noise)","54511","0 to < 2% noise (low noise)","278603","0 to < 2% noise (low noise)","1135014","8321",,"0 to < 2% noise (low noise)","71207","0 to < 2% noise (low noise)","369913","0 to < 2% noise (low noise)","1507465","5320",,"0 to < 2% noise (low noise)","110043","0 to < 2% noise (low noise)","592410","0 to < 2% noise (low noise)","2422217","3655",,"0 to < 2% noise (low noise)","77583","0 to < 2% noise (low noise)","493987","0 to < 2% noise (low noise)","1978677","1119",,"0 to < 2% noise (low noise)","104229","0 to < 2% noise (low noise)","655364","0 to < 2% noise (low noise)","2669638","685",,"0 to < 2% noise (low noise)","81917","0 to < 2% noise (low noise)","629693","0 to < 2% noise (low noise)","2449925","233",,"0 to < 2% noise (low noise)","67158","0 to < 2% noise (low noise)","561360","0 to < 2% noise (low noise)","2094201","101",,"0 to < 2% noise (low noise)","66625","0 to < 2% noise (low noise)","495875","0 to < 2% noise (low noise)","1971333","41","6"
"72","11----","Agriculture, Forestry, Fishing and Hunting",,"2 to < 5% noise (medium noise)","172","2 to < 5% noise (medium noise)","414","2 to < 5% noise (medium noise)","1417","14",,">= 5% noise (high noise)","16","2 to < 5% noise (medium noise)","41","2 to < 5% noise (medium noise)","200","11","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","113///","Forestry and Logging",,"0 to < 2% noise (low noise)","2",">= 5% noise (high noise)","4","2 to < 5% noise (medium noise)","44","3",,"0 to < 2% noise (low noise)","2",">= 5% noise (high noise)","4","2 to < 5% noise (medium noise)","44","3",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","1132//","Forest Nurseries and Gathering of Forest Products","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","11321/","Forest Nurseries and Gathering of Forest Products","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","113210","Forest Nurseries and Gathering of Forest Products","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","1133//","Logging","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","11331/","Logging","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","113310","Logging","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
"72","115///","Support Activities for Agriculture and Forestry",,"2 to < 5% noise (medium noise)","170","2 to < 5% noise (medium noise)","410","2 to < 5% noise (medium noise)","1373","11",,">= 5% noise (high noise)","14","2 to < 5% noise (medium noise)","37","2 to < 5% noise (medium noise)","156","8","0-19","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","2",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","100-249","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","Withheld to avoid disclosing data for individual companies; data are included in higher level totals. Employment or payroll field set to zero.","0","1",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0",,"0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0 to < 2% noise (low noise)","0","0","6"
