"anos","total_de_la_deuda","autoridad_de_acueductos_y_alcantarillados","bonos","pagares","autoridad_de_carreteras","bonos1","pagares1","autoridad_de_edificios_publicos","bonos2","pagares2","autoridad_de_energia_electrica","bonos3","pagares3","autoridad_de_puertos","bonos4","pagares4","compania_fomento_industrial","bonos5","pagares5","universidad_de_puerto_rico","bonos6","pagares6","otras_corporaciones_publicas","bonos7","pagares7"
"2003","20866","652","474","179","5273","5273","0","2172","2087","85","4815","4630","185","380","87","292","266","161","104","431","430","1","6877","5846","1032"
"2004","23377","717","500","217","5799","5799","0","2898","2989","0","5219","5032","187","393","79","314","338","301","37","425","409","16","7588","5945","1643"
"2005","25504","982","523","459","6045","5770","275","2932","2920","12","5644","5364","280","493","75","418","331","292","39","440","392","48","8637","6407","2230"
"2006","27210","1418","505","913","6492","6462","30","2990","2885","106","5631","5246","385","494","71","424","351","281","70","453","374","80","9477","0","0"
"2007","29796","1956","487","1469","6688","6494","194","3032","2828","204","6600","5695","905","611","66","544","352","271","81","625","605","20","9934","0","0"
"2008","34321","2591","1938","653","6912","6428","484","3174","3009","75","7317","6195","1122","686","61","624","353","264","89","619","585","34","12670","9872","2798"
"2009","40044","2960","1933","1027","7095","6344","751","3229","3047","182","7248","6031","1217","725","59","666","347","258","89","620","569","51","17819","15174","2645"
"2010","43288","3316","1943","1373","7169","6240","929","3316","3154","162","7478","7423","55","737","46","691","336","247","89","554","554","0","20381","17873","2503"
"2011","45042","3622","1937","1685","7414","6120","1294","3470","3070","400","7972","7781","191","738","46","692","324","235","89","627","533","94","20876","18183","2693"
"2012","49045","4652","4092","560","6999","5117","1882","4509","4372","137","8849","8234","615","283","46","237","310","222","88","588","511","78","22854","19570","3284"
