"ps","pobl","pmb","area","compl","nro_edif","tiposecurb","urb","ste","nro","nro_apart","tipo_via","calle","sector","cod_post","pais","x","y","lat","lon","location"
"174523","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1046",,"CALLE","LUIS CORDOVA CHIRINO",,"924","PR","245873","263379","18.4055","-65.9992","(18.4055, -65.9992)"
"174511","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1042",,"CALLE","LUIS CORDOVA CHIRINO",,"924","PR","245853","263392","18.4056","-65.9994","(18.4056, -65.9994)"
"174502","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1040",,"CALLE","LUIS CORDOVA CHIRINO",,"924","PR","245844","263401","18.4057","-65.9994","(18.4057, -65.9994)"
"174473","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1024",,"CALLE","LUIS CORDOVA CHIRINO",,"924","PR","245763","263465","18.4062","-66.0002","(18.4062, -66.0002)"
"174472","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1022",,"CALLE","LUIS CORDOVA CHIRINO",,"924","PR","245751","263473","18.4063","-66.0003","(18.4063, -66.0003)"
"174316","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1101",,"CALLE","CELIA CESTERO",,"924","PR","245879","263327","18.405","-65.9991","(18.405, -65.9991)"
"174314","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"700",,"CALLE","FERNANDO CALLEJO",,"924","PR","243522","263410","18.4058","-66.0214","(18.4058, -66.0214)"
"174300","SAN JUAN","SABANA LLANA SUR",,,,"URB","TOWN PARK",,"A-5",,"CALLE","VOLTURNO",,"924","PR","242753","261781","18.3910943","-66.028738","(18.3910943, -66.028738)"
"174269","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1109",,"CALLE","CELIA CESTERO",,"924","PR","245914","263297","18.4047","-65.9988","(18.4047, -65.9988)"
"174251","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1110",,"CALLE","CELIA CESTERO",,"924","PR","245917","263267","18.4045","-65.9988","(18.4045, -65.9988)"
"174237","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"709",,"CALLE","JULIO C ARTEAGA",,"924","PR","243572","263379","18.4055","-66.0209","(18.4055, -66.0209)"
"174236","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"707",,"CALLE","JULIO C ARTEAGA",,"924","PR","243561","263380","18.4055","-66.0211","(18.4055, -66.0211)"
"174232","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"703",,"CALLE","JULIO C ARTEAGA",,"924","PR","243535","263376","18.4055","-66.0213","(18.4055, -66.0213)"
"174231","SAN JUAN","SABANA LLANA NORTE",,,,"URB","VILLA PRADES",,"701",,"CALLE","JULIO C ARTEAGA",,"924","PR","243523","263377","18.4055","-66.0214","(18.4055, -66.0214)"
"174185","SAN JUAN","SABANA LLANA NORTE",,,,"URB","COUNTRY CLUB",,"1046",,"CALLE","CELIA CESTERO",,"924","PR","245844","263324","18.405","-65.9995","(18.405, -65.9995)"
