"table_id","codigo","escuela","region","distrito","municipio_escolar","direccio_fisica","direccion_municipio","direccio_estado","direccion_zipcode","geolocalizacion","telefono","fax","director","zona","estatus_actual","nivel_original","grados_original","grados_posterior","matricula_total","grado_infant","grado_toddler","grado_pk","grado_pke","grado_pkm","grado_k","grado_1","grado_2","grado_3","grado_4","grado_5","grado_6","grado_sge","grado_7","grado_8","grado_9","grado_sgi","grado_10","grado_11","grado_12","grado_sgs","espa_ol_proficiente_avanzado","espa_ol_pre_b_sico","espa_ol_b_sico","espa_ol_proficiente","espa_ol_avanzado","matem_ticas_proficiente_avanzado","matem_ticas_pre_b_sico","matem_ticas_b_sico","matem_ticas_proficiente","matem_ticas_avanzado","ingl_s_proficiente_avanzado","ingl_s_pre_b_sico","ingl_s_b_sico","ingl_s_proficiente","ingl_s_avanzado","bajo_nivel_pobreza"
"1","35295","20 DE SEPTIEMBRE DE 1988","HUMACAO","FAJARDO","VIEQUES","CARR ESTATAL 200 ESQ CARR ESTATAL 993","VIEQUES","PR","00765-1554","(18.14372, -65.44178)","741-3091","876-2804","MYRIAM R RODRIGUEZ RODRIGUEZ","URBANA","SI","INTERMEDIO","7 - 9 , EEI","7 - 9 , EEI","218",,,,,,,,,,,,"74",,"71","61",,"12",,,,,"21.56","40.83","37.61","14.68","6.88","1.38","45.87","52.75","1.38","0","19.27","54.59","26.15","14.22","5.05","86.24"
"759","57323","MIGUEL GONZALEZ BAUZA","PONCE","YAUCO","PEÑUELAS","BO QUEBRADA CALLE 1 SECT CARACOLES","PENUELAS","PR","00624-0000","(18.05554, -66.71168)","836-2597","836-2597","GLORIA GARCIA","RURAL","SI","ELEMENTAL","PK - 6 , EEE","PK - 6 , EEE","280",,,,"5",,"32","37","49","40","33","40","37","7",,,,,,,,,"30.72","16.99","52.29","15.69","15.03","29.41","17.65","52.94","16.99","12.42","17.88","41.72","40.40","9.27","8.61","86.69"
"760","23218","MIGUEL MELENDEZ MUNOZ","CAGUAS","CIDRA","CAYEY","URB REPARTO MONTEBANCO CALLE D","CAYEY","PR","00737-0000","(18.1174, -66.14892)","738-2058","263-3044","WANDA I.CARTAGENA ORTIZ","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","278",,,,,,"30","45","44","49","54","48",,"8",,,,,,,,,"61.19","7.46","31.34","28.36","32.84","50.25","10.45","39.30","21.89","28.36","59.70","9.45","30.85","35.32","24.38","65.31"
"761","23531","MIGUEL MELENDEZ MUNOZ","CAGUAS","CIDRA","CAYEY","AVE ANTONIO R BARCELO FRENTE CUC","CAYEY","PR","00737-0000","(18.116, -66.16099)","738-3078","738-9065","PEDRO SANCHEZ","URBANA","SI","SUPERIOR","12-Oct","12-Oct","762",,,,,,,,,,,,,,,,"198",,"212","179","173",,"46.20","10.53","43.27","22.22","23.98","30.06","10.40","59.54","17.34","12.72","49.70","15.98","34.32","26.04","23.67","65.71"
"762","70276","MIGUEL MELENDEZ MUNOZ","BAYAMON","BAYAMON","BAYAMON II","CARR 840 KM 1 HM 1 SECTOR LA ALDEA","BAYAMON","PR","00960-3169","(18.36999, -66.17751)","799-7300","799-6500","MARIA JUDITH VAZQUEZ FONTANEZ","RURAL","SI","SUPERIOR","12-Oct","12-Oct","577",,,,,,,,,,,,,,,,"146",,"156","148","127",,"52.70","13.51","33.78","8.11","44.59","35.14","19.59","45.27","16.89","18.24","45.95","27.03","27.03","22.30","23.65","63.10"
"763","62398","MIGUEL SUCH","SAN JUAN","SAN JUAN II","SAN JUAN IV","AVE BARBOSA ESQ AVE PINERO","SAN JUAN","PR","-924","(18.40972, -66.04326)","751-3780","767-2625","LUZ CELESTE ABREU","URBANA","SI","SUPERIOR","10 - 12 , EES","10 - 12 , EES","1148",,,,,,,,,,,,,,,,"230",,"281","315","253","69","36.39","11.90","51.70","24.83","11.56","0.34","29.69","69.97","0.34","0","31.40","36.52","32.08","19.11","12.29","85.34"
"765","46987","MONSERRATE LEON IRIZARRY","MAYAGUEZ","CABO ROJO","CABO ROJO","CARR 101 KM 18 HM 2","CABO ROJO","PR","00622-1235","(18.02742, -67.16392)","254-2288","254-2233","LEROY ALICEA CABASSA","RURAL","SI","SUPERIOR","12-Oct","12-Oct","584",,,,,,,,,,,,,,,,"244",,"110","118","112",,"57.80","4.59","37.61","33.03","24.77","11.01","21.10","67.89","8.26","2.75","52.29","12.84","34.86","25.69","26.61","73.91"
"767","23135","MYRNA M FUENTES","CAGUAS","GURABO","CAGUAS II","CALLE 33 BONNEVILLE HEIGTS","CAGUAS","PR","7264952","(18.22953, -66.04733)","744-2231","704-0235","IRMA RODRIGUEZ SOTO","URBANA","SI","ELEMENTAL","PK - 6 , EEE","PK - 6 , EEE","239",,,"13",,,"39","41","30","36","29","29",,"22",,,,,,,,,"66.02","2.91","31.07","28.16","37.86","70.87","0.97","28.16","42.72","28.16","41.18","16.67","42.16","28.43","12.75","75.73"
"769","17871","NELIDA MELENDEZ MELENDEZ","BAYAMON","OROCOVIS","OROCOVIS","CARR 155 INT AVE LUIS M MARIN","OROCOVIS","PO BOX 1605","7200000","(18.22935, -66.39222)","867-2840","867-7448","MARIA E ALVARADO","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 8, EEE, EEI","499",,,"16",,,"50","54","42","45","54","57","58","15","49","59",,,,,,,"84.71","0.64","14.65","27.39","57.32","87.26","0.64","12.10","33.76","53.50","78.98","2.55","18.47","34.39","44.59","80.43"
"770","65946","NEMESIO R CANALES I","SAN JUAN","SAN JUAN I","SAN JUAN II","RES NEMESIO CANALES","SAN JUAN","PR","00936-0000","(18.422, -66.07912)","782-6539","782-6539","DORIS M. TRAVERSO VAZQUEZ","URBANA","SI","ELEMENTAL","K - 3 , EEE","K - 3 , EEE","230",,,,,,"44","43","44","44","39",,,"15",,"1",,,,,,,"18.98","36.57","44.44","10.65","8.33","19.35","39.17","41.47","8.76","10.60","12.44","58.06","29.49","11.98","0.46","99.54"
"772","20594","NICOLAS AGUAYO ALDEA","CAGUAS","GURABO","CAGUAS I","13 CALLE RAFAEL CORDERO URB. BORINQUEN","CAGUAS","PR","00726-0000","(18.23249, -66.03105)","743-5065","743-3447","ANA JOCELYN REYES SANTINI","URBANA","SI","INTERMEDIO","9-Jul","K - 8, EEI","422",,,,,,"49","46","63","35","49","41","34",,"29","54",,"22",,,,,"41.04","12.69","46.27","23.88","17.16","7.46","24.63","67.91","3.73","3.73","20.30","34.59","45.11","7.52","12.78","90.42"
"773","71381","NICOLAS SEVILLA","BAYAMON","TOA BAJA","TOA ALTA","URB JARD DE TOA ALTA CALLE 1","TOA ALTA","PR","00953-0000","(18.39144, -66.24862)","870-2570","870-8192","WANDA I. RIVERA RODRIGUEZ","URBANA","SI","SUPERIOR","12-Oct","12-Oct","713",,,,,,,,,,,,,,,,"177",,"193","165","170","8","39.60","19.46","40.94","20.81","18.79","4.73","25.68","69.59","2.70","2.03","37.16","34.46","28.38","12.84","24.32","78.25"
"774","56077","NORMA I TORRES COLON","PONCE","SANTA ISABEL","VILLALBA","CARR 150 KM 5 HACIA COAMO","VILLALBA","PR","00766-0000","(18.12707, -66.48902)","847-9090","847-9090","PEDRO M. GUEVARA","URBANA","SI","INTERMEDIO","9-Jul","K - 8","226",,,,,,"15","15","26","19","22","12","32",,"52","33",,,,,,,"18.80","36.75","44.44","15.38","3.42","0.86","49.14","50","0.86","0","6.90","64.66","28.45","5.17","1.72","82.81"
"776","17418","NUEVA  JUAN S MARCHAND","ARECIBO","MANATI","MANATI","CARR 685 SECT LOS RABANOS BO BOQUILLAS","MANATI","PR","6740506","(18.46071, -66.48679)","854-4541","854-6080","PROVIDENCIA MARTIR","RURAL","SI","INTERMEDIO","9-Jul","9-Jul","313",,,,,,,,,,,,"67",,"136","110",,,,,,,"35.12","14.88","50","19.42","15.70","16.05","18.11","65.84","5.35","10.70","36.89","32.79","30.33","24.18","12.70","86.26"
"777","13912","NUEVA BRIGIDA ALVAREZ RODRIGUEZ","ARECIBO","VEGA ALTA","VEGA BAJA","CALLE BETANCES NUM.75","VEGA BAJA","PR","00694-0000","(18.445451, -66.389915)",,"858-9645","HEDRIAN AYUSO PONCE","URBANA","SI","SECUNDARIO","12-Jul","12-Jul","452",,,,,,,,,,,,,,"74","100","75",,"73","85","45",,"98.03","0","1.97","21.65","76.38","80.71","0","19.29","27.95","52.76","93.70","0.79","5.51","18.50","75.20","32.74"
"778","17657","NUEVA CEFERINA CORDERO","MAYAGUEZ","SAN SEBASTIAN","ISABELA","CALLE EMILIO GONZALEZ INTERIOR # 217","ISABELA","PR","00662-0000","(18.50459, -67.02416)","872-0464","872-0460","YOLANDA BARRETO BOSQUES","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 5, PKEE, EEE","467",,,,,,"66","74","69","72","70","67",,"49",,,,,,,,,"22.81","36.84","40.35","10.53","12.28","35.09","26.32","38.60","21.05","14.04","19.30","40.35","40.35","12.28","7.02","74.20"
"779","79087","NUEVA ELEM BO QUEBRADA NEGRITO","SAN JUAN","GUAYNABO","TRUJILLO ALTO","CARR #181 KM 10 HM 7 BO QUEBRADA NEGRITO","TRUJILLO ALTO","PR","9770000","(18.33055, -65.98879)","760-5755","292-1140","JOSE LUIS SANCHEZ FIGUEROA","RURAL","SI","ELEMENTAL","K - 6 , EEE","K - 6, EEE","451",,,,,,"65","66","71","72","74","84",,"19",,,,,,,,,"45.20","19.21","35.59","24.86","20.34","41.81","21.47","36.72","17.51","24.29","32.77","18.64","48.59","21.47","11.30","81.84"
