"lic","instituciones","direccion_fisica","pueblo_fisico","zip_code_fisico","direccion_postal","pueblo_postal","zip_code_postal","telefono_primario","telefono_secundario","email_primario","email_secundario","fax_primario","fax_secundario","director_preescolar","director_elemental","director_intermedia","director_superior","matricula_preprekinder","matricula_prekinder","matricula_kinder","matricula_sin_grado_preescolar","matricula_primero","matricula_segundo","matricula_tercero","matricula_cuarto","matricula_quinto","matricula_sexto","matricula_sin_grado_elemental","matricula_septimo","matricula_octavo","matricula_noveno","matricula_decimo","matricula_undecimo","matricula_duodecimo","matricula_sin_grado_secundaria","total"
"A 00-01","Centro Nuevos Horizontes, Inc","Urb Lomas Verdes, Ave Laurel 3 M-20","Bayamón","00959","Calle 23 N-16 Alturas de Flamboyan","Bayamón","00959","(787) 269-1577","-0","nuevoshorizontesinc@gmail.com","nhorizontes1577@gmail.com","(787) 000-0000",,"N/A","N/A","Mayte Kairuz","Mayte Kairuz","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"A 01-01","Academia Adventista del Norte","Bo Juncos, Sect El Tanque, Carr # 129, Ramal 651, Km. 1.0","Arecibo","00613","PO BOX 9186, Cotto Station","Arecibo","00613","(787) 880-3234","(787) 880-3234","shfelicianoaan@gmail.com","registradoraaan@gmail.com","(787) 878-3414","(787) 878-3414","Juan E. Milian Solis","Juan E. Milian Solis","Juan E. Milian Solis","Juan E. Milian Solis","0","4","12","0","17","19","19","16","25","20","0","25","17","21","16","18","14","0","243"
"A 01-02","Colegio San Juan Bosco","Urb Jardines de Arecibo, Calle R -Y-26","Arecibo","00612","Apartado 142457","Arecibo","00614","(787) 879-1070","(787) 879-2069","colegiosanjuanboscoare@gmail.com",,"(787) 817-4107",,"Sra. Nilda González","Sra. Nilda González","Sra. Nilda Gonzalez","Sra. Nilda González","0","10","22","0","27","24","28","32","31","24","0","31","37","22","22","20","26","0","356"
"A 01-04","Colegio San Felipe","Ave San Luis # 566","Arecibo","00612","PO BOX 673","Arecibo","00613","(787) 878-3532","(787) 878-3521","cclucy@hotmail.com","ddgb70@yahoo.com","(787) 879-2124","(787) 879-2124","Luz E. Cruz Crespo","Luz E. Cruz Crespo","Luz E. Cruz Crespo","Luz E. Cruz Crespo","0","16","28","0","24","22","17","24","23","36","0","34","38","40","59","58","74","0","493"
"A 01-06","Hogar Colegio La Milagrosa","Urb Zeno Gandía, 987 Ave Francisco Jiménez González","Arecibo","00612","Urb Zeno Gandía, 987 Avenida Francisco Jiménez González","Arecibo","00612","(787) 878-0341","(787) 879-4912","hogarcolegiolamilagrosa@yahoo.com","l_olivosantos@yahoo.com","(787) 817-7822",,"Laura Olivo Santos","Laura Olivo Santos","Laura Olivo Santos","Laura Olivo Santos","0","15","18","0","18","21","14","24","27","19","0","27","29","34","35","36","38","0","355"
"A 01-07","Colegio San Rafael","Calle Lamela # 213","Quebradillas","00678","Calle Lamela # 213","Quebradillas","00678","(787) 895-2280","(787) 895-2280","csrque@gmail.com",,"(787) 895-2280",,"Sra. Ivette Vargas Cancel","Sra. Ivette Vargas Cancel","Sra. Ivette Vargas Cancel","Sra. Ivette Vargas Cancel","0","0","10","0","8","9","4","10","10","16","0","21","21","27","20","26","18","0","200"
"A 01-08","Colegio Pentecostal de Arecibo","Bo  Arenalejos, Sect Palache, Carr # 658, Km. 0.2","Arecibo",,"PO BOX 971","Bajadero","00616","(787) 881-3692","(787) 881-4275","cparecibo@yahoo.com",,"(866) 706-8767",,"Lesbia E. Cotto Caballero","Lesbia E. Cotto Caballero","Lesbia E. Cotto Caballero","Lesbia E. Cotto Caballero","0","8","19","0","14","18","25","14","17","29","0","15","30","28","21","23","19","0","280"
"A 01-11","Colegio Mirmar","Carr 492, Km. 5.8, Barrio Hato Abajo","Arecibo","00612","BOX 3252","Arecibo","00613","(787) 878-4265","(787) 878-4265","colegiomirmar@yahoo.com",,"(787) 816-1842",,"Haydee Viruet Negrón","Haydee Viruet Negrón","Haydee Viruet Negrón","Haydee Viruet Negrón","0","0","6","0","2","5","0","6","10","4","0","9","9","12","8","11","5","0","87"
"A 01-15","Arecibo Baseball Academy inc,","Carr Núm. 2 int 638, Km. 1.0, Sect el maga bajadero","Arecibo","00612","PO BOX 8 Bajadero","Arecibo","00616","(787) 650-7111","(787) 650-7111","abaandgym@gmail.com","earroyo19@gmail.com","(787) 650-7111",,"n/a","Pedro Montalvo","Pedro Montalvo","n/a","0","0","20","0","16","19","13","17","10","21","0","19","9","9","0","0","0","0","153"
"A 01-16","First Industrial Technological College","Carr #2, Km. 66.9, Barrio Factor","Arecibo","00612","Urb Los Pinos #181","Arecibo","00612","(787) 717-2770","(787) 717-2770","fitcollege@gmail.com",,"(787) 878-8835","(787) 717-2770","René Lafontaine Arocho","René Lafontaine Arocho","René Lafontaine Arocho","René Lafontaine Arocho","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","10","20"
"A 01-17","National Talent Academy, Inc.","Antigua Escuela Superior Dra. Maria Cadilla, Ave Constitucion","Arecibo","00612","PO BOX 360721","San Juan","00936","(787) 816-2000","(787) 608-9321","nationaltalentacademy@mail.com","directorejecutivonta@gmail.com","(787) 816-2000",,"no aplica","no aplica","Sra. Diosdada Romero Lopez","Sra. Diosdada Romero Lopez","0","0","0","0","0","0","0","0","0","0","0","0","12","17","24","22","20","0","95"
