"nombre_de_la_institucion","unidad_academica","principal_ejecutivo","telefono","direccion_pag_web","correo_electronico","direccion_fisica","direccion_fisica_2","pueblo"
"American University of Puerto Rico",,"Juan Nazario Torres","(787) 620-2040","www.aupr.edu","jcnazario@aupr.edu","Carr # 2 KM 14.0","Barrio Hato Tejas","BAYAMON"
"Atenas College",,"María L. Hernández Núñez","(787) 884-3838","www.atenascollege.edu","presidenta@atenascollege.edu","Paseo Las Atenas #101","Manati","MANATI"
"Atlantic University College",,"Teresa de Dios Unanue","(787) 720-1022","www.atlanticu.edu","presidencia@atlanticu.edu","Calle Colton #9",,"GUAYNABO"
"Cambridge College","Puerto Rico Regional Center","Santiago Méndez Hernández","(787) 296-1101","www.cambridgecollege.edu","santiago.mendez-hernandez@cambridgecollege.edu","268 Ponce de Leon Avenue","Suite 1400","SAN JUAN"
"Caribbean University",,"Ana Cucurella de Adorno","(787) 780-0070","www.caribbean.edu","president@caribbean.edu","Carr 167 km 21.2","Ext Forest Hills","BAYAMON"
"Centro de Estudios Avanzados de PR y el Caribe",,"Miguel Rodríguez López","(787) 723-4481","www.ceaprc.edu","migrodlop@gmail.com","Calle del Cristo #52 Viejo San Juan",,"SAN JUAN"
"Centro de Estudios Multidisciplinarios","Recinto Metropolitano","Brenda Colón Santos","(787) 765-4210","www.cempr.edu","brenda.colon@cempr.edu","Calle 13 # 1206","Ext. San Agustín","SAN JUAN"
"Colegio de Cinematografía, Artes y Televisión",,"Carola García","(787) 653-7666","www.ccat.edu","cgarcia@ccat.edu","Ave. Gautier Benitez Esq. Monsenñor","Esq. Monseños Berrios","SAN JUAN"
"Colegio Universitario de San Juan",,"Haydée M. Zayas Hernández","(787) 480-2370","www.cunisanjuan.edu","hzayas@sanjuanciudadpatria.com","Urb. Ind. Tres Monjitas","180 ave. José Oliver","SAN JUAN"
"Columbia Central University","Recinto de Caguas","Daritza Mulero","(787) 743-4041","www.columbiacentral.edu","dmulero@columbiacentral.edu","Carr. 183 Km. 1.7","Salida de Caguas hacia San Lorenzo","CAGUAS"
"Conservatorio de Música de Puerto Rico",,"Luis Hernández Mergal","(787) 751-0160","www.cmpr.edu","lhernandez@cmpr.pr.gov","951 Ave. Ponce de León",,"SAN JUAN"
"Dewey University","Recinto de Hato Rey","Carlos Quiñones Alfonso","(787) 753-0039","www.dewey.edu","cquinones@dewey.edu","Ave. Barbosa #427",,"SAN JUAN"
"Dublin Institute of Technology",,"Brian Norton","(787) 735-8715","www.dit.ie","anne.greene@dit.ie","Metro Parque #7","Metro Office Park Suite 204","GUAYNABO"
"EDIC College","Recinto de Caguas","José Córdova","(787) 744-8519","www.ediccollege.edu","jcordova@ediccollege.edu","Génova #8 Urb. Caguas Norte",,"CAGUAS"
"EDP Universityof Puerto Rico","Recinto de Hato Rey","Gladys T. Nieves","(787) 765-3560","www.edpuniversity.edu","gnieves@edpuniversity.edu","560 Ave. Ponce de León",,"SAN JUAN"
"Educational Technical College",,"Miriam Benítez","(787)780-8234","www.edutecpr.com","mbenitez@edutecpr.com","1685 Carr. #2 Km. 11.2",,"BAYAMON"
"Escuela de Artes Plásticas y Diseño de Puerto Rico",,"Teresa López","(787) 945-7010","www.eap.edu","rectoria@eap.edu","Campos del Morro","Bo. Ballajá","SAN JUAN"
"Escuela de Enfermeros/as Anestesistas de PR",,"Carlos J. Borrero Rios","(787) 998-4957","www.eeapr.org","cborrero@eeapr.org","728 Avda. Ponce de León","Oficina 201, Hato Rey","SAN JUAN"
