"lic","nombre_de_la_institucion","direccion_fisica","pueblo_fisico","zip_code_fisico","direccion_postal","pueblo_postal","zip_code_postal","telefono_primario","telefono_secundario","email_primario","email_secundario","fax_primario","fax_secundario","nombre_del_director","matricula_total"
"V 01-09","Institute of Beauty Careers","Ave. Lloréns Torres, Número 199, Esquina Coll y Toste","Arecibo","00612","PO BOX 809","Arecibo","00613","(787) 878-2880","(787) 878-2880","majosue@yahoo.com","registeribc@yahoo.com","(787) 880-6999","(787) 884-0101","Naydamar Fuentes","205"
"V 01-15","Universidad Interamericana de Puerto Rico, Inc.","Carr. Estatal Número 2, Km. 76.6, Bo. San Daniel, Sector Las Canelas","Arecibo","00614","PO BOX 4050","Arecibo","00614","(787) 878-5475","(787) 878-5475","irosado@arecibo.inter.edu","avega@arecibo.inter.edu","(787) 880-1624","(787) 878-5475","Rafael Ramirez Rivera","250"
"V 01-18","Dasan, Arecibo Fashion Academy, Inc.","Urb. Jardines de Arecibo, Calle K-2","Arecibo","00612","PO BOX 141575","Arecibo","00612","(787) 878-7631","(787) 878-7631","dasandesign@gmail.com",,"(787) 878-7631","(787) 878-7631","Eugenio Dávila Iguina","33"
"V 01-21","Instituto Comercial de Puerto Rico Junior College (ICPR)","Ave. San Patricio #20","Arecibo","00614","PO BOX 140067","Arecibo","00614","(787) 878-6000","(787) 878-6000","icharriez@icprjc.edu","lvargas@icprjc.edu","(787) 878-7750","(787) 878-6000","Ivette Charriez, Directora","22"
"V 01-24","Colegio Educativo Tecnológico Industrial (CETI COLLEGE)  Inc.","#68 Calle Puro Girau","Arecibo","00613","PO BOX 1800","Arecibo","00613","(787) 879-3300","(787) 458-6283","ceticollege@hotmail.com","ipvipr@yahoo.com","(787) 879-3834","(787) 879-3834","Nilsa López Rivera","129"
"V 01-28","Arecibo Job Corps","Carr. 686, Km. 6.6","Arecibo","00652","PO BOX 544","Garrochales","00652","(787) 881-2300","(787) 881-3775","torres.miguelina@jobcorps.org","carrion.aynette@jobcorps.org","(787) 881-0971",,"Miguelina Torres","149"
"V 01-29","Instituto de Banca y Comercio","Ave.Víctor Rojas, Esquina Cervantes, Bo. Pueblo","Arecibo","00612","PMB 430, Box 144035","Arecibo","00614","(787) 880-4019","(787) 880-4019","JIrizarry@ibancapr.com","wmalave@ibancapr.com","(787) 880-3956","(787) 880-3956","Jacqueline Irizarry López","383"
"V 01-32","Caribbean University-Centro de Vega Baja","Carr. 671 Km. 5 Bo. Algarrobo, Sector El Criollo","Vega Baja","00693","PO BOX 4258","Vega Baja","00694","(787) 858-3668","(787) 780-0070","president@caribbean.edu","mvalle@caribbean.edu","(787) 785-0101","(787) 780-0070","Dr. Angel Mejias Melendez","0"
"V 02-02","Universidad del Turabo, Centro Universitario de Barceloneta","Carr. PR 2, Km. 59.0, Sector Tiburón","Barceloneta","00617","PO BOX 2194","Barceloneta","00617","(787) 846-1778","(787) 743-7979","keroche@suagm.edu","ut_mflores@suag.edu","(787) 746-6860","(787) 263-2177","Ramón Díaz","0"
"V 03-01","Universal Technology College of Puerto Rico, Inc.","Ave. Muñoz Rivera # 163 y # 167","Camuy","00627","167 Ave. Muñoz Rivera Oeste Suite # 2","Camuy","00627","(787) 262-5786","(787) 898-2429","directora_camuy@unitecpr.net","directora_planificacion@unitecpr.net","(787) 820-5560",,"Profa. Nelida Cardona","63"
"V 04-01","American Educational College","#36 Calle Palmer, Pueblo Viejo","Ciales","00638","PO BOX 205","Bayamón","00960","(787) 871-0185","(787) 798-1199","FINANCEDIRECTOR.amedco@gmail.com","FINANCEDIRECTOR.amedCO@GMAIL.COM","(787) 787-1199",,"Ramiro Repollet Solivan","0"
"V 06-04","Millenium Beauty Academy","Edificio FerroCarr.il, Avenida Dr. Susoni, Esquina Avenida FerroCarr.il","Hatillo","00659","PO BOX 1000","Hatillo","00659","(787) 820-1000","(787) 262-1000","milleniumbeautyacademy@gmail.com",,"(787) 820-1000",,"Aida I. Colón Vega","61"
"V 07-04","Escuela de Peritos Electricistas de Isabela Inc.","Calle Surinam #1059, Ave. Agustín Ramos Calero Interior (Antes Ave. Aguadilla)","Isabela","00662","PO BOX 457","Isabela","00662","(787) 872-1747","(787) 830-4267","epeiinc@hotmail.com","epei@prtc.net","(787) 830-4267",,"María M. Santiago Maldonado","84"
"V 07-13","Professional Technical College, Inc.","Francisco Ávila #100, Calle Socorro St.","Quebradillas","00678","PO BOX 1981","Isabela","00662","(787) 402-1451","(787) 517-5915","ptcinc2000@hotmail.com","medina-johanna@hotmail.com","(787) 658-7219",,"GILFREDO PEREZ","376"
"V 07-14","Centro Universitario de Isabela","Carr. PR 12, Km. 27.3, Bo. Mora, Zona Industrial","Isabela","00662","7349 Ave. Agustín Ramos Calero","Isabela","00662","(787) 830-4160","(787) 743-7979","keroche@suagm.edu","ut_mflores@suagm.edu","(787) 746-6860","(787) 830-5070","Carmen Rivera","22"
"V 09-02.0","Advantage Technical College (ADTEC)","Calle Ramos Vélez #3 y #4","Manatí","00674","PO BOX 1797","Manatí","00674","(787) 854-4776","(787) 854-4776","adtecpr.info@gmail.com",,"(939) 440-9691","(939) 440-9691","Marisabel Ramos","95"
"V 09-04","Instituto de Educación Técnica Ocupacional La Reiné","Ave. Colón #8-A // Calle Mckinley #88","Manatí","00674","PO BOX 988","Manatí","00674","(787) 854-1119","(787) 884-7777","reine@prtc.net","wrey@lareine.edu","(787) 884-3505",,"Carmen R.Ocasio Padilla, Presidenta","38"
"V 09-06","Instituto de Banca y Comercio (Manatí)","Carr. #2 KM 49.7 Bo. Tierras Nuevas","Manatí","00674","#150 calle Miguel Otero","Manatí","00674","(787) 854-6634","(787) 884-6709","bpadilla@ibancapr.com","cgordillo@ibancapr.com","(787) 884-3372",,"Benjamín Padilla Rosa","558"
"V 09-08","Atenas College","Edificio Julio Hernández, Paseo del Atenas # 101","Manatí","00674","PO BOX 365","Manatí","00674","(787) 884-3838","(787) 854-9165","presidenta@atenascollege.edu","icolon@atenascollege.edu","(787) 854-4530",,"María L. Hernández Núñez","117"
"V 09-11","Universidad del Este","Carr. PR-2, Km. 59.0, Bo. Florida Afuera","Barceloneta","00617","PO BOX 2050","Barceloneta","00617","(787) 884-4414","(787) 257-7373","mvelezr@suagm.edu","pamercado@suagm.edu","(787) 854-3612","(787) 257-8841","Dra. Mildred Huertas Solá","142"
