"num_aep","edificios","municipio","regi_n","direcci_n_f_sica","latitud","longitud","location"
"9400","DESTACAMENTO DE LA POLICÍA CASTAÑER","LARES","AGUADILLA","CARR. #135, KM. 64.3, SECTOR CASTAÑER, BO. BARTOLO, LARES, P.R.","18.180125","-66.83301","(18.180125, -66.83301)"
"9031","DESTACAMENTO POLICÍA-SAN ANTONIO","AGUADILLA","AGUADILLA","CARR. #107, INTERIOR, ESQ. CALLE LAS DELICIAS BO SAN ANTONIO, ARECIBO, P.R.","18.495116","-67.097797","(18.495116, -67.097797)"
"9702","DESTACAMENTO DE LA POLICÍA BO. ANGELES","UTUADO","ARECIBO","CARR. #602, KM. 0.6, BO LOS ANGELES, UTUADO, P.R.","18.265483","-66.700487","(18.265483, -66.700487)"
"9703","DESTACAMENTO DE LA POLICÍA BO. MAMEYES","UTUADO","ARECIBO","CARR. #140, KM.31.0, BO. MAMEYE, UTUADO, P.R.","18.294598","-66.62914","(18.294598, -66.62914)"
"9450","DESTACAMENTO DE LA POLICÍA-MONTE BELLO","MANATÍ","ARECIBO","CARR. 3642, BO. MONTEBELLO, MANATÍ, P.R.","18.390407","-66.495663","(18.390407, -66.495663)"
"3111","CUARTEL DE LA POLICÍA BAYAMÓN SUR","BAYAMÓN","BAYAMÓN","CARR. #831, KM. 2.2, BO. MINILLAS, BAYAMÓN, P.R.","18.362061","-66.15455","(18.362061, -66.15455)"
"9620","DESTACAMENTO POLICÍA-BO. ROSARÍO ","SAN GERMÁN","MAYAGUEZ","BO. ROSARÍO, SAN GERMÁN, P.R.",,,
"8356","ESCUELA JOSÉ C. ROSARIO","ISABELA","AGUADILLA","Carr. 2 Km. 112.0, Bo. Mora, Isabela,  P.R. 00662","18.450247","-67.012469","(18.450247, -67.012469)"
"8404","ESCUELA DANIEL VÉLEZ SOTO","LARES","AGUADILLA","Urb. Villa Seral, Calle B, Lares, P. R.  00669","18.299391","-66.882158","(18.299391, -66.882158)"
"8405","ESCUELA BO. PILETAS","LARES","AGUADILLA","Carr. 129 Km. 24.7, Lares, P.R.","18.318331","-66.873022","(18.318331, -66.873022)"
"8093","ESCUELA   BO. MAGUEYES  ","  BARCELONETA  ","  ARECIBO  ","Carr. 664, Km. 0.5 Bo. Magueyes, Barceloneta","18.4569","-66.5377","(18.4569, -66.5377)"
"8323","ESCUELA   BAYANEY  ","  HATILLO  ","  ARECIBO  ","Carr. 134 Int. Carr. 129, Hatillo","18.364991","-66.800861","(18.364991, -66.800861)"
"8500","ESCUELA   JOSEFA DEL RÍO  ","  MOROVIS  ","  ARECIBO  ","  CARR. PR 115, KM 51.6, BO. TORRECILLAS, MOROVIS  ","18.335397","-66.430267","(18.335397, -66.430267)"
"8505","ESCUELA   BARAHONA  ","  MOROVIS  ","  ARECIBO  ","Carr. 633 Km. 4.4 Bo Barahona, Morovis","18.35824","-66.445499","(18.35824, -66.445499)"
"8701","ESCUELA URBANA","UTUADO","ARECIBO","Calle La Marías Esq. Calle Dr. Cueto (frente  Burger King), Utuado ","18.266214","-66.704374","(18.266214, -66.704374)"
"8165","ESCUELA FRANCISCO OLLER","CATAÑO","BAYAMÓN","Ave. Las Nereidas, PR- 888, Cataño, P. R.","18.441662","-66.125734","(18.441662, -66.125734)"
"8220","ESCUELA CURSOS ROTATIVOS","COMERÍO","BAYAMÓN","Calle Georgetti Núm. 22 Comerío, P.R.","18.220604","-66.226009","(18.220604, -66.226009)"
"8816","ESCUELA JOSÉ DE DIEGO (ECOLÓGICA SECTOR PUERTOS)","DORADO","BAYAMON","CARR. 695, KM 3.0, BO. HIGUILLAR, DORADO, PR","18.432654","-66.301055","(18.432654, -66.301055)"
"8139","ESCUELA LIBRE DE MÚSICA ANTONIO PAOLI","CAGUAS","CAGUAS","Ave. José  Villares Esq. Rafael Cordero, Caguas, P.R.  00726-4956","18.23734","-66.029119","(18.23734, -66.029119)"
"8382","ESCUELA FULGENCIO PIÑERO","JUNCOS","HUMACAO","Calle Algarín, Juncos, PR","18.22836166","-65.9254695772","(18.228362, -65.92547)"
"8800","ESCUELA LUIS HERNAIZ VERONNE (AMPLIACIÓN - MANTENIMIENTO OMEP)","CANÓVANAS","CAROLINA","CALLE AUTONOMÍA FINAL, CANÓVANAS, PR","18.37628","-65.901214","(18.37628, -65.901214)"
"8954","ESCUELA AGUSTIN CABRERA","CAROLINA","CAROLINA","AVE. INOCENCIO CRUZ, URB. VILLA CAROLINA (3RA. SECCIÓN) CAROLINA","18.395456","-65.96082","(18.395456, -65.96082)"
"8246","ESCUELA VOCACIONAL - MEDIANÍA ALTA","LOÍZA","CAROLINA","Carr. #187 Km 11.5 Bo. Medianía Alta, Loíza, PR","18.425152","-65.842595","(18.425152, -65.842595)"
"8236","ESCUELA JOSÉ FELIPE ZAYAS","COAMO","GUAYAMA","Calle 19 Urb. Jardines de Coamo, Carr. 150 Km. 17.5, Coamo, P. R. 00769       ","18.100248","-66.351013","(18.100248, -66.351013)"
"8757","ESCUELA BO. LIMONES","YABUCOA","HUMACAO","Barrio Limones, Carr. 902, Yabucoa, P.R.","18.0799","-65.903447","(18.0799, -65.903447)"
"8716","ESCUELA URBANA","VEGA ALTA","ARECIBO","Calle C, Urb. Las Colinas, Vega Alta","18.4096650502","-66.3245330534","(18.409665, -66.324533)"
"8791","ESCUELA EUGENIO MARÍA DE HOSTOS","MAYAGUEZ","MAYAGUEZ","Calle Nenadish, Esq. Enrique Vázquez Báez, Barrio Pueblo, Mayaguez, P.R.  00681","18.206337","-67.103599","(18.206337, -67.103599)"
"8622","ESCUELA URBANA","SAN GERMAN ","MAYAGUEZ","Calle Oriente, San Germán, P.R.","18.116764","-67.039526","(18.116764, -67.039526)"
"8366","ESCUELA INT. URBANA DE JAYUYA","JAYUYA","PONCE","Carr. 141 Km. 1.0, Bo Jayuya Abajo, Jayuya, P. R. 00664","18.226674","-66.591983","(18.226674, -66.591983)"
"8639","ESCUELA CUPEY BAJO","SAN JUAN","CAROLINA","Carr. 844 Km. 3.0, Cupey Bajo, Río Piedras, P.R.","18.3546833732","-66.0389502693","(18.354683, -66.03895)"
"8152","ESCUELA VILLA CAROLINA","CAROLINA","CAROLINA","Calle 192 Urb. Villa Carolina, Carolina, P.R.","18.3965737178","-65.9599248455","(18.396574, -65.959925)"
"8473","ESCUELA JOSÉ NAVARRO","MAUNABO","GUAYAMA","Urb. San Pedro, Maunabo, PR 00707","18.0050942248","-65.9004713681","(18.005094, -65.900471)"
"8832","ESCUELA VILLAS DE LOÍZA","LOÍZA","CAROLINA","Calle 23 Esq. 29, Urb. Villas de Loíza, Loíza, P.R.","18.3839368122","-65.8681717325","(18.383937, -65.868172)"
"8314","ESCUELA BARRIO CELADA","GURABO","CAGUAS","Carr. 181, Km. 22, Hm. 9, Bo. Celada, Gurabo, PR  00778","18.2657729991","-65.9633076651","(18.265773, -65.963308)"
"2370","CENTRO GUBERNAMENTAL","JUANA DIAZ","PONCE","URB. ESPERANZA, JUANA DIAZ, P.R.","18.0475099838","-66.5062763439","(18.04751, -66.506276)"
"8968","ESCUELA LAS DELICIAS","PONCE","PONCE","Calle Monsita Ferrer Urb. Las Delicias PO B ox 7636, Ponce, PR 00732-7636","18.0377118856","-66.6569078963","(18.037712, -66.656908)"
"8364","ESCUELA ELEM. URBANA DE JAYUYA","JAYUYA","PONCE","Postal:  PO Box 1549 / Física: Calle Figueroa #48, Jayuya, PR 00664","18.2211964926","-66.5944230266","(18.221196, -66.594423)"
"3450","CUARTEL DE LA POLICÍA","MANATÍ","ARECIBO","CARR. # 2, KM. 48.6 MANATÍ, P.R.","18.4315659883","-66.4826089268","(18.431566, -66.482609)"
"8484","ESCUELA ESTEBAN ROSADO BÁEZ","MAYAGÜEZ","MAYAGUEZ","Carr. 341 Parcelas Maní, Bo. Sabanetas, Mayagüez, P.R.","18.2302146993","-67.1720592034","(18.230215, -67.172059)"
"4400","TRIBUNAL DISTRITO","LARES","AGUADILLA","CALLE NUEVA, LARES, P.R.","18.2959274231","-66.8772457253","(18.295927, -66.877246)"
"8121","ESCUELA URBANA ","CABO ROJO","MAYAGUEZ","Calle Barbosa Urb. Ana María, Cabo Rojo, P.R.","18.0901167294","-67.1472241594","(18.090117, -67.147224)"
"8027","ESCUELA AQUILINO CABÁN","AGUADA","AGUADILLA","CARR. 4417, KM 2.0, BO. MAMEY, AGUADA, PR 00602","18.3744753463","-67.1452222035","(18.374475, -67.145222)"
"2680","CENTRO GUBERNAMENTAL","TOA BAJA","BAYAMÓN","CALLE LUIS MUÑOZ RIVERA FINAL, TOA BAJA, P.R.","18.438839999","-66.1969699983","(18.43884, -66.19697)"
"9240","DESTACAMENTO DE LA POLICÍA","CULEBRA","HUMACAO","BO. FULLADOSA, CARR. #998, CULEBRA, P.R.","18.3017610928","-65.2972984729","(18.301761, -65.297298)"
"8562","ESCUELA VILLA DEL CARMEN","PONCE","PONCE","Urb. Villa Del Carmen Calle Solymar, Ponce, PR 00732","17.9805877896","-66.6072383854","(17.980588, -66.607238)"
"8081","ESCUELA URBANA MASSARI","ARROYO","GUAYAMA","CALLE MORSE 162, KM 14, Arroyo, P.R. 00714 (PO BOX 240)","17.9712393743","-66.0596427355","(17.971239, -66.059643)"
"8144","ESCUELA AMALIA LÓPEZ","CAMUY","AGUADILLA","CARR. 119, Km. 5.6 INTERIOR, CAMUY, P.R. 00627","18.4678082145","-66.8439454529","(18.467808, -66.843945)"
