"propertycode","area","location"
"T-1465-0-90-00","22656.2","Sabana Grande"
"T-1456-0-90-00","22661.55","Fajardo"
"T-1449-0-89-00","22656.17","Juncos"
"T-1417-0-87-00","22649.39","Aguada"
"T-1408-0-87-00","22656.2","Arroyo"
"T-1407-0-87-00","22656.2","Canovanas"
"T-1389-0-86-00","22707.09","Aguadilla"
"T-1353-1-87-00","16357.5","Arroyo"
"T-1353-0-83-00","22746.14","Arroyo"
"T-1328-0-81-00","11436.59","Juncos"
"T-1313-0-80-01","11268","Carolina"
"T-1300-0-81-00","22671.59","Cidra"
"T-1265-2-91-00","9990","Rio Grande"
"T-1265-1-90-00","13829","Rio Grande"
"T-1265-0-79-00","11436.59","Rio Grande"
"T-1264-1-80-00","11241.25","Moca"
"T-1144-0-74-00","11375.59","Aguadilla"
"T-1123-0-73-00","22550.59","Canovanas"
"T-1113-0-73-00","11420.4","Luquillo"
"T-1102-0-79-00","22671.59","Arroyo"
"T-1083-1-89-00","15786","Juncos"
"T-1083-0-73-00","11358.47","Juncos"
"T-1071-0-73-00","11489.97","Luquillo"
"T-1065-2-73-00","11341.12","Guanica"
"T-1065-1-73-00","13907.25","Guanica"
"T-1065-0-70-00","11385.24","Guanica"
"T-1026-1-80-00","8265.3700000000008","Orocovis"
"T-1026-0-70-00","22656.84","Orocovis"
"T-1024-0-70-02","11215.63","Mayaguez"
"T-1014-1-88-00","19626.89","Aguada"
"T-1014-0-70-00","11335.56","Aguada"
"T-1009-1-72-00","11782.75","Ponce"
"T-1009-0-70-00","22470.52","Ponce"
"T-1005-0-70-00","11335.68","San German"
"T-1002-0-70-00","11469.08","Canovanas"
"T-0995-0-70-00","22539.59","Cabo Rojo"
"T-0993-1-79-00","11241.25","Aguada"
"T-0993-0-70-00","11265.3","Aguada"
"T-0992-1-88-00","9030","Aguada"
"T-0992-0-70-00","23232.77","Aguada"
"T-0982-1-80-00","11241.25","Aguada"
"T-0982-0-70-00","11260.05","Aguada"
"T-0977-1-70-00","11329.71","San German"
"T-0977-0-70-00","11334.94","San German"
"T-0962-1-78-00","16778.240000000002","Cabo Rojo"
"T-0962-0-70-00","11340.55","Cabo Rojo"
"T-0953-0-70-00","11335","Gurabo"
"T-0950-0-68-00","11270.55","Rio Grande"
"T-0940-2-84-00","7442.45","San German"
"T-0940-1-70-00","22216.82","San German"
"T-0940-0-70-00","11334.94","San German"
"T-0901-0-68-00","22539.59","San Lorenzo"
"T-0900-1-71-00","8337.4500000000007","San Lorenzo"
"T-0900-0-68-00","22539.59","San Lorenzo"
"T-0892-1-69-00","11180.25","Vega Baja"
"T-0892-0-67-00","11252.06","Vega Baja"
"T-0877-0-68-00","22539.59","Trujillo Alto"
"T-0875-0-68-00","22445","Ponce"
"T-0874-0-67-00","23151.15","Mayaguez"
"T-0867-3-77-00","8756.8799999999992","Vega Baja"
"T-0867-2-72-00","11388.44","Vega Baja"
"T-0867-1-71-00","11255.68","Vega Baja"
"T-0867-0-70-00","11398.49","Vega Baja"
"T-0857-1-70-00","11127","Ponce"
"T-0857-0-67-00","22540","Ponce"
"T-0805-0-67-00","22662.7","Naguabo"
"T-0796-1-67-00","11289.69","Aguada"
"T-0796-0-67-00","11335.56","Aguada"
"T-0792-1-72-00","19591.21","Yabucoa"
"T-0792-0-67-00","11455.5","Yabucoa"
"T-0786-1-72-00","21867","Mayaguez"
