YEAR,TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,COUNTY,ST,BIA_CODE,TRIBE,FEDERAL_FACILITY,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,Location 1
01/01/2002 12:00:00 AM,00654PHLPSPHILI,CHEVRON PHILLIPS CHEMICAL PUERTO RICO CORE LLC,RD 710  KM 13 LAS MAREAS WARD,GUAYAMA,PR,,,NO,2911,2911,NA,,,,324110,324110,,,,,1.30E+12,BENZENE,71432,YES,TRI,NO,0,YES,R,Pounds,329,662,6,0,0,0,0,0,0,,,0,997,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,9,,9,0,,,0,0,0,0,997,997,,,,,,9,4299,,120895,,126200,0,1.44,CHEVRON PHILLIPS CHEMICAL CO LLC,152975665,"(17.947467, -66.145443)"
01/01/2002 12:00:00 AM,00628LLLLY65THI,LILLY DEL CARIBE INC CAROLIN A,430 CALLE FABRIL,CAROLINA,PR,,,NO,2834,2834,,,,,325412,325412,,,,,1.30E+12,"BENZO(G,H,I)PERYLENE",191242,YES,PBT,NO,0,YES,R,Pounds,0,0.0023,0,0,0,0,0,0,0,,,0,0.0023,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,0.001,0,0,0,0.001,0.0023,0.0023,,,,,,,,,,,0.0023,0.001,0.64,ELI LILLY & CO,6421325,"(18.375196, -65.947647)"
01/01/2002 12:00:00 AM,00708LLLLYSTATE,LILLY DEL CARIBE INC,3080 AVE HOSTOS,MAYAGUEZ,PR,,,NO,2833,2833,,,,,325411,325411,,,,,1.30E+12,DICHLOROMETHANE,75092,YES,TRI,NO,0,YES,R,Pounds,0,250,0,0,0,0,0,0,0,,,0,250,,2864,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,16506,,0,0,0,16506,250,37,,,,,,,,,19190,19370,38597,0,2,ELI LILLY & CO,NA,"(18.264263, -67.159145)"
01/01/2002 12:00:00 AM,00767YBCSNROUTE,SHELL CHEMICAL YABUCOA INC,RT 901 KM 2.7 CAMINO NUEVO WARD,YABUCOA,PR,,,NO,2911,2911,2899,,,,324110,324110,,,,,1.30E+12,BENZENE,71432,YES,TRI,NO,0,YES,R,Pounds,8400,360,0,0,0,0,0,0,0,,,0,8760,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,8760,8760,,,,,,,,,5000,,13760,,1.15,CARIBBEAN INVESTMENTS LTD,NA,"(18.049639, -65.839228)"
01/01/2002 12:00:00 AM,00656DCRBNBOMAG,PREPA-SOUTH COAST POWER PLANT,PR-127 KM 15.7,GUAYANILLA,PR,,,NO,4911,4911,,,,,221112,221112,,,,,1.30E+12,POLYCYCLIC AROMATIC COMPOUNDS,,YES,PBT,NO,0,YES,R,Pounds,0,5,0,0,0,0,0,0,0,,,0,5,,0,0,,,,,,,,,,,,,0,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,5,5,,,,,,,,,,,5,0,0.87,PUERTO RICO ELECTRIC POWER AUTHORITY,90034703,"(18.0001, -66.7536)"
01/01/2002 12:00:00 AM,00619CRBBNLUCHE,CARIBBEAN PETROLEUM REFINING LP,30 RD #28 LUCHETTI INDUSTRIAL PARK,BAYAMON,PR,,,NO,2911,2911,,,,,424710,424710,,,,,1.30E+12,BENZENE,71432,YES,TRI,NO,0,YES,R,Pounds,3663,1951,2,0,0,0,0,0,0,,,0,5616,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,5616,5615,,,,,,,711,,79,,6405,,0.95,CARIBBEAN PETROLEUM CORP,90013475,"(18.418463, -66.137481)"
01/01/2002 12:00:00 AM,00784PRPJBPR03K,PREPA-JOBOS GAS TURBINES POWER PLANT,PR-03 KM 1422,GUAYAMA,PR,,,NO,4911,4911,,,,,221119,221119,,,,,1.30E+12,POLYCYCLIC AROMATIC COMPOUNDS,,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,0,,,,,,,,,,,0,0,0.44,PUERTO RICO ELECTRIC POWER AUTHORITY,90034703,"(17.965458, -66.132009)"
01/01/2002 12:00:00 AM,00626MYLNNRD156,MYLAN INC,ROAD156 KM 58.8 VALLE TOLIMA,CAGUAS,PR,,,NO,2834,2834,,,,,325412,325412,,,,,1.30E+12,CHLOROFORM,67663,YES,TRI,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,805,0,0,0,805,0,,,,,,,,,,,805,805,,2.19,MYLAN PHARMACEUTICAL INC,59295998,"(18.245232, -66.059332)"
01/01/2002 12:00:00 AM,00784CPHRMSTATE,LILLY DEL CARIBE INC PR06,STATE RD 53 KM 82 JOBOS EXIT 83,GUAYAMA,PR,,,NO,2833,2833,,,,,325411,325411,,,,,1.30E+12,"BENZO(G,H,I)PERYLENE",191242,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,,,,,,,,,,,,0,,0,ELI LILLY & CO,6421325,"(17.981111, -66.153056)"
01/01/2002 12:00:00 AM,00629CHLLNRD874,EATON CORP,RD 874 KM 1.1 TORRECILLA ALTA,CANOVANAS,PR,,,NO,3613,3613,,,,,335313,335313,,,,,1.30E+12,NICKEL,7440020,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,,0,,6500,,,,6500,,,0,0,,,0,0,0,0,0,,,,,,,,,6587,,,6587,,5.52,EATON CORP,4155818,"(18.386337, -65.920442)"
