"stamp","created_at","reason","residency","language"
"6967","2015-06-07T12:50:38.000","Otros...","PR.BC, PR","spanish"
"6966","2015-06-07T12:50:00.000","Otros...","PR.LZ, PR","spanish"
"6965","2015-06-07T12:49:51.000","Empleo","PR.PO, PR","spanish"
"6964","2015-06-07T12:49:07.000","Empleo","PR.CG, PR","spanish"
"6963","2015-06-07T12:47:57.000","Otros...","PR.VB, PR","spanish"
"6962","2015-06-07T12:46:00.000","Empleo","PR.SJ, PR","spanish"
"6961","2015-06-07T12:43:03.000","Vivienda","PR.TB, PR","spanish"
"6960","2015-06-07T12:34:59.000","Empleo","PR.BC, PR","spanish"
"6959","2015-06-07T12:32:13.000","Empleo","PR.GB, PR","spanish"
"6958","2015-06-07T12:31:42.000","Empleo","PR.QB, PR","spanish"
"6957","2015-06-07T12:31:34.000","Estudios","PR.CD, PR","spanish"
"6956","2015-06-07T12:30:31.000","Vivienda","PR.BC, PR","spanish"
"6955","2015-06-07T12:28:53.000","Licencia de Armas","PR.CV, PR","spanish"
"6954","2015-06-07T12:26:50.000","Empleo","PR.MC, PR","spanish"
"6953","2015-06-07T12:22:59.000","Empleo","PR.MC, PR","spanish"
"6952","2015-06-07T12:17:30.000","Empleo","PR.MC, PR","spanish"
"6951","2015-06-07T12:14:29.000","Empleo","PR.CN, PR","spanish"
"6950","2015-06-07T12:13:19.000","Empleo","PR.CL, PR","spanish"
"6949","2015-06-07T12:12:38.000","Empleo","PR.CL, PR","spanish"
"6948","2015-06-07T12:12:23.000","Estudios","PR.TJ, PR","spanish"
"6947","2015-06-07T12:11:37.000","Patentes o Franquicias","PR.SJ, PR","spanish"
"6946","2015-06-07T12:09:34.000","Empleo","PR.MC, PR","spanish"
"6945","2015-06-07T12:03:47.000","Empleo","PR.CL, PR","spanish"
"6944","2015-06-07T12:02:21.000","Estudios","PR.BC, PR","spanish"
"6943","2015-06-07T11:59:40.000","Estudios","PR.BY, PR","spanish"
"6942","2015-06-07T11:59:22.000","Vivienda","PR.MV, PR","spanish"
"6941","2015-06-07T11:58:44.000","Empleo","PR.SJ, PR","spanish"
"6940","2015-06-07T11:58:31.000","Otros...","PR.BY, PR","spanish"
"6939","2015-06-07T11:54:57.000","Empleo","PR.LR, PR","spanish"
"6938","2015-06-07T11:54:23.000","Vivienda","PR.GM, PR","spanish"
"6937","2015-06-07T11:51:45.000","Empleo","PR.CL, PR","spanish"
"6936","2015-06-07T11:48:46.000","Estudios","PR.SS, PR","spanish"
"6935","2015-06-07T11:45:19.000","Empleo","DO","spanish"
"6934","2015-06-07T11:38:57.000","Empleo","PR.LP, PR","spanish"
"6933","2015-06-07T11:37:18.000","Empleo","PR.BY, PR","spanish"
"6932","2015-06-07T11:27:24.000","Empleo","PR.VA, PR","spanish"
"6931","2015-06-07T11:26:34.000","Estudios","PR.OR, PR","spanish"
"6930","2015-06-07T11:22:50.000","Otros...","PR.CG, PR","spanish"
"6929","2015-06-07T11:20:32.000","Residencia","PR.SJ, PR","spanish"
"6928","2015-06-07T11:20:19.000","Otros...","PR.IS, PR","spanish"
"6927","2015-06-07T11:17:11.000","Empleo","PR.QB, PR","spanish"
"6926","2015-06-07T11:16:57.000","Empleo","PR.QB, PR","spanish"
"6925","2015-06-07T11:16:11.000","Empleo","PR.TA, PR","spanish"
"6924","2015-06-07T11:15:41.000","Estudios","PR.SJ, PR","spanish"
"6923","2015-06-07T11:12:47.000","Otros...","PR.GM, PR","spanish"
"6922","2015-06-07T11:10:26.000","Estudios","PR.HU, PR","spanish"
"6921","2015-06-07T11:10:25.000","Estudios","PR.VB, PR","spanish"
"6920","2015-06-07T11:03:31.000","Otros...","PR.GB, PR","spanish"
"6919","2015-06-07T11:02:52.000","Estudios","PR.SJ, PR","spanish"
"6918","2015-06-07T11:00:40.000","Empleo","PR.GB, PR","spanish"
"6917","2015-06-07T10:56:34.000","Vivienda","PR.SJ, PR","spanish"
"6916","2015-06-07T10:55:00.000","Empleo","PR.GB, PR","spanish"
"6915","2015-06-07T10:51:43.000","Empleo","PR.GB, PR","spanish"
"6914","2015-06-07T10:48:55.000","Empleo","PR.SL, PR","spanish"
"6913","2015-06-07T10:48:17.000","Empleo","PR.CG, PR","spanish"
"6912","2015-06-07T10:47:01.000","Empleo","PR.CL, PR","spanish"
"6911","2015-06-07T10:44:59.000","Empleo","PR.SJ, PR","spanish"
"6910","2015-06-07T10:43:01.000","Patentes o Franquicias","PR.CG, PR","spanish"
"6909","2015-06-07T10:39:41.000","Empleo","PR.CG, PR","spanish"
"6908","2015-06-07T10:38:44.000","Empleo","PR.CG, PR","spanish"
"6907","2015-06-07T10:38:32.000","Vivienda","PR.AC, PR","spanish"
"6906","2015-06-07T10:37:22.000","Empleo","PR.CY, PR","spanish"
"6905","2015-06-07T10:37:19.000","Empleo","PR.BY, PR","spanish"
"6904","2015-06-07T10:36:44.000","Empleo","PR.CG, PR","spanish"
"6903","2015-06-07T10:36:03.000","Empleo","PR.SG, PR","spanish"
"6902","2015-06-07T10:35:50.000","Otros...","PR.MG, PR","spanish"
"6901","2015-06-07T10:34:21.000","Empleo","PR.AJ, PR","spanish"
"6900","2015-06-07T10:32:50.000","Otros...","PR.MG, PR","spanish"
"6899","2015-06-07T10:32:14.000","Vivienda","PR.AC, PR","spanish"
"6898","2015-06-07T10:27:32.000","Otros...","PR.TJ, PR","spanish"
"6897","2015-06-07T10:23:59.000","Empleo","PR.NR, PR","spanish"
"6896","2015-06-07T10:23:33.000","Employment","PR.PO, PR","english"
"6895","2015-06-07T10:22:33.000","Vivienda","PR.PO, PR","spanish"
"6894","2015-06-07T10:22:28.000","Otros...","PR.TJ, PR","spanish"
"6893","2015-06-07T10:22:03.000","Empleo","PR.MG, PR","spanish"
"6892","2015-06-07T10:20:42.000","Patentes o Franquicias","PR.CG, PR","spanish"
"6891","2015-06-07T10:17:51.000","Estudios","PR.VA, PR","spanish"
"6890","2015-06-07T10:09:46.000","Empleo","PR.TJ, PR","spanish"
"6889","2015-06-07T10:08:06.000","Empleo","PR.SJ, PR","spanish"
"6888","2015-06-07T10:07:16.000","Otros...","PR.PN, PR","spanish"
"6887","2015-06-07T10:07:12.000","Empleo","PR.TJ, PR","spanish"
"6886","2015-06-07T10:06:27.000","Otros...","PR.AN, PR","spanish"
"6885","2015-06-07T10:06:14.000","Empleo","PR.SJ, PR","spanish"
"6884","2015-06-07T10:05:32.000","Estudios","PR.SJ, PR","spanish"
