"unidad","pais","escuelas_p_blicas_solicitantes","escuelas_privadas_solicitantes","escuelas_p_blicas_admitidos","escuelas_privadas_admitidos","escuelas_p_blicas_ies_admitidos","escuelas_privadasies_admitidos","escuelas_p_blicas_igs_admitidos","escuelas_privadas_igs_admitidos","location"
"UPR","PR","56.3","41.1","55.1","43.4","3.60","3.55","291","302","
UPR, PR "
"Aguadilla","PR","78.0","19.6","75.2","23.2","3.57","3.48","286","279","
Aguadilla, PR 
(18.434599981000474, -67.15518999199963)"
"Carolina","PR","57.0","40.2","52.1","46.2","3.47","3.37","278","274","
Carolina, PR 
(18.442839984000443, -66.02399001499964)"
"Arecibo","PR","76.5","21.5","74.3","24.2","3.60","3.52","285","284","
Arecibo, PR 
(18.47238998600045, -66.71972999299965)"
"Ponce","PR","68.5","29.2","67.5","31.0","3.68","3.52","293","291","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"Utuado","PR","77.3","19.6","70.7","27.0","3.00","3.00","229","233","
Utuado, PR 
(18.266249998000433, -66.70459997699965)"
"Cayey","PR","58.5","40.0","56.9","42.8","3.72","3.60","301","306","
Cayey, PR 
(18.114650009000457, -66.16996001699965)"
"Humacao","PR","72.9","25.0","73.9","24.9","3.72","3.63","299","296","
Humacao, PR 
(18.151470017000463, -65.82337000899963)"
"Río Piedras","PR","38.0","58.9","35.1","63.5","3.72","3.65","311","321","
Río Piedras, PR 
(18.399401, -66.050301)"
"Mayagüez","PR","50.8","46.0","49.0","49.2","3.78","3.63","318","321","
Mayagüez, PR 
(18.201348, -67.139486)"
"Bayamón","PR","49.0","48.7","45.8","52.8","3.62","3.46","292","292","
Bayamón, PR 
(18.398847, -66.158248)"
