"municipio_escolar","municipio_location","autismo","da_o_cerebral_por_trauma","disturbios_emocionales","impedimentos_m_ltiples","impedimentos_visuales","otros_problemas_de_salud","problemas_auditivos","problemas_de_habla_y_lenguaje","problemas_espec_ficos_de_aprendizaje","problemas_ortop_dicos","deficiencia_intelectual","retraso_en_el_desarrollo","sordo_ciego","total","a_o_escolar","pueblo"
"ADJUNTAS","
ADJUNTAS, PR 
(18.163220012000465, -66.72308999699965)","11",,"8","1","9","56","6","218","250",,"78",,,"637","2011-01-01T00:00:00.000","ADJUNTAS"
"ADJUNTAS","
ADJUNTAS, PR 
(18.163220012000465, -66.72308999699965)","10",,"12","1","7","48","6","196","257","1","62",,,"600","2012-01-01T00:00:00.000","ADJUNTAS"
"ADJUNTAS","
ADJUNTAS, PR 
(18.163220012000465, -66.72308999699965)","11",,"12","1","5","44","5","192","245","3","53",,,"571","2013-01-01T00:00:00.000","ADJUNTAS"
"AGUADA","
AGUADA, PR 
(18.38036997800043, -67.18917997599965)","24","1","24","13","12","247","13","336","954","2","223",,,"1849","2011-01-01T00:00:00.000","AGUADA"
"AGUADA","
AGUADA, PR 
(18.38036997800043, -67.18917997599965)","46","1","17","17","13","231","10","362","1008","8","227",,,"1940","2013-01-01T00:00:00.000","AGUADA"
"AGUADA","
AGUADA, PR 
(18.38036997800043, -67.18917997599965)","30","1","19","15","13","247","11","367","950","4","226",,,"1883","2012-01-01T00:00:00.000","AGUADA"
"AGUADILLA","
AGUADILLA, PR 
(18.434599981000474, -67.15518999199963)","26","2","32","12","12","181","15","641","927","5","154",,,"2007","2011-01-01T00:00:00.000","AGUADILLA"
"AGUADILLA","
AGUADILLA, PR 
(18.434599981000474, -67.15518999199963)","29","2","25","11","8","217","15","705","1018","5","146",,,"2181","2012-01-01T00:00:00.000","AGUADILLA"
"AGUADILLA","
AGUADILLA, PR 
(18.434599981000474, -67.15518999199963)","84","1","35","8","3","241","21","816","1188","6","159",,"1","2563","2013-01-01T00:00:00.000","AGUADILLA"
"AGUAS BUENAS","
AGUAS BUENAS, PR 
(18.25705999000047, -66.10599000899964)","45",,"31","15","12","148","10","471","858","5","117",,"1","1713","2013-01-01T00:00:00.000","AGUAS BUENAS"
"AGUAS BUENAS","
AGUAS BUENAS, PR 
(18.25705999000047, -66.10599000899964)","18",,"34","12","13","105","13","375","712","5","58",,,"1345","2012-01-01T00:00:00.000","AGUAS BUENAS"
"AGUAS BUENAS","
AGUAS BUENAS, PR 
(18.25705999000047, -66.10599000899964)","12",,"31","16","10","79","10","429","816","7","57",,,"1467","2011-01-01T00:00:00.000","AGUAS BUENAS"
"AIBONITO","
AIBONITO, PR 
(18.139880006000453, -66.26568001399966)","19",,"13","46","3","76","14","313","534","8","72",,,"1098","2011-01-01T00:00:00.000","AIBONITO"
"AIBONITO","
AIBONITO, PR 
(18.139880006000453, -66.26568001399966)","32",,"10","46","4","122","13","224","585","7","57",,,"1100","2013-01-01T00:00:00.000","AIBONITO"
"AIBONITO","
AIBONITO, PR 
(18.139880006000453, -66.26568001399966)","23",,"11","44","7","94","13","294","523","9","56",,,"1074","2012-01-01T00:00:00.000","AIBONITO"
"AIBONITO","
AIBONITO, PR 
(18.139880006000453, -66.26568001399966)","33",,"14","42","3","161","10","296","502","10","33",,,"1104","2014-01-01T00:00:00.000","AIBONITO"
"AÑASCO","
AÑASCO, PR 
(18.281769, -67.139238)","15",,"13","6","3","51","2","240","362","1","80",,,"773","2013-01-01T00:00:00.000","AÑASCO"
"AÑASCO","
AÑASCO, PR 
(18.281769, -67.139238)","12",,"14","7","6","66","2","276","424","4","91",,,"902","2011-01-01T00:00:00.000","AÑASCO"
"AÑASCO","
AÑASCO, PR 
(18.281769, -67.139238)","19",,"16","5","6","72","1","298","428","2","81",,,"928","2012-01-01T00:00:00.000","AÑASCO"
"AÑASCO","
AÑASCO, PR 
(18.281769, -67.139238)","16",,"11","3","5","79","1","313","434","2","76",,,"940","2014-01-01T00:00:00.000","AÑASCO"
"ARECIBO I","
ARECIBO, PR 
(18.47238998600045, -66.71972999299965)","19","1","43","5","9","129","7","492","865","10","117",,,"1697","2011-01-01T00:00:00.000","ARECIBO"
"ARECIBO I","
ARECIBO, PR 
(18.47238998600045, -66.71972999299965)","25","1","40","3","10","159","10","568","848","9","94",,"1","1768","2012-01-01T00:00:00.000","ARECIBO"
"ARECIBO I","
ARECIBO, PR 
(18.47238998600045, -66.71972999299965)","27","2","42","6","10","212","8","551","714","10","70",,"1","1653","2014-01-01T00:00:00.000","ARECIBO"
"ARECIBO II","
ARECIBO, PR 
(18.47238998600045, -66.71972999299965)","58",,"56","15","8","203","13","752","901","7","146",,,"2159","2014-01-01T00:00:00.000","ARECIBO"
"ARECIBO II","
ARECIBO, PR 
(18.47238998600045, -66.71972999299965)","52","1","45","22","9","176","9","589","1027","7","203",,,"2140","2013-01-01T00:00:00.000","ARECIBO"
"ARECIBO II","
ARECIBO, PR 
(18.47238998600045, -66.71972999299965)","45",,"36","19","12","81","12","495","1108","8","226",,"1","2043","2011-01-01T00:00:00.000","ARECIBO"
"ARECIBO II","
ARECIBO, PR 
(18.47238998600045, -66.71972999299965)","50",,"44","19","12","109","15","655","1063","6","197",,,"2170","2012-01-01T00:00:00.000","ARECIBO"
"ARECIBO I","
ARECIBO, PR 
(18.47238998600045, -66.71972999299965)","34","1","28","4","7","130","2","553","558","8","50",,,"1375","2013-01-01T00:00:00.000","ARECIBO"
"ARROYO","
ARROYO, PR 
(17.96216001400046, -66.06388002299963)","22",,"2","7","5","24","2","225","284","2","88",,,"661","2011-01-01T00:00:00.000","ARROYO"
"ARROYO","
ARROYO, PR 
(17.96216001400046, -66.06388002299963)","19",,"15","7","3","87","2","260","241","1","45",,,"680","2014-01-01T00:00:00.000","ARROYO"
"ARROYO","
ARROYO, PR 
(17.96216001400046, -66.06388002299963)","20",,"2","7","6","40","4","233","262","1","70",,,"645","2012-01-01T00:00:00.000","ARROYO"
"ARROYO","
ARROYO, PR 
(17.96216001400046, -66.06388002299963)","17",,"8","7","5","68","1","225","264","1","59",,,"655","2013-01-01T00:00:00.000","ARROYO"
"BARCELONETA","
BARCELONETA, PR 
(18.454409979000445, -66.53820997999964)","30",,"15","7","10","74","2","422","532","4","65",,,"1161","2012-01-01T00:00:00.000","BARCELONETA"
"BARCELONETA","
BARCELONETA, PR 
(18.454409979000445, -66.53820997999964)","36",,"15","7","9","90","2","403","541","4","64",,,"1171","2013-01-01T00:00:00.000","BARCELONETA"
"BARCELONETA","
BARCELONETA, PR 
(18.454409979000445, -66.53820997999964)","39",,"12","10","7","140","5","367","465","2","47",,,"1094","2014-01-01T00:00:00.000","BARCELONETA"
"BARCELONETA","
BARCELONETA, PR 
(18.454409979000445, -66.53820997999964)","19",,"19","6","9","49","2","337","576","3","87",,,"1107","2011-01-01T00:00:00.000","BARCELONETA"
"BARRANQUITAS","
BARRANQUITAS, PR 
(18.18655002300045, -66.30649998599966)","26","1","19","24","28","196","12","269","751","3","103",,"2","1434","2011-01-01T00:00:00.000","BARRANQUITAS"
"BARRANQUITAS","
BARRANQUITAS, PR 
(18.18655002300045, -66.30649998599966)","36","1","16","13","25","282","7","320","685","5","76",,,"1466","2014-01-01T00:00:00.000","BARRANQUITAS"
"BARRANQUITAS","
BARRANQUITAS, PR 
(18.18655002300045, -66.30649998599966)","32","1","21","20","30","225","10","276","739","5","100",,"2","1461","2012-01-01T00:00:00.000","BARRANQUITAS"
"BARRANQUITAS","
BARRANQUITAS, PR 
(18.18655002300045, -66.30649998599966)","68",,"34","16","24","240","14","318","1164","10","149",,"2","2039","2013-01-01T00:00:00.000","BARRANQUITAS"
"BAYAMON II","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","78",,"26","35","14","352","21","954","1112","6","136",,"2","2736","2014-01-01T00:00:00.000","BAYAMON"
"BAYAMÓN III","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","22",,"16","34","11","243","11","894","1109","7","82",,,"2429","2011-01-01T00:00:00.000","BAYAMON"
"BAYAMON III","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","44",,"12","16","6","295","9","989","966","3","51",,,"2391","2014-01-01T00:00:00.000","BAYAMON"
"BAYAMON II","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","78","3","27","36","18","331","26","932","1421","3","153",,"3","3031","2012-01-01T00:00:00.000","BAYAMON"
"Bayamón II","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","83","3","20","28","17","293","26","711","1263","2","134",,"2","2582","2013-01-01T00:00:00.000","BAYAMON"
"Bayamón III","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","38",,"11","21","6","254","11","629","1047","3","74",,,"2094","2013-01-01T00:00:00.000","BAYAMON"
"BAYAMON III","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","41",,"13","29","8","277","10","998","1166","5","76",,,"2623","2012-01-01T00:00:00.000","BAYAMON"
"BAYAMÓN II","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","75","5","35","31","21","286","13","771","1320","4","131",,"1","2693","2011-01-01T00:00:00.000","BAYAMON"
"Bayamón I","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","98",,"19","34","4","261","9","1275","1178","8","132",,"9","3027","2013-01-01T00:00:00.000","BAYAMON"
"BAYAMON I","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","115",,"27","27","6","252","7","917","1261","6","133",,"8","2759","2012-01-01T00:00:00.000","BAYAMON"
"BAYAMÓN I","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","84",,"34","29","8","249","8","705","1344","4","141",,"9","2615","2011-01-01T00:00:00.000","BAYAMON"
"BAYAMON I","
BAYAMON, PR 
(18.394089980000444, -66.14738001999962)","116",,"17","26","3","293","5","937","1131","5","85",,"7","2625","2014-01-01T00:00:00.000","BAYAMON"
"CABO ROJO","
CABO ROJO, PR 
(18.088200019000453, -67.14688998899965)","43",,"24","24","3","226","4","329","758","5","84",,"2","1502","2014-01-01T00:00:00.000","CABO ROJO"
"CABO ROJO","
CABO ROJO, PR 
(18.088200019000453, -67.14688998899965)","26",,"26","21","8","123","9","411","851","8","114",,,"1597","2011-01-01T00:00:00.000","CABO ROJO"
"CABO ROJO","
CABO ROJO, PR 
(18.088200019000453, -67.14688998899965)","47","1","31","20","4","175","8","389","845","9","106",,"1","1636","2012-01-01T00:00:00.000","CABO ROJO"
"CABO ROJO","
CABO ROJO, PR 
(18.088200019000453, -67.14688998899965)","58",,"29","24","6","198","10","363","985","10","96",,"2","1781","2013-01-01T00:00:00.000","CABO ROJO"
"CAGUAS II","
CAGUAS, PR 
(18.226539990000447, -66.03746001999963)","109",,"31","27","23","251","12","902","1292","13","130",,"3","2793","2012-01-01T00:00:00.000","CAGUAS"
"CAGUAS I","
CAGUAS, PR 
(18.226539990000447, -66.03746001999963)","89","1","29","26","5","260","6","735","1176","8","137",,,"2472","2014-01-01T00:00:00.000","CAGUAS"
"CAGUAS I","
CAGUAS, PR 
(18.226539990000447, -66.03746001999963)","99",,"23","29","10","193","9","786","1249","14","177",,,"2589","2012-01-01T00:00:00.000","CAGUAS"
"CAGUAS II","
CAGUAS, PR 
(18.226539990000447, -66.03746001999963)","100",,"32","32","26","206","21","1027","1485","14","136",,"2","3081","2011-01-01T00:00:00.000","CAGUAS"
"CAGUAS II","
CAGUAS, PR 
(18.226539990000447, -66.03746001999963)","93",,"39","28","25","312","7","1018","1142","15","124",,"3","2806","2014-01-01T00:00:00.000","CAGUAS"
"CAGUAS I","
CAGUAS, PR 
(18.226539990000447, -66.03746001999963)","113","1","26","35","7","269","12","956","1298","17","178",,,"2912","2013-01-01T00:00:00.000","CAGUAS"
"CAGUAS I","
CAGUAS, PR 
(18.226539990000447, -66.03746001999963)","53","2","20","30","11","135","7","910","1344","18","171",,,"2701","2011-01-01T00:00:00.000","CAGUAS"
"CAGUAS II","
CAGUAS, PR 
(18.226539990000447, -66.03746001999963)","70",,"23","23","17","183","3","506","937","10","84",,"1","1857","2013-01-01T00:00:00.000","CAGUAS"
"CAMUY","
CAMUY, PR 
(18.483989994000467, -66.84468999599966)","9",,"18","5","11","69","15","235","543","6","59",,"1","971","2011-01-01T00:00:00.000","CAMUY"
