"year","total_ft","male_ft","female_ft","total_pt","male_pt","female_pt","grand_total","tenure","on_tenure_track","total","_"
"2004","30","22","8","31","22","9","61",,,,
"2005","45","35","10","31","17","14","76",,,,
"2006","53","39","14","28","15","13","81",,,,
"2007","47","37","10","32","19","13","79",,,,
"2008","47","37","10","27","18","9","74",,,,
"2009","54","42","12","27","13","14","81",,,,
"2010","52","40","12","31","24","7","83","24","17","41","49"
"2011","50","38","12","41","30","11","91","24","15","39","43"
"2012","48","36","12","48","30","18","96","28","10","38","40"
"2013","50","35","15","36","25","11","86","26","13","39","45"
"2014","50","39","11","39","26","13","89","34","7","41","46"
"2015","53","39","14","36","27","9","89","32","7","39","44"
