"recinto_o_unidad_institucional","a_o_acad_mico","facultad_o_escuela","concentraci_n","especialidad","cip","nivel","nivel_especifico","total_de_estudiantes","total_de_estudiantes_femeninos","total_de_estudiantes_masculinos"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Administración de Empresas General - MAE","52.0101","Graduado","Maestría","5","5","0"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Administración de Oficinas BCAE","52.0401","Subgraduado","Bachillerato o Equivalente","17","16","1"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Contabilidad - BCAE","52.0301","Subgraduado","Bachillerato o Equivalente","48","27","21"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Estudios Organizacionales-Recursos Humanos - BCAE","52.1001","Subgraduado","Bachillerato o Equivalente","36","29","7"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Estudios Organizacionales-Recursos Humanos - MAE","52.1001","Graduado","Maestría","4","3","1"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Finanzas - BCAE","52.0801","Subgraduado","Bachillerato o Equivalente","12","6","6"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Finanzas - MAE","52.0801","Graduado","Maestría","5","2","3"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Gerencia Industrial - BCAE","52.0201","Subgraduado","Bachillerato o Equivalente","18","9","9"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Gerencia Industrial - MAE","52.0201","Graduado","Maestría","5","3","2"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Mercadeo - BCAE","52.1401","Subgraduado","Bachillerato o Equivalente","29","20","9"
"Recinto de Mayagüez","2009-2010","Administración de Empresas","Departamento de Administración de Empresas","Sistemas Computadorizados de Información - BCAE","11.0501","Subgraduado","Bachillerato o Equivalente","28","7","21"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Ciencias Políticas - BA","45.1001","Subgraduado","Bachillerato o Equivalente","24","11","13"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Ciencias Sociales BA","45.0101","Subgraduado","Bachillerato o Equivalente","22","18","4"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Historia - BA","54.0101","Subgraduado","Bachillerato o Equivalente","14","8","6"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Psicología - BA","42.0101","Subgraduado","Bachillerato o Equivalente","72","60","12"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Ciencias Sociales","Sociología - BA","45.1101","Subgraduado","Bachillerato o Equivalente","11","10","1"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Economía","Economía -BA","45.0601","Subgraduado","Bachillerato o Equivalente","12","5","7"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Educación Física","EDFI-Adiestramiento y Arbitraje - BA","51.0913","Subgraduado","Bachillerato o Equivalente","9","0","9"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Educación Física","EDFI-Enseñanza - BA","13.1314","Subgraduado","Bachillerato o Equivalente","18","9","9"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Educación Física","EDFI-Recreación - BA","31.0301","Subgraduado","Bachillerato o Equivalente","6","3","3"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Estudios Hispánicos","Estudios Hispánicos - BA","16.0905","Subgraduado","Bachillerato o Equivalente","15","15","0"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Estudios Hispánicos","Estudios Hispánicos -MA","16.0905","Graduado","Maestría","2","1","1"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Humanidades","Artes Plásticas - BA","50.0702","Subgraduado","Bachillerato o Equivalente","13","11","2"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Humanidades","Filosofía BA","38.0101","Subgraduado","Bachillerato o Equivalente","3","1","2"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Humanidades","Lengua y Literatura Francesa - BA","16.0901","Subgraduado","Bachillerato o Equivalente","2","2","0"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Humanidades","Literatura Comparada - BA","16.0104","Subgraduado","Bachillerato o Equivalente","2","1","1"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Humanidades","Teoría del Arte - BA","50.0703","Subgraduado","Bachillerato o Equivalente","6","4","2"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Ingles","Educación en Inglés - MA","13.1305","Graduado","Maestría","11","10","1"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Artes","Departamento de Ingles","Inglés - BA","23.0101","Subgraduado","Bachillerato o Equivalente","20","16","4"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Biología","Biología - BC","26.0101","Subgraduado","Bachillerato o Equivalente","180","110","70"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Biología","Biología - MC","26.0101","Graduado","Maestría","9","4","5"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Biología","Microbiología Industrial - BC","26.0502","Subgraduado","Bachillerato o Equivalente","68","49","19"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Biología","Pre-Médica - BC","51.1102","Subgraduado","Bachillerato o Equivalente","8","6","2"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Biotecnología Industrial","Biotecnología Industrial - BC","26.1201","Subgraduado","Bachillerato o Equivalente","20","13","7"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Ciencias Marinas","Ciencias Marinas - MC","26.1302","Graduado","Maestría","6","4","2"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Ciencias Marinas","Ciencias Marinas - PHD","26.1302","Graduado","Doctorado","8","5","3"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Enfermería","Enfermería - BC","51.1601","Subgraduado","Bachillerato o Equivalente","35","26","9"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Física","Ciencias Físicas - BC","40.0101","Subgraduado","Bachillerato o Equivalente","1","0","1"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Física","Física General - MC","40.0801","Graduado","Maestría","16","3","13"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Física","Física Teórica - BC","40.0801","Subgraduado","Bachillerato o Equivalente","5","1","4"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Geología","Geología - BC","40.0601","Subgraduado","Bachillerato o Equivalente","18","10","8"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Geología","Geología - MC","40.0601","Graduado","Maestría","4","4","0"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Ciencias de Computación - BC","11.0701","Subgraduado","Bachillerato o Equivalente","5","0","5"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Educación Matemática - BC","13.1311","Subgraduado","Bachillerato o Equivalente","8","4","4"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Estadísticas - MC","27.0501","Graduado","Maestría","4","1","3"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemática Aplicada - MC","27.0301","Graduado","Maestría","5","2","3"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemática Pura - MC","27.0101","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Matemáticas","Matemáticas - BC","27.0101","Subgraduado","Bachillerato o Equivalente","3","2","1"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Química","Programa Doctoral en Química Aplicada - PHD","40.0599","Graduado","Doctorado","2","1","1"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Química","Química - BC","40.0501","Subgraduado","Bachillerato o Equivalente","33","22","11"
"Recinto de Mayagüez","2009-2010","Artes y Ciencias - Ciencias","Departamento de Química","Química -MC","40.0501","Graduado","Maestría","9","6","3"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Ciencia y Tecnología de Alimentos","Ciencias y Tecnología de Alimentos - MC","1.1099","Graduado","Maestría","6","5","1"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Agronomía - BCA","1.1102","Subgraduado","Bachillerato o Equivalente","9","4","5"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Agronomía - MC","1.1102","Graduado","Maestría","3","1","2"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Ciencias del Suelo - BCA","1.1201","Subgraduado","Bachillerato o Equivalente","3","2","1"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Horticultura - BCA","1.1103","Subgraduado","Bachillerato o Equivalente","14","8","6"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Horticultura - MC","1.1103","Graduado","Maestría","3","2","1"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Protección de Cultivos - BCA","1.1105","Subgraduado","Bachillerato o Equivalente","1","0","1"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Protección de Cultivos - MC","1.1105","Graduado","Maestría","4","1","3"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Cultivos y Ciencias Agroambientales","Suelos - MC","1.1201","Graduado","Maestría","5","1","4"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Economía Agrícola","Agronegocios - BCA","1.0102","Subgraduado","Bachillerato o Equivalente","1","0","1"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Economía Agrícola","Economía Agrícola - BCA","1.0103","Subgraduado","Bachillerato o Equivalente","2","0","2"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Economía Agrícola","Economía Agrícola - MC","1.0103","Graduado","Maestría","1","1","0"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Educación Agrícola","Educación Agrícola - BCA","13.1301","Subgraduado","Bachillerato o Equivalente","8","3","5"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Educación Agrícola","Educación Agrícola - MC","13.1301","Graduado","Maestría","2","0","2"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Educación Agrícola","Extensión Agrícolas - BCA","1.0801","Subgraduado","Bachillerato o Equivalente","3","2","1"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Educación Agrícola","Extensión Agrícolas - MC","1.0801","Graduado","Maestría","1","0","1"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Industrias Pecuarias","Industria Pecuaria - BCA","1.0901","Subgraduado","Bachillerato o Equivalente","24","12","12"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Industrias Pecuarias","Industria Pecuaria - MC","1.0901","Graduado","Maestría","2","0","2"
"UPR en Utuado","2012-2013",,"Control de Plagas","N/A","1.1105","Subgraduado","Grado Asociado","6","1","5"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Ingeniería Agrícola","Tecnología Mecánico-Agrícola - BCA","1.0299","Subgraduado","Bachillerato o Equivalente","10","1","9"
"Recinto de Mayagüez","2009-2010","Ciencias Agrícolas","Departamento de Programas Generales en Ciencias Agrícolas","Agricultura General - BC","1","Subgraduado","Bachillerato o Equivalente","10","4","6"
"Recinto de Mayagüez","2009-2010","Ingeniería","Departamento de Ingeniería  Eléctrica y Computadoras","Ciencias e Ingeniería de Computadoras - PHD","11.0101","Graduado","Doctorado","4","0","4"
