"fecha","hora","delito","delitos_code","point_x","point_y","location","area_policiaca"
"2016-08-01T00:00:00.000","12:10:00","6","Apropiacion Ilegal","18.0262279","-66.53794713","(18.0262279, -66.53794713)","Ponce"
"2016-08-01T00:00:00.000","14:40:00","6","Apropiacion Ilegal","18.07721161","-66.79572884","(18.07721161, -66.79572884)","Ponce"
"2016-08-01T00:00:00.000","7:37:00","9","Otros",,,,"Aguadilla"
"2016-08-01T00:00:00.000","9:41:00","5","Escalamiento","18.48526231","-67.02898426","(18.48526231, -67.02898426)","Aguadilla"
"2016-08-01T00:00:00.000","15:00:00","6","Apropiacion Ilegal","18.21796691","-66.04024059","(18.21796691, -66.04024059)","Caguas"
"2016-08-01T00:00:00.000","1:00:00","5","Escalamiento","18.46995231","-66.71565528","(18.46995231, -66.71565528)","Arecibo"
"2016-08-01T00:00:00.000","20:00:00","6","Apropiacion Ilegal","18.0106625","-66.59956677","(18.0106625, -66.59956677)","Ponce"
"2016-08-01T00:00:00.000","14:10:00","9","Otros","18.26400844","-66.70049951","(18.26400844, -66.70049951)","Utuado"
"2016-08-01T00:00:00.000","21:25:00","6","Apropiacion Ilegal","18.40519183","-66.00330376","(18.40519183, -66.00330376)","San Juan"
"2016-08-01T00:00:00.000","3:00:00","5","Escalamiento","18.39776185","-65.96052771","(18.39776185, -65.96052771)","Carolina"
"2016-08-01T00:00:00.000","9:22:00","5","Escalamiento","18.17436978","-66.04462748","(18.17436978, -66.04462748)","Caguas"
"2016-08-01T00:00:00.000","16:42:00","6","Apropiacion Ilegal","18.20982685","-66.04691907","(18.20982685, -66.04691907)","Caguas"
"2016-08-01T00:00:00.000","23:50:00","6","Apropiacion Ilegal","18.39866809","-66.10134058","(18.39866809, -66.10134058)","San Juan"
"2016-08-01T00:00:00.000","10:35:00","6","Apropiacion Ilegal","18.2753504","-67.12019749","(18.2753504, -67.12019749)","Mayaguez"
"2016-08-01T00:00:00.000","18:39:00","6","Apropiacion Ilegal","18.12252524","-65.98646709","(18.12252524, -65.98646709)","Caguas"
"2016-08-01T00:00:00.000","22:22:00","5","Escalamiento","18.39866809","-66.10134058","(18.39866809, -66.10134058)","San Juan"
