"c_digo_de_la_entidad","nombre_de_la_entidad","nombre_de_la_agencia","posee_contratos"
"7898","Escuela La Gelpa","Región Educativa de Ponce","false"
"2200","Departamento de Justicia","Departamento de Justicia","true"
"1020","Departamento de Estado","Departamento de Estado","true"
"1440","Policía de Puerto Rico","Policía de Puerto Rico","true"
"2180","Comisión de Derechos Civiles","Comisión de Derechos Civiles","true"
"1038","Loteria Adicional","Departamento de Hacienda","false"
"3095","Programa ""Nuevo Hogar Seguro""","Programa ""Nuevo Hogar Seguro""","true"
"400","Oficina del Contralor de Puerto Rico","Oficina del Contralor de Puerto Rico","true"
"1000","Departamento de Agricultura","Departamento de Agricultura","true"
"1010","Administracion de Fomento Comercial","Administración de Fomento Comercial","true"
"1031","Departamento de Hacienda","Departamento de Hacienda","true"
"1033","Negociado de Arbitrios Generales (Puertos)","Departamento de Hacienda","true"
"1034","Negociado de Bebidas Alcohólicas y Licencias","Departamento de Hacienda","false"
"1035","Negociado de Auditoría Fiscal","Departamento de Hacienda","true"
"1036","Negociado de Asistencia Contributiva y Consultas Especializadas","Departamento de Hacienda","false"
"1037","Negociado de Procesamiento de Planillas","Departamento de Hacienda","false"
"1039","Negociado de la Lotería de Puerto Rico","Departamento de Hacienda","true"
"1040","Area del Tesoro","Departamento de Hacienda","true"
"1041","Negociado de Recaudaciones","Departamento de Hacienda","true"
"1042","Area de Seguros Públicos","Departamento de Hacienda","true"
"1043","Unidad de Cotejo del Negociado de la Lotería de Puerto Rico","Departamento de Hacienda","false"
"1044","Negociado de Impuestos al Consumo","Departamento de Hacienda","false"
"1051","Colecturía de Rentas Internas de Adjuntas","Departamento de Hacienda","false"
"1052","Colecturía de Rentas Internas de Aguada","Departamento de Hacienda","false"
"1053","Colecturía de Rentas Internas de Aguadilla","Departamento de Hacienda","false"
"1054","Colecturía de Rentas Internas de Aguas Buenas","Departamento de Hacienda","false"
"1055","Colecturía de Rentas Internas de Aibonito","Departamento de Hacienda","false"
"1056","Colecturía de Rentas Internas de Añasco","Departamento de Hacienda","false"
"1057","Colecturía de Rentas Internas de Arecibo","Departamento de Hacienda","false"
"1058","Colecturía de Rentas Internas de Arroyo","Departamento de Hacienda","false"
"1059","Colecturía de Rentas Internas de Barceloneta","Departamento de Hacienda","false"
"1060","Colecturía de Rentas Internas de Barranquitas","Departamento de Hacienda","false"
"1061","Colecturía de Rentas Internas de Bayamón","Departamento de Hacienda","false"
"1062","Colecturía de Rentas Internas de Cabo Rojo","Departamento de Hacienda","false"
"1063","Colecturía de Rentas Internas de Caguas","Departamento de Hacienda","false"
"1064","Colecturía de Rentas Internas de Camuy","Departamento de Hacienda","false"
"1065","Colecturía de Rentas Internas de Canóvanas","Departamento de Hacienda","false"
"1066","Colecturía de Rentas Internas de Carolina","Departamento de Hacienda","false"
"1067","Colecturía de Rentas Internas de Cataño","Departamento de Hacienda","false"
"1068","Colecturía de Rentas Internas de Cayey","Departamento de Hacienda","false"
"1069","Colecturía de Rentas Internas de Ceiba","Departamento de Hacienda","false"
"1070","Colecturía de Rentas Internas Central","Departamento de Hacienda","false"
"1071","Colecturía de Rentas Internas de Ciales","Departamento de Hacienda","false"
"1072","Colecturía de Rentas Internas de Cidra","Departamento de Hacienda","false"
"1073","Colecturía de Rentas Internas de Coamo","Departamento de Hacienda","false"
"1074","Colecturía de Rentas Internas de Comerío","Departamento de Hacienda","false"
"1075","Colecturía de Rentas Internas de Corozal","Departamento de Hacienda","false"
"1076","Colecturía de Rentas Internas de Culebra","Departamento de Hacienda","false"
"1077","Colecturía de Rentas Internas de Dorado","Departamento de Hacienda","false"
"1078","Colecturía de Rentas Internas de Fajardo","Departamento de Hacienda","false"
"1079","Colecturía de Rentas Internas de Florida","Departamento de Hacienda","false"
"1080","Colecturía de Rentas Internas de Guánica","Departamento de Hacienda","false"
"1081","Colecturía de Rentas Internas de Guayama CESCO","Departamento de Hacienda","false"
"1082","Colecturía de Rentas Internas de Guayanilla","Departamento de Hacienda","false"
"1083","Colecturía de Rentas Internas de Guaynabo","Departamento de Hacienda","true"
"1084","Colecturía de Rentas Internas de Gurabo","Departamento de Hacienda","false"
"1085","Colecturía de Rentas Internas de Hatillo","Departamento de Hacienda","false"
"1086","Colecturía de Rentas Internas de Hormigueros","Departamento de Hacienda","false"
"1087","Colecturía de Rentas Internas de Humacao","Departamento de Hacienda","false"
"1088","Colecturía de Rentas Internas de Isabela","Departamento de Hacienda","false"
"1089","Colecturía de Rentas Internas de Jayuya","Departamento de Hacienda","false"
"1090","Colecturía de Rentas Internas de Juana Díaz","Departamento de Hacienda","false"
"1091","Colecturía de Rentas Internas de Juncos","Departamento de Hacienda","false"
"1092","Colecturía de Rentas Internas de Lajas","Departamento de Hacienda","false"
"1093","Colecturía de Rentas Internas de Lares","Departamento de Hacienda","false"
"1094","Colecturía de Rentas Internas de Las Piedras","Departamento de Hacienda","false"
"1095","Colecturía de Rentas Internas de Las Marías","Departamento de Hacienda","false"
"1096","Colecturía de Rentas Internas de Loíza","Departamento de Hacienda","false"
"1097","Colecturía de Rentas Internas de Luquillo","Departamento de Hacienda","false"
"1098","Colecturía de Rentas Internas de Manatí","Departamento de Hacienda","false"
"1099","Colecturía de Rentas Internas de Maricao","Departamento de Hacienda","false"
"1100","Colecturía de Rentas Internas de Maunabo","Departamento de Hacienda","false"
"1101","Colecturía de Rentas Internas de Mayaguez","Departamento de Hacienda","false"
"1102","Colecturía de Rentas Internas de Moca","Departamento de Hacienda","false"
"1103","Colecturía de Rentas Internas de Morovis","Departamento de Hacienda","false"
"1104","Colecturía de Rentas Internas de Naguabo","Departamento de Hacienda","false"
"1105","Colecturía de Rentas Internas de Naranjito","Departamento de Hacienda","false"
"1106","Colecturía de Rentas Internas de Orocovis","Departamento de Hacienda","false"
"1107","Colecturía de Rentas Internas de Patillas","Departamento de Hacienda","false"
"1108","Colecturía de Rentas Internas de Peñuelas","Departamento de Hacienda","false"
"1109","Colecturía de Rentas Internas de Ponce","Departamento de Hacienda","false"
"1110","Colecturia de Rentas Internas de Puerto Nuevo","Departamento de Hacienda","false"
"1111","Colecturía de Rentas Internas de Quebradillas","Departamento de Hacienda","false"
"1112","Colecturía de Rentas Internas de Rincón","Departamento de Hacienda","false"
"1113","Colecturía de Rentas Internas de Río Grande","Departamento de Hacienda","false"
"1114","Colecturía de Rentas Internas de Río Piedras","Departamento de Hacienda","false"
"1115","Colecturía de Rentas Internas de Salinas","Departamento de Hacienda","false"
"1116","Colecturía Rentas Internas de Sabana Grande","Departamento de Hacienda","false"
"1117","Colecturía de Rentas Internas de San Germán","Departamento de Hacienda","false"
"1120","Colecturía de Rentas Internas de San Lorenzo","Departamento de Hacienda","false"
"1121","Colecturía de Rentas Internas de Santa Isabel","Departamento de Hacienda","false"
"1122","Colecturía de Rentas Internas de Santurce","Departamento de Hacienda","false"
"1123","Colecturía Rentas Internas de San Sebastián","Departamento de Hacienda","false"
"1124","Colecturía de Rentas Internas de Toa Alta","Departamento de Hacienda","false"
"1125","Colecturía de Rentas Internas de Toa Baja","Departamento de Hacienda","false"
"1126","Colecturía Rentas Internas de Trujillo Alto","Departamento de Hacienda","false"
"1127","Colecturía de Rentas Internas de Utuado","Departamento de Hacienda","false"
"1128","Colecturía de Rentas Internas de Vega Alta","Departamento de Hacienda","false"
"1129","Colecturía de Rentas Internas de Vega Baja","Departamento de Hacienda","false"
"1130","Colecturía de Rentas Internas de Vieques","Departamento de Hacienda","false"
"1131","Colecturía de Rentas Internas de Villalba","Departamento de Hacienda","false"
"1132","Colecturía de Rentas Internas de Yabucoa","Departamento de Hacienda","false"
"1133","Colecturía Rentas Internas de Yauco","Departamento de Hacienda","false"
"1134","Colecturía Centro Judicial de Bayamón","Departamento de Hacienda","false"
"1135","Colecturía Centro Judicial de Hato Rey","Departamento de Hacienda","false"
