"agency_cd","site_no","station_nm","site_tp_cd","lat_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","last_date","location"
"USGS","181023066095700","CIDRA SITE, CIDRA, PR","FA-CS","181023","18.17107","-66.16544","M","S","NAD27","NAD83","72","41","US","NA","NA","  20000",,"NA",,"NA",,"NA","NA","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","NA","NA","NA","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","NA","1988-01-25T00:00:00.000","(18.17107, -66.16544)"
"USGS","50014800","RIO CAMUY NR BAYANEY, PR","ST","182347.2","18.39444","-66.81761","N","S","NAD27","NAD83","72","65","US","NA","CAMUY","  20000","358","M","16","NGVD29","21010002"," 2","C","NNNNYNNNNYNNNNNNNNNNNNNNNNNNNN","NA","19840523","NA","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454300100","2017-02-17T00:00:00.000","(18.39444, -66.81761)"
"USGS","50015700","RIO CAMUY NR HATILLO, PR","ST","182744","18.46022","-66.83184","M","S","NAD27","NAD83","72","65","US","NA","CAMUY","  20000","13","M","2.5","NGVD29","21010002"," 2","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","NA","19840619","NA","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454300100","1996-09-30T00:00:00.000","(18.46022, -66.83184)"
"USGS","50016000","RIO CAMUY NR CAMUY, PR","ST","182825","18.47161","-66.83018","M","S","NAD27","NAD83","72","65","US","NA","CAMUY","  20000","49.2","M","5","NGVD29","21010002"," 2","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","NA","NA","NA","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454300100","1973-12-31T00:00:00.000","(18.47161, -66.83018)"
"USGS","50020500","RIO GRANDE DE ARECIBO NR ADJUNTAS, PR","ST","181054","18.17968","-66.73629","M","S","NAD27","NAD83","72","1","US","NA","ADJUNTAS","  20000","1449","M","16","NGVD29","21010002","03","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","NA","19851128","12.7","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454310600","2007-01-29T00:00:00.000","(18.17968, -66.73629)"
"USGS","50021000","RIO PELLEJAS AT CENTRAL PELLEJAS, PR","ST","181207","18.19996","-66.70406","M","S","NAD27","NAD83","72","1","US","NA","ADJUNTAS","  20000","1181.2","M","16","NGVD29","21010002","03","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","NA","19851128","5.46","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454310600","1970-09-24T00:00:00.000","(18.19996, -66.70406)"
"USGS","50021030","RIO PELLEJAS ABV CENTRAL PELLEJAS, PR","ST","181217","18.20273","-66.70323","M","S","NAD27","NAD83","72","1","US","NA","ADJUNTAS","  20000","1148","M","16","NGVD29","21010002","NA","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","NA","20000101","6.87","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454300100","2007-01-31T00:00:00.000","(18.20273, -66.70323)"
"USGS","50021050","RIO PELLEJAS BLW CENTRAL PELLEJAS, PR","ST","181222","18.20412","-66.70323","M","S","NAD27","NAD83","72","1","US","NA","ADJUNTAS","  20000","1154.9","M","16","NGVD29","21010002","03","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","NA","19851128","7.89","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454300100","1974-12-31T00:00:00.000","(18.20412, -66.70323)"
"USGS","50021500","RIO PELLEJAS NR UTUADO, PR","ST","181353","18.2294","-66.71517","M","S","NAD27","NAD83","72","141","US","NA","ADJUNTAS","  20000","885.9","M","16","NGVD29","21010002","03","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","NA","19851128","9.55","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454300100","1974-12-31T00:00:00.000","(18.2294, -66.71517)"
"USGS","50021700","RIO GRANDE DE ARECIBO ABV UTUADO, PR","ST","181439.1","18.24221","-66.72191","M","S","NAD27","NAD83","72","141","US","NA","ADJUNTAS","  20000","525","M","16","NGVD29","21010002","03","C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN","NA","19890213","36","NA","AST","N","NA","NNNNNNNN","NA","NA","NA","NA","NA","NA","PR454300100","2017-02-17T00:00:00.000","(18.24221, -66.72191)"
