NUM. AEP,EDIFICIOS,MUNICIPIO,REGIÓN,DIRECCIÓN FÍSICA,Latitud,Longitud,Location
4030,CENTRO JUDICIAL,AGUADILLA,ADMINISTRADOR,"CALLE PROGRESO NÚM. 10, AGUADILLA, P.R.",18.4251191849,-67.1545290047,"(18.4251191849, -67.1545290047)"
4110,CENTRO JUDICIAL,BAYAMÓN ,ADMINISTRADOR&FA,"CARRETERA NÚM. 2 FRENTE RESIDENCIAL VIRGILIO DÁVILA AL LADO COLISEO RUBÉN RODRÍGUEZ Y EL CENTRO COMERCIAL SANTA ROSA, BAYAMÓN, P.R. P.O. BOX 55455 STATION 1, BAYAMÓN, P.R. 00960",18.3949149608,-66.1492521274,"(18.3949149608, -66.1492521274)"
4130,CENTRO JUDICIAL,CAGUAS,ADMINISTRADOR,"AVE. RAFAEL CORDERO, ESQ. VILLARES, CAGUAS, P.R. (PO BOX 491)",18.2367551151,-66.0307615907,"(18.2367551151, -66.0307615907)"
4560,CENTRO JUDICIAL,PONCE,ADMINISTRADOR,"AVE. SANTIAGO DE LOS CABALLEROS FRENTE A LA UNIVERSIDAD DE PR, PONCE, P.R.",17.9921530265,-66.6045100012,"(17.9921530265, -66.6045100012)"
1070,CENTRO JUDICIAL,SAN JUAN,ADMINISTRADOR&FA,"AVE. MUÑOZ RIVERA, ESQ. COLL Y TOSTE, HATO REY, SAN JUAN, P.R.",18.411886715,-66.0562268725,"(18.411886715, -66.0562268725)"
1423,CENTRO METROPOLITANO DE DENUNCIAS E INVESTIGACIONES,HATO REY,ADMINISTRADOR&FA,"CALLE PEÑUELAS NÚM. 74, HATO REY, SAN JUAN, P.R.",18.4096943705,-66.0547226157,"(18.4096943705, -66.0547226157)"
4300,TRIBUNAL,GUAYNABO,ADMINISTRADOR&FA,"CARRETETRA NÚM. 20 CALLE PARQUE DE LOS NIÑOS, GUAYNABO, P.R.",18.3617077515,-66.11169955,"(18.3617077515, -66.11169955)"
2035,FISCALÍA DE AGUADILLA,AGUADILLA,ADMINISTRADOR,"CALLE PROGRESO NÚM. 10, AGUADILLA, P.R.",18.4255585803,-67.1545321686,"(18.4255585803, -67.1545321686)"
4140,TRIBUNAL DISTRITO,CAMUY,AGUADILLA,"CARR. 485, KM. 0.2, CAMUY, P.R.",18.4870365741,-66.8473303361,"(18.4870365741, -66.8473303361)"
4400,TRIBUNAL DISTRITO,LARES,AGUADILLA,"CALLE NUEVA, LARES, P.R.",18.2959274231,-66.8772457253,"(18.2959274231, -66.8772457253)"
4650,TRIBUNAL DISTRITO,SAN SEBASTÍAN,AGUADILLA,"CALLE SEVERO ARANA, SAN SEBASTÍAN, P.R.",18.3340432408,-66.9909405527,"(18.3340432408, -66.9909405527)"
4190,TRIBUNAL DISTRITO,CIALES,ARECIBO,"CALLE LINO RESTITUTO CORRETJER, CARRETERA 149, AL LADO CUARTEL DE LA POLICÍA, CIALES, P.R.",18.3372613108,-66.4701553827,"(18.3372613108, -66.4701553827)"
4450,TRIBUNAL DISTRITO,MANATÍ,ARECIBO,"CARRETERA NÚM. 2 KM. 48.5 AL LADO DEL CUARTEL DE POLICÍA, OROCOVIS, P.R.",18.4319365701,-66.4823429303,"(18.4319365701, -66.4823429303)"
4530,TRIBUNAL DISTRITO,OROCOVIS,ARECIBO,"CALLE HOSPITAL NÚM. 9, A LADO DEL CUARTEL, OROCOVIS, P.R.",18.2242505511,-66.3921108267,"(18.2242505511, -66.3921108267)"
