NUM_TRAMITE,PERMIT_TYPE,CREATION_DATE,PAID,PROJECT_NAME,STATUS,CATASTRO,COORDX,COORDY,COORD_X_Y,LAST_UPDATED,ESTADO
2016-107251-CSA-170100,CSA,03/10/2016 12:00:00 AM,35,Tijera Sal�n By Sammy,PERMIT_APPROVED,086-064-246-13,18.385104275659,-66.0999065925534,"(18.385104275659, -66.0999065925534)",03/10/2016 12:00:00 AM,Adjudicado
2016-107284-PUS-170181,PUS,03/10/2016 12:00:00 AM,100,"COFFEE SHOP (D' CAF�) - VENTA DE CAF�, SANDWICHES, CUP CAKES, AGUA Y  REFRIGERIOS",AWAITING_INSPECTION,324-036-512-03,18.1116768838907,-66.1527338156105,"(18.1116768838907, -66.1527338156105)",03/10/2016 12:00:00 AM,Pendiente
2015-056162-PCT-170119,PCT,03/10/2016 12:00:00 AM,75,Limpieza de solar y limpieza de camino,AWAITING_INSPECTION,274-000-005-37,18.1796356096009,-66.1981462122205,"(18.1796356096009, -66.1981462122205)",03/10/2016 12:00:00 AM,Pendiente
2016-107278-CSA-170190,CSA,03/10/2016 12:00:00 AM,35,RESTAURANTE PUNTO LATINO DE RIO GRANDE,PERMIT_APPROVED,091-091-359-24,18.3756854370338,-65.8086617769507,"(18.3756854370338, -65.8086617769507)",03/10/2016 12:00:00 AM,Adjudicado
2016-107272-PUS-170137,PUS,03/10/2016 12:00:00 AM,25,TEMPORADA  BASEBALL DOBLE A 2016 1 KIOSKO CON VENTAS DE BEBIDAS ALCOHOLICAS ,PERMIT_APPROVED,253-079-254-01,18.1934286111887,-65.8834418377697,"(18.1934286111887, -65.8834418377697)",03/10/2016 12:00:00 AM,Adjudicado
2015-082159-PUS-170096,PUS,03/10/2016 12:00:00 AM,25,Residencia Rodriguez,AWAITING_INSPECTION,315-000-008-06,18.0944579842194,-66.7127337699603,"(18.0944579842194, -66.7127337699603)",03/10/2016 12:00:00 AM,Pendiente
2016-107284-DEC-170174,DEC,03/10/2016 12:00:00 AM,75,"COFFEE SHOP (D' CAF�) - VENTA DE CAF�, SANDWICHES, CUP CAKES, AGUA Y  REFRIGERIOS",AWAITING_INSPECTION,324-036-512-03,18.1116768838907,-66.1527338156105,"(18.1116768838907, -66.1527338156105)",03/10/2016 12:00:00 AM,Pendiente
2016-107239-DEC-170057,DEC,03/10/2016 12:00:00 AM,75,PERMISO DE USO PARA NEGOCIO DE REPARACION DE AIRES ACONDICONADOS,AWAITING_INSPECTION,280-032-361-07,18.17591499728651,-65.86405098438263,"(18.17591499728651, -65.86405098438263)",03/10/2016 12:00:00 AM,Pendiente
2016-106810-DEC-170183,DEC,03/10/2016 12:00:00 AM,75,Mass Mutual Agency Expansion 2016,AWAITING_INSPECTION,063-031-074-38,18.424967454866465,-66.05728268623352,"(18.424967454866465, -66.05728268623352)",03/10/2016 12:00:00 AM,Pendiente
2016-107267-DEC-170132,DEC,03/10/2016 12:00:00 AM,75,CENTRO DE TERAPIA DE HABLA,AWAITING_INSPECTION,010-053-577-15,18.4819263245524,-66.8591582553636,"(18.4819263245524, -66.8591582553636)",03/10/2016 12:00:00 AM,Pendiente
