YEAR,TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,COUNTY,ST,BIA_CODE,TRIBE,FEDERAL_FACILITY,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,Location 1
01/01/1987 12:00:00 AM,00701DPNTGHIGHW,DUPONT AGRICULTURAL CARIBE INDUSTRIES LTD (PART),"P.R. RD NO. 686, KM. 2.3",MANATI,PR,,,,2879,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,XYLENE (MIXED ISOMERS),1330207,YES,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,E I DU PONT DE NEMOURS & CO,NA,"(18.453002, -66.471283)"
01/01/1987 12:00:00 AM,00701DPNTPHIGHW,BRISTOL-MYERS SQUIBB HOLDINGS PHARMA LTD LIABILITY CO,RD 686 KM 2.3,MANATI,PR,,,,2834,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,SODIUM HYDROXIDE (SOLUTION),1310732,NO,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,BRISTOL-MYERS SQUIBB CO,1288497,"(18.453002, -66.471283)"
01/01/1987 12:00:00 AM,00701DPNTLHIGHW,DU PONT ELECTRONICS MICROCIRCU ITS INDUSTRIES LTD (PART),HWY 686 KM 2.3,MANATI,PR,,,,3399,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,"1,1,1-TRICHLOROETHANE",71556,YES,TRI,NO,0,NO,R,Pounds,11185,0,0,0,0,0,0,0,0,0,0,0,11185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11185,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,E I DU PONT DE NEMOURS & CO,1315704,"(18.4495, -66.4702)"
01/01/1987 12:00:00 AM,00701DPNTGHIGHW,DUPONT AGRICULTURAL CARIBE INDUSTRIES LTD (PART),"P.R. RD NO. 686, KM. 2.3",MANATI,PR,,,,INVA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,ETHYLENE GLYCOL,107211,YES,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,E I DU PONT DE NEMOURS & CO,NA,"(18.453002, -66.471283)"
01/01/1987 12:00:00 AM,00701DPNTLHIGHW,DU PONT ELECTRONICS MICROCIRCU ITS INDUSTRIES LTD (PART),HWY 686 KM 2.3,MANATI,PR,,,,3399,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,DICHLOROMETHANE,75092,YES,TRI,NO,0,YES,R,Pounds,3829,0,0,0,0,0,0,0,0,0,0,0,3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20044,0,0,0,0,20044,3829,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,E I DU PONT DE NEMOURS & CO,1315704,"(18.4495, -66.4702)"
01/01/1987 12:00:00 AM,00708LLLLYSTATE,LILLY DEL CARIBE INC,3080 AVE HOSTOS,MAYAGUEZ,PR,,,,2833,2834,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,AMMONIA,7664417,NO,TRI,NO,0,NO,R,Pounds,750,3000,250,0,0,0,0,0,0,0,0,250,4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,ELI LILLY & CO,NA,"(18.20306, -67.14217)"
01/01/1987 12:00:00 AM,00632MRCNNPOBOX,AMERICAN NATIONAL CAN CO PUERTO RICO FACILITY,RD. 869 KM 1.1 BO PALMAS INDL. PARK P.O. BOX 185,CATANO,PR,,,,3411,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,MANGANESE,7439965,YES,TRI,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,90,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,AMERICAN NATIONAL CAN CO,5105366,"(18.426796, -66.148517)"
01/01/1987 12:00:00 AM,00705BXTRHMERCE,BAXTER HEALTHCARE OF PUERTO RICO,RD 721 KM. 0.3 MERCEDITA SERRALLEZ RD,AIBONITO,PR,,,,3841,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,FREON 113,76131,NO,TRI,NO,0,NO,R,Pounds,17000,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,BAXTER INTERNATIONAL INC,5083209,"(18.137284, -66.259279)"
01/01/1987 12:00:00 AM,00628LLLLY65THI,LILLY DEL CARIBE INC CAROLIN A,430 CALLE FABRIL,CAROLINA,PR,,,,2834,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,ACETONE,67641,NO,TRI,NO,0,NO,R,Pounds,250,250,250,0,0,0,0,0,0,0,0,0,750,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,8100,750,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,ELI LILLY & CO,6421325,"(18.376616, -65.941276)"
01/01/1987 12:00:00 AM,00709STRKSCARR3,STARKIST CARIBE INC.,3051 RD. 64,MAYAGUEZ,PR,,,,2047,2048,2091,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39E+12,"1,2,4-TRIMETHYLBENZENE",95636,NO,TRI,NO,0,NO,R,Pounds,0,750,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,H J HEINZ CO,4318846,"(18.216667, -67.166667)"
