"region","g","pk","kg","_1","_2","_3","_4","_5","_6","ee","_7","_8","_9","ei","_10","_11","_12","es","total"
"ARECIBO","F","98","1888","2021","2056","1979","2086","2040","2054","227","2059","2353","2264","120","2333","2200","1968","75","27821"
"ARECIBO","M","141","1930","2317","2166","2072","2124","2146","2107","596","2466","2428","2113","308","2345","1991","1714","180","29144"
"BAYAMON","F","73","1794","2090","1905","2008","2006","2001","1928","353","2120","2250","2268","251","2125","2120","1966","96","27354"
"BAYAMON","M","92","1859","2234","2080","2009","2074","2030","1974","925","2292","2195","2210","669","2203","1913","1790","250","28799"
"CAGUAS","F","123","1910","2151","1992","1936","2113","2011","2034","257","2113","2174","2251","196","2252","2205","2132","142","27992"
"CAGUAS","M","111","1991","2149","2139","2115","2151","2053","2023","737","2201","2242","2259","434","2304","2095","1861","388","29253"
"HUMACAO","F","236","1824","2056","2005","2050","2137","2075","1989","221","2244","2308","2240","150","2241","2190","2057","99","28122"
"HUMACAO","M","195","1913","2312","2200","2049","2241","2110","1951","514","2340","2174","2146","335","2307","1959","1802","218","28766"
"MAYAGUEZ","F","207","1847","2142","2053","2007","2054","2146","2073","186","2196","2296","2452","178","2524","2387","2159","66","28973"
"MAYAGUEZ","M","261","1947","2290","2208","2246","2265","2272","2121","504","2513","2516","2413","412","2504","2220","1869","220","30781"
"PONCE","F","156","2131","2360","2292","2270","2342","2220","2132","274","2303","2474","2357","167","2678","2411","2178","61","30806"
"PONCE","M","153","2183","2528","2396","2269","2377","2364","2302","604","2568","2692","2554","401","2488","2207","2023","187","32296"
"SAN JUAN","F","60","2102","2353","2246","2239","2204","2146","2170","517","2431","2334","2408","218","2363","2083","1891","183","29948"
"SAN JUAN","M","66","2128","2582","2333","2186","2396","2219","2262","1271","2452","2257","2159","513","2172","1835","1639","425","30895"
