fecha_ocurrencia,hora_ocurrencia,FK_delito_cometido_Tipo_I,REGION,OBJECTID
02/11/2014 12:00:00 AM +0000,10:05:00,6,2,3955181
03/21/2014 12:00:00 AM +0000,09:21:00,3,2,3955182
02/14/2014 12:00:00 AM +0000,19:00:00,5,2,3955183
01/20/2014 12:00:00 AM +0000,00:00:00,6,2,3955184
03/27/2014 12:00:00 AM +0000,21:00:00,5,2,3955185
02/05/2014 12:00:00 AM +0000,08:00:00,6,2,3955186
03/06/2014 12:00:00 AM +0000,07:00:00,5,2,3955187
01/12/2014 12:00:00 AM +0000,00:00:00,6,2,3955188
02/25/2014 12:00:00 AM +0000,09:00:00,5,2,3955189
02/20/2014 12:00:00 AM +0000,16:00:00,5,2,3955190
02/05/2014 12:00:00 AM +0000,12:34:00,6,2,3955191
03/07/2014 12:00:00 AM +0000,14:00:00,6,2,3955192
01/11/2014 12:00:00 AM +0000,02:00:00,6,2,3955193
03/05/2014 12:00:00 AM +0000,16:00:00,6,2,3955194
01/17/2014 12:00:00 AM +0000,16:16:00,6,2,3955195
02/11/2014 12:00:00 AM +0000,08:00:00,6,2,3955196
03/23/2014 12:00:00 AM +0000,17:00:00,6,2,3955197
02/24/2014 12:00:00 AM +0000,03:00:00,6,2,3955198
02/07/2014 12:00:00 AM +0000,17:00:00,6,2,3955199
02/24/2014 12:00:00 AM +0000,15:00:00,5,2,3955200
01/17/2014 12:00:00 AM +0000,23:36:00,4,2,3955201
01/07/2014 12:00:00 AM +0000,11:00:00,5,2,3955202
01/29/2014 12:00:00 AM +0000,22:00:00,6,2,3955203
02/14/2014 12:00:00 AM +0000,15:00:00,3,2,3955204
03/24/2014 12:00:00 AM +0000,08:00:00,5,2,3955205
01/14/2014 12:00:00 AM +0000,05:00:00,6,2,3955206
02/19/2014 12:00:00 AM +0000,17:00:00,6,2,3955207
02/12/2014 12:00:00 AM +0000,03:00:00,5,2,3955208
03/07/2014 12:00:00 AM +0000,11:30:00,7,2,3955209
01/31/2014 12:00:00 AM +0000,17:00:00,5,2,3955210
02/27/2014 12:00:00 AM +0000,08:00:00,6,2,3955211
02/13/2014 12:00:00 AM +0000,11:00:00,6,2,3955212
03/15/2014 12:00:00 AM +0000,23:00:00,6,2,3955213
01/08/2014 12:00:00 AM +0000,21:30:00,4,2,3955214
01/07/2014 12:00:00 AM +0000,15:30:00,6,2,3955215
03/18/2014 12:00:00 AM +0000,21:00:00,5,2,3955216
03/11/2014 12:00:00 AM +0000,15:00:00,5,2,3955217
03/16/2014 12:00:00 AM +0000,22:00:00,6,2,3955218
03/28/2014 12:00:00 AM +0000,10:00:00,5,2,3955219
02/17/2014 12:00:00 AM +0000,19:00:00,3,2,3955220
02/09/2014 12:00:00 AM +0000,12:00:00,5,2,3955221
02/22/2014 12:00:00 AM +0000,21:30:00,5,2,3955222
02/19/2014 12:00:00 AM +0000,05:07:00,5,2,3955223
02/05/2014 12:00:00 AM +0000,21:45:00,4,2,3955224
02/07/2014 12:00:00 AM +0000,15:00:00,5,2,3955225
03/16/2014 12:00:00 AM +0000,22:00:00,6,2,3955226
02/11/2014 12:00:00 AM +0000,16:00:00,6,2,3955227
02/13/2014 12:00:00 AM +0000,16:00:00,5,2,3955228
02/20/2014 12:00:00 AM +0000,10:00:00,6,2,3955229
01/30/2014 12:00:00 AM +0000,11:30:00,5,2,3955230
02/22/2014 12:00:00 AM +0000,14:37:00,6,2,3955231
01/01/2014 12:00:00 AM +0000,16:15:00,3,2,3955232
02/05/2014 12:00:00 AM +0000,19:30:00,6,2,3955233
01/23/2014 12:00:00 AM +0000,03:50:00,3,2,3955234
03/17/2014 12:00:00 AM +0000,17:00:00,6,2,3955235
01/28/2014 12:00:00 AM +0000,13:00:00,6,2,3955236
02/25/2014 12:00:00 AM +0000,11:30:00,7,2,3955237
02/20/2014 12:00:00 AM +0000,19:15:00,6,2,3955238
03/11/2014 12:00:00 AM +0000,10:00:00,6,2,3955239
01/31/2014 12:00:00 AM +0000,14:00:00,6,2,3955240
02/19/2014 12:00:00 AM +0000,06:30:00,3,2,3955241
03/07/2014 12:00:00 AM +0000,10:00:00,6,2,3955242
01/04/2014 12:00:00 AM +0000,18:00:00,6,2,3955243
03/10/2014 12:00:00 AM +0000,15:00:00,6,2,3955244
01/22/2014 12:00:00 AM +0000,16:00:00,6,2,3955245
01/24/2014 12:00:00 AM +0000,05:00:00,5,2,3955246
01/14/2014 12:00:00 AM +0000,08:30:00,1,2,3955247
03/03/2014 12:00:00 AM +0000,13:00:00,6,2,3955248
03/15/2014 12:00:00 AM +0000,21:25:00,5,2,3955249
01/23/2014 12:00:00 AM +0000,11:00:00,5,2,3955250
02/21/2014 12:00:00 AM +0000,17:00:00,7,2,3955251
01/25/2014 12:00:00 AM +0000,23:00:00,5,2,3955252
01/03/2014 12:00:00 AM +0000,09:00:00,6,2,3955253
01/21/2014 12:00:00 AM +0000,12:00:00,5,2,3955254
03/07/2014 12:00:00 AM +0000,09:00:00,6,2,3955255
01/14/2014 12:00:00 AM +0000,03:00:00,5,2,3955256
03/27/2014 12:00:00 AM +0000,13:00:00,5,2,3955257
02/08/2014 12:00:00 AM +0000,23:00:00,6,2,3955258
03/15/2014 12:00:00 AM +0000,21:00:00,5,2,3955259
01/15/2014 12:00:00 AM +0000,12:00:00,6,2,3955260
01/17/2014 12:00:00 AM +0000,00:00:00,5,2,3955261
03/09/2014 12:00:00 AM +0000,12:00:00,6,2,3955262
01/21/2014 12:00:00 AM +0000,02:00:00,6,2,3955263
01/10/2014 12:00:00 AM +0000,14:00:00,6,2,3955264
01/30/2014 12:00:00 AM +0000,14:00:00,6,2,3955265
01/13/2014 12:00:00 AM +0000,13:00:00,5,2,3955266
03/11/2014 12:00:00 AM +0000,15:00:00,5,2,3955267
03/03/2014 12:00:00 AM +0000,08:00:00,6,2,3955268
01/14/2014 12:00:00 AM +0000,13:00:00,6,2,3955269
02/11/2014 12:00:00 AM +0000,14:00:00,6,2,3955270
01/15/2014 12:00:00 AM +0000,23:00:00,5,2,3955271
02/19/2014 12:00:00 AM +0000,05:00:00,6,2,3955272
01/23/2014 12:00:00 AM +0000,20:00:00,5,2,3955273
02/13/2014 12:00:00 AM +0000,23:00:00,6,2,3955274
01/09/2014 12:00:00 AM +0000,06:00:00,5,2,3955275
01/26/2014 12:00:00 AM +0000,09:15:00,5,2,3955276
02/25/2014 12:00:00 AM +0000,15:00:00,6,2,3955277
03/14/2014 12:00:00 AM +0000,07:00:00,5,2,3955278
01/26/2014 12:00:00 AM +0000,14:00:00,6,2,3955279
01/19/2014 12:00:00 AM +0000,06:00:00,6,2,3955280
03/24/2014 12:00:00 AM +0000,10:30:00,5,2,3955281
02/14/2014 12:00:00 AM +0000,18:00:00,6,2,3955282
01/27/2014 12:00:00 AM +0000,23:55:00,4,2,3955283
01/28/2014 12:00:00 AM +0000,18:00:00,5,2,3955284
02/24/2014 12:00:00 AM +0000,16:00:00,6,2,3955285
01/03/2014 12:00:00 AM +0000,14:00:00,6,2,3955286
02/23/2014 12:00:00 AM +0000,11:00:00,6,2,3955287
03/01/2014 12:00:00 AM +0000,07:46:00,4,2,3955288
03/07/2014 12:00:00 AM +0000,10:00:00,5,2,3955289
02/15/2014 12:00:00 AM +0000,18:13:00,4,2,3955290
01/09/2014 12:00:00 AM +0000,07:00:00,7,2,3955291
01/18/2014 12:00:00 AM +0000,06:00:00,5,2,3955292
02/26/2014 12:00:00 AM +0000,08:00:00,6,2,3955293
03/14/2014 12:00:00 AM +0000,09:00:00,5,2,3955294
01/06/2014 12:00:00 AM +0000,20:30:00,5,2,3955295
01/27/2014 12:00:00 AM +0000,13:00:00,6,2,3955296
03/02/2014 12:00:00 AM +0000,17:00:00,5,2,3955297
01/30/2014 12:00:00 AM +0000,22:00:00,6,2,3955298
01/24/2014 12:00:00 AM +0000,01:00:00,5,2,3955299
02/19/2014 12:00:00 AM +0000,10:00:00,5,2,3955300
01/23/2014 12:00:00 AM +0000,14:00:00,6,2,3955301
03/07/2014 12:00:00 AM +0000,08:00:00,6,2,3955302
01/14/2014 12:00:00 AM +0000,19:00:00,6,2,3955303
03/01/2014 12:00:00 AM +0000,18:00:00,6,2,3955304
02/25/2014 12:00:00 AM +0000,13:00:00,6,2,3955331
02/17/2014 12:00:00 AM +0000,18:00:00,5,2,3955332
02/12/2014 12:00:00 AM +0000,07:00:00,5,2,3955333
03/20/2014 12:00:00 AM +0000,08:00:00,6,2,3955334
02/23/2014 12:00:00 AM +0000,16:00:00,6,2,3955335
01/22/2014 12:00:00 AM +0000,19:15:00,5,2,3955336
01/30/2014 12:00:00 AM +0000,15:00:00,6,2,3955337
01/28/2014 12:00:00 AM +0000,12:25:00,6,2,3955338
02/14/2014 12:00:00 AM +0000,22:29:00,3,2,3955339
01/25/2014 12:00:00 AM +0000,20:30:00,6,2,3955340
02/20/2014 12:00:00 AM +0000,07:00:00,5,2,3955341
03/27/2014 12:00:00 AM +0000,09:00:00,6,2,3955342
02/18/2014 12:00:00 AM +0000,13:30:00,3,2,3955343
02/20/2014 12:00:00 AM +0000,04:00:00,6,2,3955344
02/07/2014 12:00:00 AM +0000,06:09:00,7,2,3955345
03/15/2014 12:00:00 AM +0000,23:30:00,5,2,3955346
02/06/2014 12:00:00 AM +0000,12:00:00,6,2,3955347
03/07/2014 12:00:00 AM +0000,17:00:00,6,2,3955348
03/15/2014 12:00:00 AM +0000,16:00:00,6,2,3955349
01/07/2014 12:00:00 AM +0000,16:00:00,6,2,3955350
01/08/2014 12:00:00 AM +0000,14:18:00,6,2,3955351
02/18/2014 12:00:00 AM +0000,12:00:00,6,2,3955352
03/15/2014 12:00:00 AM +0000,21:00:00,6,2,3955353
02/05/2014 12:00:00 AM +0000,13:00:00,5,2,3955354
01/15/2014 12:00:00 AM +0000,17:42:00,5,2,3955355
03/04/2014 12:00:00 AM +0000,16:00:00,6,2,3955356
03/22/2014 12:00:00 AM +0000,10:00:00,5,2,3955357
01/23/2014 12:00:00 AM +0000,09:00:00,5,2,3955358
01/17/2014 12:00:00 AM +0000,13:00:00,6,2,3955359
01/23/2014 12:00:00 AM +0000,13:00:00,6,2,3955360
01/12/2014 12:00:00 AM +0000,19:00:00,6,2,3955361
01/16/2014 12:00:00 AM +0000,03:06:00,6,2,3955362
03/10/2014 12:00:00 AM +0000,14:00:00,3,2,3955363
01/13/2014 12:00:00 AM +0000,21:00:00,6,2,3955364
02/20/2014 12:00:00 AM +0000,18:00:00,6,2,3955365
02/05/2014 12:00:00 AM +0000,12:00:00,6,2,3955366
02/09/2014 12:00:00 AM +0000,22:59:00,3,2,3955367
01/17/2014 12:00:00 AM +0000,23:36:00,4,2,3955368
02/02/2014 12:00:00 AM +0000,23:00:00,6,2,3955369
02/05/2014 12:00:00 AM +0000,23:00:00,5,2,3955370
02/08/2014 12:00:00 AM +0000,10:14:00,5,2,3955371
02/28/2014 12:00:00 AM +0000,06:00:00,7,2,3955372
01/21/2014 12:00:00 AM +0000,21:00:00,6,2,3955373
02/04/2014 12:00:00 AM +0000,10:00:00,5,2,3955374
01/29/2014 12:00:00 AM +0000,16:00:00,6,2,3955375
02/14/2014 12:00:00 AM +0000,02:50:00,3,2,3955376
01/12/2014 12:00:00 AM +0000,07:00:00,5,2,3955377
02/12/2014 12:00:00 AM +0000,16:00:00,6,2,3955378
03/09/2014 12:00:00 AM +0000,15:00:00,6,2,3955379
03/06/2014 12:00:00 AM +0000,19:00:00,7,2,3955380
02/09/2014 12:00:00 AM +0000,14:00:00,6,2,3955381
02/17/2014 12:00:00 AM +0000,14:00:00,6,2,3955382
03/13/2014 12:00:00 AM +0000,06:00:00,5,2,3955383
02/12/2014 12:00:00 AM +0000,21:30:00,5,2,3955384
03/05/2014 12:00:00 AM +0000,08:00:00,6,2,3955385
03/27/2014 12:00:00 AM +0000,03:00:00,6,2,3955386
03/20/2014 12:00:00 AM +0000,20:00:00,6,2,3955387
02/25/2014 12:00:00 AM +0000,17:00:00,6,2,3955388
01/11/2014 12:00:00 AM +0000,17:00:00,6,2,3955389
01/19/2014 12:00:00 AM +0000,17:00:00,6,2,3955390
03/02/2014 12:00:00 AM +0000,14:00:00,6,2,3955391
02/21/2014 12:00:00 AM +0000,15:00:00,6,2,3955392
01/07/2014 12:00:00 AM +0000,13:20:00,4,2,3955393
01/27/2014 12:00:00 AM +0000,19:00:00,7,2,3955394
01/25/2014 12:00:00 AM +0000,07:00:00,6,2,3955395
01/23/2014 12:00:00 AM +0000,18:00:00,4,2,3955396
01/02/2014 12:00:00 AM +0000,09:00:00,5,2,3955397
02/23/2014 12:00:00 AM +0000,15:00:00,6,2,3955398
02/12/2014 12:00:00 AM +0000,16:00:00,5,2,3955399
03/24/2014 12:00:00 AM +0000,09:00:00,5,2,3955400
03/13/2014 12:00:00 AM +0000,17:00:00,5,2,3955401
01/05/2014 12:00:00 AM +0000,22:30:00,4,2,3955402
02/06/2014 12:00:00 AM +0000,10:00:00,6,2,3955403
01/31/2014 12:00:00 AM +0000,19:00:00,6,2,3955404
02/01/2014 12:00:00 AM +0000,14:00:00,5,2,3955405
02/20/2014 12:00:00 AM +0000,10:00:00,7,2,3955406
03/04/2014 12:00:00 AM +0000,02:00:00,5,2,3955407
01/24/2014 12:00:00 AM +0000,02:00:00,6,2,3955408
01/10/2014 12:00:00 AM +0000,15:54:00,6,2,3955409
02/21/2014 12:00:00 AM +0000,21:00:00,6,2,3955410
02/12/2014 12:00:00 AM +0000,15:00:00,6,2,3955411
03/19/2014 12:00:00 AM +0000,09:00:00,6,2,3955412
01/17/2014 12:00:00 AM +0000,12:00:00,6,2,3955413
01/19/2014 12:00:00 AM +0000,00:00:00,6,2,3955414
02/20/2014 12:00:00 AM +0000,13:00:00,6,2,3955415
02/28/2014 12:00:00 AM +0000,18:00:00,6,2,3955416
02/13/2014 12:00:00 AM +0000,08:00:00,6,2,3955417
03/12/2014 12:00:00 AM +0000,09:00:00,6,2,3955418
01/25/2014 12:00:00 AM +0000,07:00:00,5,2,3955419
03/11/2014 12:00:00 AM +0000,16:00:00,6,2,3955420
01/07/2014 12:00:00 AM +0000,18:00:00,6,2,3955421
01/26/2014 12:00:00 AM +0000,16:45:00,6,2,3955422
03/23/2014 12:00:00 AM +0000,13:00:00,5,2,3955423
02/08/2014 12:00:00 AM +0000,12:00:00,6,2,3955424
01/10/2014 12:00:00 AM +0000,22:00:00,6,2,3955425
02/03/2014 12:00:00 AM +0000,12:00:00,6,2,3955426
02/10/2014 12:00:00 AM +0000,05:30:00,3,2,3955427
01/15/2014 12:00:00 AM +0000,15:00:00,7,2,3955428
02/25/2014 12:00:00 AM +0000,07:00:00,6,2,3955429
02/20/2014 12:00:00 AM +0000,12:30:00,5,2,3955430
01/14/2014 12:00:00 AM +0000,09:00:00,6,2,3955431
01/24/2014 12:00:00 AM +0000,17:00:00,6,2,3955432
01/04/2014 12:00:00 AM +0000,18:00:00,5,2,3955433
01/22/2014 12:00:00 AM +0000,17:00:00,6,2,3955434
01/14/2014 12:00:00 AM +0000,19:20:00,3,2,3955435
02/04/2014 12:00:00 AM +0000,20:36:00,3,2,3955436
03/06/2014 12:00:00 AM +0000,12:00:00,6,2,3955437
01/17/2014 12:00:00 AM +0000,16:00:00,6,2,3955438
03/05/2014 12:00:00 AM +0000,18:00:00,6,2,3955439
03/07/2014 12:00:00 AM +0000,16:00:00,6,2,3955440
02/20/2014 12:00:00 AM +0000,07:00:00,1,2,3955441
02/20/2014 12:00:00 AM +0000,14:00:00,6,2,3955442
02/05/2014 12:00:00 AM +0000,08:00:00,5,2,3955443
02/01/2014 12:00:00 AM +0000,18:00:00,5,2,3955444
02/09/2014 12:00:00 AM +0000,15:00:00,6,2,3955445
01/20/2014 12:00:00 AM +0000,11:00:00,6,2,3955446
03/05/2014 12:00:00 AM +0000,10:00:00,5,2,3955447
03/14/2014 12:00:00 AM +0000,14:00:00,5,2,3955448
01/12/2014 12:00:00 AM +0000,13:00:00,5,2,3955449
01/23/2014 12:00:00 AM +0000,13:00:00,6,2,3955450
01/21/2014 12:00:00 AM +0000,03:00:00,5,2,3955451
02/26/2014 12:00:00 AM +0000,00:40:00,7,2,3955452
01/02/2014 12:00:00 AM +0000,14:00:00,5,2,3955453
01/20/2014 12:00:00 AM +0000,08:00:00,7,2,3955454
02/25/2014 12:00:00 AM +0000,12:30:00,5,2,3955455
01/25/2014 12:00:00 AM +0000,13:00:00,6,2,3955456
03/10/2014 12:00:00 AM +0000,05:00:00,6,2,3955457
02/18/2014 12:00:00 AM +0000,16:00:00,6,2,3955458
03/29/2014 12:00:00 AM +0000,14:00:00,6,2,3955459
01/10/2014 12:00:00 AM +0000,13:00:00,5,2,3955460
03/17/2014 12:00:00 AM +0000,12:00:00,5,2,3955461
01/07/2014 12:00:00 AM +0000,13:00:00,6,2,3955462
02/21/2014 12:00:00 AM +0000,15:00:00,6,2,3955463
03/24/2014 12:00:00 AM +0000,09:17:00,1,2,3955464
03/06/2014 12:00:00 AM +0000,14:00:00,6,2,3955465
01/14/2014 12:00:00 AM +0000,23:00:00,6,2,3955466
01/28/2014 12:00:00 AM +0000,07:00:00,5,2,3955467
03/26/2014 12:00:00 AM +0000,18:00:00,6,2,3955468
02/03/2014 12:00:00 AM +0000,14:00:00,6,2,3955469
01/01/2014 12:00:00 AM +0000,16:00:00,7,2,3955470
02/07/2014 12:00:00 AM +0000,13:00:00,6,2,3955471
03/21/2014 12:00:00 AM +0000,07:00:00,5,2,3955472
01/14/2014 12:00:00 AM +0000,18:00:00,3,2,3955473
02/23/2014 12:00:00 AM +0000,05:27:00,5,2,3955474
03/11/2014 12:00:00 AM +0000,17:30:00,3,2,3955475
01/14/2014 12:00:00 AM +0000,10:00:00,7,2,3955476
03/20/2014 12:00:00 AM +0000,12:00:00,6,2,3955477
01/10/2014 12:00:00 AM +0000,22:00:00,5,2,3955478
03/22/2014 12:00:00 AM +0000,19:00:00,6,2,3955479
03/03/2014 12:00:00 AM +0000,12:00:00,5,2,3955480
02/03/2014 12:00:00 AM +0000,14:30:00,5,2,3955481
02/20/2014 12:00:00 AM +0000,22:00:00,5,2,3955482
01/07/2014 12:00:00 AM +0000,13:14:00,3,2,3955483
03/03/2014 12:00:00 AM +0000,09:00:00,5,2,3955484
03/29/2014 12:00:00 AM +0000,15:00:00,6,2,3955485
