"region","distrito","municipio_escolar","c_digo_escuela","nombre_escuela","matr_cula_m1","matr_cula_m1_entre_5_y_17_a_os_2013_2014","m1_entre_5_y_17_a_os_bajo_nivel_pobreza_2013_2014","bnp_2013_2014"
,,"Total Escuelas:","1442","Total de Estudiantes:","423934","408226","314397","77.02"
"ARECIBO","ARECIBO","ARECIBO I","10017","FELIX ROSARIO RIOS (ESPECIALIZADA BILINGUE)","216","198","117","59.09"
"ARECIBO","ARECIBO","ARECIBO I","10058","S. U. RAMON E. BETANCES","360","350","264","75.43"
"ARECIBO","ARECIBO","ARECIBO II","10082","DR. FRANCISCO M. SUSONI","285","270","199","73.70"
"ARECIBO","ARECIBO","ARECIBO I","10108","LOS CAÑOS","146","136","109","80.15"
"ARECIBO","ARECIBO","ARECIBO I","10124","JUSTINIANO TORRES","116","111","94","84.68"
"ARECIBO","ARECIBO","ARECIBO II","10173","COTTO ANEXO","43","29","23","79.31"
"ARECIBO","ARECIBO","ARECIBO II","10207","DOLORES GOMEZ DE ROMAN","195","186","149","80.11"
"ARECIBO","ARECIBO","ARECIBO I","10215","DOMINGO RUIZ","188","184","139","75.54"
"ARECIBO","ARECIBO","ARECIBO I","10272","S. U. EUGENIO MARIA DE HOSTOS","529","523","387","74.00"
"ARECIBO","ARECIBO","ARECIBO II","10314","JULIO SEIJO","279","265","185","69.81"
"ARECIBO","ARECIBO","ARECIBO I","10322","S. U. ENRIQUE DE JESUS BORRAS","289","286","229","80.07"
"ARECIBO","ARECIBO","ARECIBO II","10348","JOSE GUALBERTO PADILLA","280","280","263","93.93"
"ARECIBO","ARECIBO","ARECIBO II","10355","JOHN W. HARRIS","263","248","223","89.92"
"ARECIBO","ARECIBO","ARECIBO II","10363","THOMAS JEFFERSON","269","269","209","77.70"
"ARECIBO","ARECIBO","ARECIBO I","10405","LUIS FELIPE PEREZ","200","193","168","87.05"
"ARECIBO","ARECIBO","ARECIBO II","10439","S. U. DR. CAYETANO COLL Y TOSTE","587","576","399","69.27"
"ARECIBO","ARECIBO","ARECIBO I","10488","ROSA L. RIVERA SERRANO (S. U. RIO ARRIBA)","123","110","78","70.91"
"ARECIBO","ARECIBO","ARECIBO II","10512","S. U. MANUEL RUIZ GANDIA","598","584","421","72.09"
"ARECIBO","ARECIBO","ARECIBO I","10520","S. U. DIEGO BRAVO","203","198","151","76.26"
"ARECIBO","ARECIBO","ARECIBO I","10546","S. U. FEDERICO DEGETAU","471","452","337","74.56"
"ARECIBO","ARECIBO","ARECIBO II","10611","VICTOR ROJAS #1","77","73","68","93.15"
"ARECIBO","ARECIBO","ARECIBO II","10629","VICTOR ROJAS #2","265","252","191","75.79"
"ARECIBO","ARECIBO","ARECIBO I","10637","ANGELICA GOMEZ BETANCOURT","112","101","84","83.17"
"ARECIBO","MANATI","BARCELONETA","10686","EASTON","201","186","150","80.65"
"ARECIBO","MANATI","BARCELONETA","10702","FERNANDO SURIA CHAVES","753","719","531","73.85"
"ARECIBO","MANATI","FLORIDA","10710","JUANITA RAMIREZ GONZALEZ","494","463","344","74.30"
