"organizaciones","n_mero_de_casoy_exenci_n","fecha_de_aprobadoo_denegado","fecha_de_efectividad","estatus"
"""Little Angels"" Learn ad Play Day Care Center, Inc.","08-1101 ( ) -146","29 de octubre de 2008"," ","Denegada"
"(P.A.R.E.S.) Programa de Asistencia para la Rehabilitación Educativa y Social, Inc.","09-1101 (4)-118","12 de febrero de 2010","01 de enero de 2009"," "
"10 ET. . . Entretenimiento Teatral Inc","2012-1101.01-154","1 de abril de 2013","1 de enero de 2012"," "
"1ER Pabellón de Adoración Wings of Glory, Inc.","2011-1101.01-270","1 de junio de 2012","1 de febrero de 2011"," "
"51 St Division- Puerto Rico United States of America Volunteer Homeland Security Service, Corp.","09-1101 (4)-134","01 de enero de 2009"," "," "
"5K Pascua Florida, Inc.","10-1101 (6)-335","14 de octubre de 2010","01 de enero de 2010"," "
"8 Tiempos, Inc.","02-1101 (4)-24","13 de febrero de 2004"," "," "
"80 Grados Inc","2012-1101.01-231","12 de abril de 2013","13 de junio de 2011"," "
"A & B Debt Management of Puerto Rico Corp","99-1101 (4)-248","26 de mayo de 2000","06 de mayo de 2000"," "
"A Africa Con Amor, Inc.","98-101 (6)-82","3 de noviembre de 1988"," "," "
"A C G H Inc","2012-1101.01-763","1 de abril de 2015","1 de enero de 2012"," "
"A Flor de Piel Inc","04-1101 ( )-262","13 de septiembre de 2004"," "," "
"A M Educational Research, Inc.","09-1101 (21)-290","13 de septiembre de 2010","01 de enero de 2009"," "
"A ti Isabela Inc","2014-1101.01-47","5 de noviembre de 2015","1 de enero de 2014"," "
"A. F. K. Learning, Inc.","2011-1101.01-80","20 de enero de 2012"," ","Denegada"
"A.C.C.P. de Naranjito Inc","2012-1101.01-105","27 de febrero de 2013","1 de enero de 2012"," "
"A.C.R.E.S., Inc (Agricultura con Conciencia Rural, Ecológica y Sustentable)","2012-1101.01-1014","4 de septiembre de 2014","26 de abril de 2011"," "
"A.C.U.D.E. Inc","2013-1101.01-89","14 de agosto de 2015","1 de enero de 2013"," "
"A.R.M.M. Inc","2012-1101.01-633","21 de marzo de 2014","2 de julio de 2001"," "
