"caso","tr_mite","fecha_de_radicaci_n","a_o_de_radicaci_n","mes_de_radicaci_n","catastro","municipio","direcci_n","regi_n","status","adjudicado_o_pendiente","fecha_de_adjudicaci_n","siglas","x","y","radicado_por_pa","nombre_del_proyecto","publico_o_privado","rural_o_urbano","due_o_del_proyecto","location_1","lat","lon"
"2013-117780-CCA-07161","Cambio de Calificacion","2015-11-01T18:39:00.000","2015","2015.11","251-003-391-14","Caguas","Calle 1, B-14, Urb. Villa Del Rey, Turabo, Caguas","Humacao","Validación","Pendiente",,"CCA","240978.48705127","242120.12147164001","No","Cambio Calificación CARAPEVA Caguas","Privado","Urbano","ENRIQUE PÉREZ VÁZQUEZ","(18.2134950668908, -66.0459301080845)","18.2134950668908","-66.045930108084505"
"2013-122366-DEC-60934","Exclusion Categorica","2015-10-02T01:33:00.000","2015","2015.1","040-059-104-10","San Juan","Calle Robert L-1355, Pda 19, Santurce, Santurce, San Juan","Central","Expedido","Adjudicado","2015-10-06T00:00:00.000","DEC","238367.86803148","268346.20601596002","No","ORALE GUEY, CORP","Privado","Urbano","LUZ ORTIZ PASTRANA","(18.4504881885371, -66.0701130126928)","18.450488188537101","-66.070113012692801"
"2013-171823-CUB-60729","Consulta de Ubicacion","2015-09-12T12:00:00.000","2015","2015.09","140-000-006-68","Corozal","Carretera Estatal Pr-803, Km. 1.1 (Interior), /, Palos Blancos, Corozal","Central","Archivado","Adjudicado","2015-09-18T00:00:00.000","CUB","213444.258712879","253456.47916454001","No","Sucn. de Antonio Padilla Vázquez","Privado","Rural","SUCN. DE ANTONIO  PADILLA VÁZQUEZ ","(18.3162633267014, -66.3061600746026)","18.316263326701399","-66.306160074602602"
"2012-044860-AEX-06881","Aviso de Excavacion","2015-08-20T14:07:00.000","2015","2015.08","063-018-801-10","Carolina","Carr Pr26 , K 8.2 , Laguna Plaza Shopping , Cangrejo Arriba, Carolina","Central","Cancelado","Adjudicado","2015-09-20T00:00:00.000","AEX","244064.71257388001","266243.83758425899","No","LAGUNA PLAZA SHOPPING","Privado","Urbano","ABRAHM  ROSA  CAMACHO","(18.431387826598, -66.0162264299808)","18.431387826598002","-66.016226429980804"
"2012-027882-PRA-36880","Rotulos y anuncios","2015-07-08T16:40:00.000","2015","2015.07","089-086-026-09","Canóvanas","Calle Autonomia, Canovanas, 68 Esquina Munoz Rivera, Canóvanas, Canóvanas","Central","Cancelado","Adjudicado","2015-08-13T00:00:00.000","PRA","256180.24324725001","260396.23212212001","No","Island Finance","Privado","Rural","RODOLFO RIVERA ","(18.3782697830264, -65.9017105257379)","18.378269783026401","-65.901710525737897"
"2012-011687-PRA-36840","Rotulos y anuncios","2015-06-25T18:03:00.000","2015","2015.06","011-023-136-24","Hatillo","Carr #2, Km 84.8, Carizalez, Carrizales, Hatillo","Arecibo","Expedido","Adjudicado","2015-08-17T00:00:00.000","PRA","161555.34116919001","272576.849139439","No","Hatillo - 416","Privado","Urbano","MANUEL  MIRANDA ","(18.4887119560413, -66.7973622162524)","18.4887119560413","-66.797362216252395"
"2013-148300-CUB-60148","Consulta de Ubicacion","2015-06-23T09:42:00.000","2015","2015.06","219-080-206-32","Orocovis","Carretera Pr 156, 2.6, Orocovis, Orocovis, Orocovis","Ponce","Cancelado","Adjudicado","2015-07-30T00:00:00.000","CUB","206137.76681967001","243466.250427919","No","SUCN. PEREZ JIMENEZ","Privado","Rural","SUCN. PEREZ JIMENEZ 00720","(18.2260388457271, -66.3753009814342)","18.2260388457271","-66.375300981434194"
"2012-007391-PRA-36760","Rotulos y anuncios","2015-06-08T15:55:00.000","2015","2015.06","042-250-741-90","Caguas","Ave. Gautier Benitez, #85, Ave. Autier Benitez, Barrio Pueblo, Caguas","Humacao","Expedido","Adjudicado","2015-06-17T00:00:00.000","PRA",,,"No","Banco Santander","Privado","Rural","RODOLFO RIVERA ",,,
"2011-058321-CUB-59994","Consulta de Ubicacion","2015-06-05T14:08:00.000","2015","2015.06","129-049-481-04","San Sebastián","Carr. P.R. 111, Km. 24.0 Int., Cidral, Piedras Blancas, San Sebastián","Aguadilla","Cancelado","Adjudicado","2015-07-10T00:00:00.000","CUB",,,"No","16 Solares, Miguel A. Torres","Privado","Rural","MIGUEL TORRES ",,,
"2013-153300-CUB-59990","Consulta de Ubicacion","2015-06-04T16:40:00.000","2015","2015.06","096-010-209-70","Aguada","Carrtera Pr-411, Km. 1.1,  Piedras Blancas Car Wash, Piedras Blancas, Aguada","Aguadilla","Evaluación","Pendiente",,"CUB","119720.7616171","259719.980046379","No","Segregacion de un solar","Privado","Rural","ANDRES GONZALEZ TRAVERSO","(18.3713947137508, -67.192972557958)","18.371394713750799","-67.192972557958001"
"2013-156352-PRA-36722","Rotulos y anuncios","2015-06-03T10:49:00.000","2015","2015.06","207-025-922-29","Mayagüez","Carretera Pr # 2, Km 149.9, N/A, Algarrobos, Mayagüez","Aguadilla","Expedido","Adjudicado","2015-08-13T00:00:00.000","PRA","123020.74745192","245062.95838612001","No","XL MAYAGUEZ DIGITAL BILLBOARD 515 ","Privado","Urbano","RAMÓN MONTALVO 00909","(18.2390940774843, -67.1611954082138)","18.2390940774843","-67.1611954082138"
"2012-030366-PRA-36721","Rotulos y anuncios","2015-06-03T10:46:00.000","2015","2015.06","089-079-299-02","Canóvanas","Carr Pr#3 Int 188, ., Quebrada, Canóvanas, Canóvanas","Central","Expedido","Adjudicado","2015-07-15T00:00:00.000","PRA","257853.87225359","260653.56806352001","No","San Isidro 314","Privado","Urbano","MANUEL MIRANDA ","(18.3805561618502, -65.8858625119304)","18.380556161850201","-65.885862511930398"
"2013-144665-PRA-36720","Rotulos y anuncios","2015-06-03T10:42:00.000","2015","2015.06","283-049-006-91","Hormigueros","Pr # 2, Km 162.1, N/A, Guanajibo, Hormigueros","Aguadilla","Expedido","Adjudicado","2015-08-13T00:00:00.000","PRA","125500.393823709","233917.50944174","No","Faces (Mayaguez II)","Privado","Urbano","RAMÓN MONTALVO ","(18.1400102507192, -67.1362889995937)","18.1400102507192","-67.136288999593702"
"2013-215812-PRA-36701","Rotulos y anuncios","2015-06-02T16:52:00.000","2015","2015.06","256-012-066-06","Naguabo","Carr 31, 3.9, Barrio Pueblo, Barrio Pueblo, Naguabo","Humacao","Cancelado","Adjudicado","2015-07-06T00:00:00.000","PRA","273433.09391065","242193.12726614001","No","Toyota de Naguabo","Privado","Urbano","MARIELA PALACIOS ","(18.213288605416, -65.7391024191026)","18.213288605416","-65.739102419102593"
"2012-102506-CUB-59928","Consulta de Ubicacion","2015-06-02T15:26:00.000","2015","2015.06","129-000-004-18","San Sebastián","Pr 111, 26.0 Interior, Piedras Blancas, Piedras Blancas, San Sebastián","Aguadilla","Expedido","Adjudicado","2016-02-11T00:00:00.000","CUB","144879.04508799","255402.369891259","No","SEGREGACION EDWIN SOTO GONZALEZ","Privado","Rural","EDWIN  SOTO GONZALEZ","(18.3331780683837, -66.9548004649973)","18.333178068383699","-66.954800464997305"
"2013-142960-REC-37001","Solicitud de Recomendaciones","2015-05-11T21:13:00.000","2015","2015.05","130-008-286-18","Lares","Carrtera Estatal Pr-453, Km.7.2, Sector Borges, Piletas, Lares","Arecibo","Cancelado","Adjudicado","2015-06-12T00:00:00.000","REC","152124.3128598","256321.52837886001","No","Ramon A. Negron Huertas","Privado","Rural","RAMÓN NEGRÓN HUERTAS","(18.3416641611748, -66.8862816404814)","18.341664161174801","-66.8862816404814"
"2013-182180-CUB-59688","Consulta de Ubicacion","2015-05-08T09:48:00.000","2015","2015.05","410-026-002-30","Peñuelas","Camino Municipal, Solar #18, El Boquete, Encarnación, Peñuelas","Ponce","Evaluación","Pendiente",,"CUB","170202.73700212","217246.393626359","No","Cafeteria ","Privado","Rural","JIMMY BORRERO COSTAS","(17.9889444260535, -66.7146710558155)","17.9889444260535","-66.714671055815501"
"2013-142863-PRA-36663","Rotulos y anuncios","2015-05-06T10:25:00.000","2015","2015.05","371-000-006-02","Salinas","Carr. 1, Km 81.2, Sect. Rabo Del Buey, Lapa, Salinas","Humacao","Expedido","Adjudicado","2015-06-09T00:00:00.000","PRA","220448.707151729","222535.474118479","No","San Juan Oil 153","Privado","Urbano","RAMON MONTALVO ","(18.0368399217033, -66.2402049374714)","18.036839921703301","-66.240204937471404"
"2012-015768-PRA-36662","Rotulos y anuncios","2015-05-06T10:22:00.000","2015","2015.05","225-019-378-05","Gurabo","Frente Universidad Turabo, Km. 3.3, Carr. 189, Rincón, Gurabo","Humacao","Expedido","Adjudicado","2015-05-12T00:00:00.000","PRA","244940.125361579","245597.79446005001","No","Vilar Trucking 514","Privado","Urbano","MANUEL  MIRANDA ","(18.2448388496637, -66.0083974568691)","18.244838849663701","-66.008397456869105"
