"caso","tr_mite","fecha_de_radicaci_n","a_o_de_radicaci_n","mes_de_radicaci_n","catastro","municipio","direcci_n","regi_n","status","adjudicado_o_pendiente","fecha_de_adjudicaci_n","siglas","x","y","radicado_por_pa","nombre_del_proyecto","publico_o_privado","rural_o_urbano","due_o_del_proyecto","costo_estimado","location_1","lat","lon"
"2016-318939-PCO-36029","Permiso Construccion Cert.","2016-02-26T09:57:00.000","2016","2016.02","063-000-008-06","San Juan","283 Mall Of San Juan Blvd., 1000, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2016-03-04T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","TILS# 283 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","203794.39","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2016-318919-PCO-35989","Permiso Construccion Cert.","2016-02-05T09:48:00.000","2016","2016.02","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Local # 119a, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2016-02-25T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","The Fix (The Mall of San Juan)  ","Privado","Urbano","MIGUEL BONILLA ","35914","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2016-318899-PCO-35969","Permiso Construccion Cert.","2016-02-02T07:37:00.000","2016","2016.02","063-000-008-06","San Juan","Mall Of San Juan Blvd., 1000, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2016-02-19T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","TEMPORARY TENANT BARRICADES & FUTURE TENANT SPACE ","Privado","Urbano","MIGUEL BONILLA ","1069682.38","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318819-PCO-35949","Permiso Construccion Cert.","2015-12-01T09:04:00.000","2015","2015.12","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 265, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-12-09T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","STUART WEITZMAN # 265, (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","132820","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318799-PCO-35929","Permiso Construccion Cert.","2015-11-30T14:13:00.000","2015","2015.11","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 131, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-12-03T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Brio Tuscan Grill # 131, (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","493000","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318759-PCO-35909","Permiso Construccion Cert.","2015-11-17T14:43:00.000","2015","2015.11","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., #Fc-301, Villa Olimpica, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-12-07T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Mercato Centrale #FC-301","Privado","Rural","MIGUEL BONILLA ","410627.7","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318719-PCO-35889","Permiso Construccion Cert.","2015-11-10T07:34:00.000","2015","2015.11","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 224, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-11-12T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","AVEDA # 224, (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","95872.89","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318640-PCO-35869","Permiso Construccion Cert.","2015-10-27T11:14:00.000","2015","2015.1","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., #118, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-11-09T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","SWATCH #118 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","79022.80","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318599-PCO-35849","Permiso Construccion Cert.","2015-10-22T14:33:00.000","2015","2015.1","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 246, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-10-29T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Free People # 246 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","688708","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318559-PCO-35830","Permiso Construccion Cert.","2015-10-21T10:55:00.000","2015","2015.1","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 224b, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-10-29T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Daniel Espinosa # 224B (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","69734.75","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318519-PCO-35809","Permiso Construccion Cert.","2015-10-15T13:23:00.000","2015","2015.1","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 177, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-10-29T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Desigual D Shop # 177, (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","70917.05","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318479-PCO-35789","Permiso Construccion Cert.","2015-10-06T14:52:00.000","2015","2015.1","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 214, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-10-19T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","CH Carolina Herrera # 214 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","247556","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318303-PCO-35773","Permiso Construccion Cert.","2015-09-10T14:46:00.000","2015","2015.09","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 269, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-16T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Tory Burch # 269 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","90665","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318301-PCO-35771","Permiso Construccion Cert.","2015-09-10T10:18:00.000","2015","2015.09","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 161, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-18T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Guess # 161 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","24879","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
