"caso","tr_mite","fecha_de_radicaci_n","a_o_de_radicaci_n","mes_de_radicaci_n","catastro","municipio","direcci_n","regi_n","status","adjudicado_o_pendiente","fecha_de_adjudicaci_n","siglas","x","y","radicado_por_pa","nombre_del_proyecto","publico_o_privado","rural_o_urbano","due_o_del_proyecto","location_1","lat","lon"
"2012-099720-PUS-13681","Permiso de Uso Completo","2015-05-06T16:17:00.000","2015","2015.05","188-040-158-17","Utuado","Interior Carr. 111 Ave . , Km. 1.2, Sector Menchaca, Viví Abajo, Utuado","Arecibo","Cancelado","Adjudicado","2015-06-11T00:00:00.000","PUS-CONV","172729.12149401","248157.38223336","No","Alejandro Diaz ' Cerveseria Franceshi '","Privado","Rural","ALEJANDRO  RIOS ","(18.2682565969867, -66.6912321073087)","18.268256596986699","-66.691232107308707"
"2013-122020-PUS-13661","Permiso de Uso Certificado","2015-04-26T15:51:00.000","2015","2015.04","221-000-002-35","Barranquitas","Carr. 152, , Km 7.6 Int., Sector El Farrallon, Quebradillas, Barranquitas","Ponce","Expedido","Adjudicado","2015-04-28T00:00:00.000","PUS-CERT","214896.837548699","244479.743857439","No","Residencia Yomaris Lopez","Privado","Rural","YOMARIS LOPEZ ","(18.2351572208693, -66.2924807645354)","18.235157220869301","-66.292480764535398"
"2011-799440-PUS-13641","Permiso de Uso Certificado","2015-03-09T15:42:00.000","2015","2015.03","080-078-633-29","Manatí","Pr-643, 7.0, Rio Arriba Saliente, Río Arriba Saliente, Manatí","Arecibo","Expedido","Adjudicado","2015-05-20T00:00:00.000","PUS-CERT","197778.915669179","260576.24617984","No","Construcción Residencia Omar A. Matias Negron","Privado","Rural","OMAR MATIAS NEGRON","(18.3806343078613, -66.4543533325195)","18.3806343078613","-66.454353332519503"
"2014-243880-PUS-13621","Permiso de Uso Certificado","2015-03-02T15:23:00.000","2015","2015.03","131-025-080-75","Lares","Carr. 129, 21.0, Bo. Callejones, Callejones, Lares","Arecibo","Cancelado","Adjudicado","2015-04-03T00:00:00.000","PUS-CERT","156437.0697931","255307.63381192001","No","Residencia Gonzalez Gonzalez Trust","Privado","Rural","GERALDO GONZÁLEZ GONZÁLEZ","(18.332592010498, -66.8454513549804)","18.332592010498001","-66.845451354980398"
"2013-149360-PUS-13601","Permiso de Uso Certificado","2015-02-27T15:43:00.000","2015","2015.02","366-050-109-16","Juana Díaz","Lote 7 500 Carr. 584, Km. 0.9, Parque Industrial, Amuelas, Juana Díaz","Ponce","Expedido","Adjudicado","2015-03-31T00:00:00.000","PUS-CERT","192724.63493570001","223663.69076807","No","Nuevo Edificio Mfg. de Lentes de Contacto (Fase G)","Privado","Urbano","IVÁN HERNÁNDEZ LÓPEZ","(18.0471229553222, -66.5020523071289)","18.047122955322202","-66.502052307128906"
"2013-178563-PUS-13582","Permiso de Uso Certificado","2015-02-11T09:18:00.000","2015","2015.02","252-063-185-41","San Lorenzo","Pr-183, Km 7.5, Parcela J, Hato, San Lorenzo","Humacao","Expedido","Adjudicado","2015-02-12T00:00:00.000","PUS-CERT","247824.65122413001","240091.46205634001","No","Residencia Sr. José A. Pagán Pinto","Privado","Rural","JOSÉ PAGÁN PINTO","(18.195026397705, -65.9812469482421)","18.195026397705","-65.981246948242102"
"2015-314772-PUS-13581","Permiso de Uso Certificado","2015-02-09T19:32:00.000","2015","2015.02","053-047-009-72","Arecibo","Carr 638 Int 637, Km 5.4, Sector Cuatro Calles, Miraflores, Arecibo","Arecibo","Expedido","Adjudicado","2015-02-10T00:00:00.000","PUS-CERT","177347.12352696","265245.76056591002","No","TOTAL GAS STATION - MIRAFLORES","Privado","Rural","BETSY BARBOSA ALBARRAN","(18.4227027893066, -66.6477508544921)","18.422702789306602","-66.647750854492102"
"2013-224293-PUS-13561","Permiso de Uso Certificado","2015-02-04T09:58:00.000","2015","2015.02","112-054-575-15","Toa Alta","827, 7.7 Int. - Lote C-3, Hacienda El Pilar, Piñas, Toa Alta","Central","Expedido","Adjudicado","2015-02-04T00:00:00.000","PUS-CERT","221762.25932519001","257812.82813420001","No","URBANIZACION HACIENDA EL PILAR","Privado","Urbano","JAIME CASELLAS ","(18.3552360534667, -66.2269744873046)","18.355236053466701","-66.226974487304602"
"2011-035589-PUS-13541","Permiso de Uso Certificado","2015-01-29T14:42:00.000","2015","2015.01","303-000-002-47","Las Piedras","Carr.917 Sector Piro Santana, 4.8, Montones Iii , Montones, Las Piedras","Humacao","Expedido","Adjudicado","2015-02-11T00:00:00.000","PUS-CERT","254761.15589939","234504.708302529","No","Construccion de vivienda de una planta","Privado","Rural","NILSA LOPEZ ","(18.1443843841552, -65.9158325195312)","18.144384384155199","-65.915832519531193"
"2014-302395-PUS-13521","Permiso de Uso Completo","2015-01-27T20:17:00.000","2015","2015.01","361-073-364-09","Yauco","Carr. 128, 2.2, Yauco Gallery, Susúa Baja, Yauco","Ponce","Expedido","Adjudicado","2015-04-29T00:00:00.000","PUS-CONV","154844.175890699","222521.119538689","No","Oficina - Dra. Milady Irizarry","Privado","Urbano","MILADY IRIZARRY VAZQUEZ","(18.0363368988037, -66.8598022460937)","18.0363368988037","-66.859802246093693"
