"blk_id","municipality","provider","prvder_dba","fcc_frn","tech","max_dwn","max_up","end_uc","location"
"721270069001001","Barceloneta","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Barceloneta, PR 
(18.454409979000445, -66.53820997999964)"
"720054008001033","Gurabo","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Gurabo, PR 
(18.254759995000427, -65.97214002299967)"
"721092902002037","Ponce","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"721270091122013","Carolina","Critical Hub Networks","Caribe.net","18088583","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 768 kbps and less than 1.5 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Carolina, PR 
(18.442839984000443, -66.02399001499964)"
"721270047004004","Naranjito","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Naranjito, PR 
(18.300909979000437, -66.24543002299964)"
"720610404322004","San Juan","Critical Hub Networks","Caribe.net","18088583","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 6 mbps and less than 10 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720054014022025","Ponce","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"721355105051001","Penuelas","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Penuelas, PR 
(18.056730014000436, -66.72190998699966)"
"721270051013002","Vega Baja","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Vega Baja, PR 
(18.446009992000427, -66.38754999999964)"
"720310509011009","Coamo","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Coamo, PR 
(18.07939000300047, -66.36145998599966)"
"720572704001035","Ponce","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"721279801041032","Guaynabo","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Guaynabo, PR 
(18.359729975000448, -66.11052000299964)"
"721130702023000","Arecibo","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business Only","
Arecibo, PR 
(18.47238998600045, -66.71972999299965)"
"720210303002050","Aguas Buenas","INTECO","Iniciativa Technologica Centro-Oriental","18787242","Terrestrial Fixed Wireless - Licensed","Greater than or equal to 3 mbps and less than 6 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business and Residential","
Aguas Buenas, PR 
(18.25705999000047, -66.10599000899964)"
"720691806004003","Las Marias","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Las Marias, PR 
(18.251839983000423, -66.98955997999963)"
"720252024042001","Bayamon","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Bayamon, PR 
(18.394089980000444, -66.14738001999962)"
"720034305011028","Ponce","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"720291004002005","Ciales","CoquiTel LLC","CoquiTel LLC","22460117","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 3 mbps and less than 6 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business Only","
Ciales, PR 
(18.33623998100046, -66.46973999099964)"
"720252014002002","Anasco","Critical Hub Networks","Caribe.net","18088583","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 768 kbps and less than 1.5 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Anasco, PR 
(18.282079999000473, -67.14128998999962)"
"721292204021003","Guaynabo","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Guaynabo, PR 
(18.359729975000448, -66.11052000299964)"
"720034302003002","Ponce","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"720691802023018","Florida","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Florida, PR 
(18.36344998000044, -66.56237999199965)"
"721130716023001","San Juan","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"721079550013038","San Juan","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720610404111011","Arecibo","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Arecibo, PR 
(18.47238998600045, -66.71972999299965)"
"720310502213000","Cidra","INTECO","Iniciativa Technologica Centro-Oriental","18787242","Terrestrial Fixed Wireless - Licensed","Greater than or equal to 3 mbps and less than 6 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business and Residential","
Cidra, PR 
(18.175390008000477, -66.16058001299962)"
"720310504012016","Cidra","INTECO","Iniciativa Technologica Centro-Oriental","18787242","Terrestrial Fixed Wireless - Licensed","Greater than or equal to 3 mbps and less than 6 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business and Residential","
Cidra, PR 
(18.175390008000477, -66.16058001299962)"
"721270083001004","San Juan","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"721270025003003","Guaynabo","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Guaynabo, PR 
(18.359729975000448, -66.11052000299964)"
"720252001001011","Cayey","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Cayey, PR 
(18.114650009000457, -66.16996001699965)"
"721270078004000","Vega Baja","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Vega Baja, PR 
(18.446009992000427, -66.38754999999964)"
"720572702022015","Ponce","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"721130708002056","San Juan","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720310508222022","Isabela","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business Only","
Isabela, PR 
(18.501219988000457, -67.02111999699963)"
"720610402001054","Dorado","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Dorado, PR 
(18.459459982000453, -66.26256000899963)"
"721130705021016","Rio Grande","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Rio Grande, PR 
(18.36151998200046, -67.23753999099966)"
"720439546002037","Ponce","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"720310505043014","Anasco","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Anasco, PR 
(18.282079999000473, -67.14128998999962)"
"720691801003006","Las Marias","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business Only","
Las Marias, PR 
(18.251839983000423, -66.98955997999963)"
"720871103011009","Manati","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Manati, PR 
(18.430539992000433, -66.48484999099963)"
"721130722022011","Mayaguez","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business Only","
Mayaguez, PR 
(18.203680009000436, -67.14689998499966)"
"720034304011025","Gurabo","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Gurabo, PR 
(18.254759995000427, -65.97214002299967)"
