"municipality","tiab_2006_07","tiab_2007_08","tiab_2008_09","tiab_2009_10","tiab_2010_11","tiab_2011_12","ff_2006_07","ff_2007_08","ff_2008_09","ff_2009_10","ff_2010_11","ff_2011_12","ffpti"
"Yabucoa","14737180","16699031","20084964","20084964","15091920","17316479","1654207","1704082","1019071","2282560","770504","750222","4.3"
"Cataño","37798143","39718921","41445070","60651274","53638219","49770336","3620267","1305176","2511304","669800","2767833","2329952","4.7"
"Moca","10884656","11624847","12728567","12368554","14177808","13830413","1035825","1835675","1082582","1118387","1021540","800900","5.8"
"Patillas","6850396","7610807","8560466","9303852","11472377","11010039","906000","1035825","1326728","1231504","848534","641484","5.8"
"Villalba","9674887","11214080","12784509","11972652","11383483","12319293","1035623","1035623","1095289","568386","965715","800900","6.5"
"Morovis","9698359","9999901","10849292","11648330","12207287","12261875","788983","1027844","1139892","920431","970000","800000","6.5"
"Salinas","11909611","13935651","13844636","14237366","14554998","14874882","1251614","1734040","1239520","1804214","1996494","1057337","7.1"
"Guánica","7825961","9041188","10507136","11090299","12029886","11939330","1301145","1550748","1502316","885793","1343724","859638","7.2"
"San Germán","15321436","15957013","16900334","15955496","17128566","18370004","1167408","1709726","1897835","2139081","1903151","1412394","7.7"
"Cabo Rojo","15642110","18250700","19766524","19219642","20246960","22253683","1747858","1269861","2526478","3062765","2178730","1751676","7.9"
"Canóvanas","19593748","18879677","21518952","21865449","21923402","24098318","3743122","1368280","3141478","2215683","2999591","1950546","8.1"
"Guaynabo","127000000","128250600","141885968","137582341","136082006","139314711","15876394","17145607","23013806","11862375","12781395","11434975","8.2"
"San Sebastián","13107884","14241978","13139904","13183517","14064671","16006250","4575018","1486943","1462205","2204107","1497811","1325455","8.3"
"Aguada","11458527","12426490","13276842","12910443","14094119","15965433","1849201","1662996","2477981","1874240","1551107","1422046","8.9"
"Rincón","7335000","8300000","8670000","8262468","8785000","8800000","576335","1700710","1133132","897518","203949","800900","9.1"
"Dorado","16690443","19228029","20681492","23087926","25520413","19270570","5890131","5234042","6915790","6670093","6027226","1784927","9.3"
"Ceiba","7201580","7584037","8625595","8113771","8642987","9554410","436062","962845","1992024","1365583","1430207","927685","9.7"
"Vieques","9500000","11000000","12994000","11329431","10776238","10677389","440808","399419","1163231","773101","1115500","1057298","9.9"
