"grado","a_o","a_o_escolar","pre_b_sicos_esp","pre_b_sicos_ing","pre_b_sicos_mat","pre_b_sicos_cien","b_sicos_esp","b_sicos_ing","b_sicos_mat","b_sicos_cien","proficientes_esp","proficientes_ing","proficientes_mat","proficientes_cien","avanzados_esp","avanzados_ing","avanzados_mat","avanzados_cien"
"Quinto","2009-04-01T00:00:00.000","2008-09","19","21","15",,"42","42","55",,"17","21","18",,"22","17","12",
"Tercero","2009-04-01T00:00:00.000","2008-09","13","12","4",,"39","35","36",,"20","27","24",,"27","26","36",
"Tercero","2010-04-01T00:00:00.000","2009-10","13","15","6",,"34","35","29",,"23","25","26",,"29","25","39",
"Tercero","2011-04-01T00:00:00.000","2010-11","11","13","7",,"35","34","27",,"21","26","26",,"33","27","39",
"Tercero","2012-04-01T00:00:00.000","2011-12","11","11","6",,"31","36","24",,"24","27","24",,"35","26","46",
"Tercero","2013-04-01T00:00:00.000","2012-13","11","11","5",,"33","36","28",,"22","28","25",,"33","25","41",
"Tercero","2014-04-01T00:00:00.000","2013-14","9","11","5",,"36","36","25",,"22","27","25",,"33","26","45",
"Cuarto","2009-04-01T00:00:00.000","2008-09","16","20","8","8","47","43","50","26","19","22","22","36","19","15","19","30"
"Cuarto","2010-04-01T00:00:00.000","2009-10","14","22","11","11","46","43","41","23","17","21","23","36","22","14","25","31"
"Cuarto","2011-04-01T00:00:00.000","2010-11","13","20","9","9","42","44","39","22","19","22","25","33","25","14","27","36"
"Cuarto","2012-04-01T00:00:00.000","2011-12","11","19","9","8","39","43","35","26","21","23","24","31","30","14","31","35"
"Cuarto","2013-04-01T00:00:00.000","2012-13","12","19","8","9","34","39","39","22","19","23","21","31","34","18","32","38"
"Cuarto","2014-04-01T00:00:00.000","2013-14","13","23","9","10","37","37","37","23","18","22","23","33","32","18","31","34"
"Quinto","2011-04-01T00:00:00.000","2010-11","20","22","13",,"36","38","47",,"19","22","23",,"25","19","17",
"Quinto","2010-04-01T00:00:00.000","2009-10","23","20","18",,"37","43","45",,"18","22","23",,"22","15","15",
"Quinto","2012-04-01T00:00:00.000","2011-12","21","20","14",,"34","37","45",,"19","22","23",,"27","21","18",
"Quinto","2013-04-01T00:00:00.000","2012-13","21","18","13",,"30","37","47",,"18","23","22",,"31","22","18",
"Quinto","2014-04-01T00:00:00.000","2013-14","21","17","14",,"31","40","42",,"19","24","24",,"29","20","20",
"Sexto","2009-04-01T00:00:00.000","2008-09","25","16","31",,"30","37","63",,"25","27","3",,"19","21","2",
"Sexto","2010-04-01T00:00:00.000","2009-10","27","18","31",,"26","32","60",,"24","29","6",,"22","20","3",
"Sexto","2011-04-01T00:00:00.000","2010-11","25","20","29",,"27","30","61",,"24","27","7",,"25","23","3",
"Sexto","2012-04-01T00:00:00.000","2011-12","22","21","30",,"28","29","55",,"25","24","9",,"25","26","6",
"Sexto","2013-04-01T00:00:00.000","2012-13","23","23","28",,"23","29","55",,"22","25","9",,"32","23","8",
"Sexto","2014-04-01T00:00:00.000","2013-14","24","22","29",,"27","31","52",,"23","25","9",,"26","22","10",
"Séptimo","2009-04-01T00:00:00.000","2008-09","20","25","40",,"45","46","56",,"22","19","2",,"13","10","2",
"Undécimo","2010-04-01T00:00:00.000","2009-10","19","35","30","20","47","28","66","41","21","19","3","27","14","18","1","13"
"Séptimo","2010-04-01T00:00:00.000","2009-10","23","29","37",,"44","39","57",,"18","19","2",,"14","12","3",
"Undécimo","2011-04-01T00:00:00.000","2010-11","19","29","21","16","44","29","71","37","19","21","4","31","19","20","4","16"
"Séptimo","2011-04-01T00:00:00.000","2010-11","19","29","26",,"43","39","67",,"20","20","3",,"17","12","3",
"Séptimo","2014-04-01T00:00:00.000","2013-14","20","33","25",,"41","37","68",,"22","19","4",,"17","10","4",
"Octavo","2010-04-01T00:00:00.000","2009-10","22","32","40","32","38","36","53","45","23","19","4","17","16","13","3","6"
"Undécimo","2014-04-01T00:00:00.000","2013-14","16","28","23","17","44","29","67","35","21","18","6","29","19","25","4","19"
"Séptimo","2012-04-01T00:00:00.000","2011-12","19","30","28",,"42","37","64",,"20","19","4",,"19","14","4",
"Séptimo","2013-04-01T00:00:00.000","2012-13","20","32","25",,"40","35","66",,"20","18","5",,"20","15","4",
"Octavo","2009-04-01T00:00:00.000","2008-09","22","25","43","32","42","41","54","50","21","24","2","15","15","10","2","3"
"Octavo","2011-04-01T00:00:00.000","2010-11","19","25","40","30","36","38","52","43","23","21","5","19","23","16","4","7"
"Octavo","2012-04-01T00:00:00.000","2011-12","24","27","34","31","33","36","57","42","18","21","4","20","25","17","5","7"
"Octavo","2013-04-01T00:00:00.000","2012-13","24","25","33","30","35","36","57","40","16","23","5","23","26","15","5","7"
"Octavo","2014-04-01T00:00:00.000","2013-14","26","27","32","31","34","35","58","43","20","22","6","18","21","16","4","8"
"Undécimo","2009-04-01T00:00:00.000","2008-09","16","27","30","7","49","28","68","57","21","23","1","30","14","21","1","7"
"Undécimo","2012-04-01T00:00:00.000","2011-12","17","28","23","18","42","30","69","38","21","21","5","29","19","21","4","15"
"Undécimo","2013-04-01T00:00:00.000","2012-13","17","24","26","16","39","33","65","41","20","21","5","29","24","22","5","14"
