"nombresenador","measuredate","measuretype","measurenumber","proyecto","reference","votetype","countofvotetype","measurestatus","proyecto1","mes","a_o","labelvotetype","countofvotes","nombre"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1386","Nombramiento 1386","Otros","A favor","1","Aprobada","Nombramiento 1386","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1411","Nombramiento 1411","Otros","A favor","1","Aprobada","Nombramiento 1411","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2818","R. del S. 2818","Medida","A favor","1","Aprobada","R. del S. 2818","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2819","R. del S. 2819","Medida","A favor","1","Aprobada","R. del S. 2819","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","S. R.","2812","S. R. 2812","Medida","A favor","1","Aprobada","S. R. 2812","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","S. R.","2813","S. R. 2813","Medida","A favor","1","Aprobada","S. R. 2813","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1372","Nombramiento 1372","Otros","A favor","1","Aprobada","Nombramiento 1372","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1373","Nombramiento 1373","Otros","A favor","1","Aprobada","Nombramiento 1373","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1376","Nombramiento 1376","Otros","A favor","1","Aprobada","Nombramiento 1376","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1377","Nombramiento 1377","Otros","A favor","1","Aprobada","Nombramiento 1377","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1378","Nombramiento 1378","Otros","A favor","1","Aprobada","Nombramiento 1378","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
