"nu_entidad","clasificaci_n","anofiscal","nb_entidad","fechatran","fechacierre","estatus","carreraparcialm","carreraparcialf","carreracompletom","carreracompletof","carreranograduadom","carreranograduadof","carreragraduadom","carreragraduadof","carrerapostsecundariom","carrerapostsecundariof","carreraasociadom","carreraasociadof","carrerabachm","carrerabachf","carreragradosprom","carreragradosprof","carreramaestriam","carreramaestriaf","carreradoctoradom","carreradoctoradof","confianzareinstparcialm","confianzareinstparcialf","confianzareinstcompletom","confianzareinstcompletof","confianzareinstnograduadom","confianzareinstnograduadof","confianzareinstgraduadom","confianzareinstgraduadof","confianzareinstpostsecundariom","confianzareinstpostsecundariof","confianzareinstasociadom","confianzareinstasociadof","confianzareinstbachm","confianzareinstbachf","confianzareinstgradosprom","confianzareinstgradosprof","confianzareinstmaestriam","confianzareinstmaestriaf","confianzareinstdoctoradom","confianzareinstdoctoradof","confianzanoreinstparcialm","confianzanoreinstparcialf","confianzanoreinstcompletom","confianzanoreinstcompletof","confianzanoreinstnograduadom","confianzanoreinstnograduadof","confianzanoreinstgraduadom","confianzanoreinstgraduadof","confianzanoreinstpostsecundariom","confianzanoreinstpostsecundariof","confianzanoreinstasociadom","confianzanoreinstasociadof","confianzanoreinstbachm","confianzanoreinstbachf","confianzanoreinstgradosprom","confianzanoreinstgradosprof","confianzanoreinstmaestriam","confianzanoreinstmaestriaf","confianzanoreinstdoctoradom","confianzanoreinstdoctoradof","transitorioparcialm","transitorioparcialf","transitoriocompletom","transitoriocompletof","transitorionograduadom","transitorionograduadof","transitoriograduadom","transitoriograduadof","transitoriopostsecundariom","transitoriopostsecundariof","transitorioasociadom","transitorioasociadof","transitoriobachm","transitoriobachf","transitoriogradosprom","transitoriogradosprof","transitoriomaestriam","transitoriomaestriaf","transitoriodoctoradom","transitoriodoctoradof","irregularparcialm","irregularparcialf","irregularcompletom","irregularcompletof","irregularnograduadom","irregularnograduadof","irregulargraduadom","irregulargraduadof","irregularpostsecundariom","irregularpostsecundariof","irregularasociadom","irregularasociadof","irregularbachm","irregularbachf","irregulargradosprom","irregulargradosprof","irregularmaestriam","irregularmaestriaf","irregulardoctoradom","irregulardoctoradof","otrosparcialm","otrosparcialf","otroscompletom","otroscompletof","otrosnograduadom","otrosnograduadof","otrosgraduadom","otrosgraduadof","otrospostsecundariom","otrospostsecundariof","otrosasociadom","otrosasociadof","otrosbachm","otrosbachf","otrosgradosprom","otrosgradosprof","otrosmaestriam","otrosmaestriaf","otrosdoctoradom","otrosdoctoradof","nuevom","nuevof","reingresadom","reingresadof","ascendidom","ascendidof","trasladadom","trasladadof","reinstaladom","reinstaladof","habilitadom","habilitadof","renunciantem","renunciantef","cesanteadom","cesanteadof","terminocontratom","terminocontratof","destituidom","destituidof","retiradom","retiradof","impedimentosinacomodom","impedimentosinacomodof","impedimentoacomodom","impedimentoacomodof","pensionadotransitoriom","pensionadotransitoriof","pensionadocontratom","pensionadocontratof","discrimenedadm","discrimenedadf","discrimenimpedimentom","discrimenimpedimentof","discrimenpoliticom","discrimenpoliticof","discrimenreligiosom","discrimenreligiosof","discrimensexom","discrimensexof","discrimennacionalidadm","discrimennacionalidadf","discrimenorientacionsexualm","discrimenorientacionsexualf","discrimenotrom","discrimenotrof","retribucionmrangoa","retribucionfrangoa","retribucionmrangob","retribucionfrangob","retribucionmrangoc","retribucionfrangoc","retribucionmrangod","retribucionfrangod","retribucionmrangoe","retribucionfrangoe","retribucionmrangof","retribucionfrangof","retribucionmrangog","retribucionfrangog","retribucionmrangoh","retribucionfrangoh","retribucionmrangoi","retribucionfrangoi","retribucionmrangoj","retribucionfrangoj","retribucionmrangok","retribucionfrangok","anosserviciomrangoa","anosserviciofrangoa","anosserviciomrangob","anosserviciofrangob","anosserviciomrangoc","anosserviciofrangoc","anosserviciomrangod","anosserviciofrangod","anosserviciomrangoe","anosserviciofrangoe","anosserviciomrangof","anosserviciofrangof","anosserviciomrangog","anosserviciofrangog","anosserviciomrangoh","anosserviciofrangoh","anosserviciomrangoi","anosserviciofrangoi","edadmrangoa","edadfrangoa","edadmrangob","edadfrangob","edadmrangoc","edadfrangoc","edadmrangod","edadfrangod","edadmrangoe","edadfrangoe","edadmrangof","edadfrangof","edadmrangog","edadfrangog","edadmrangoh","edadfrangoh","preparadonombre","preparadopuesto"
"400","Rama Legislativa","2013-2014","Oficina del Contralor de Puerto Rico","2015-01-20T00:00:00.000","2015-02-05T00:00:00.000","1","0","2","214","227","0","0","21","5","0","0","10","6","123","140","7","10","53","68","0","0","0","0","50","74","0","0","0","0","0","0","0","1","42","61","4","3","4","9","0","0","0","0","14","21","0","0","2","0","0","0","0","1","7","9","2","2","2","9","1","0","0","0","4","6","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","1","1","0","0","0","0","0","0","0","0","7","6","0","0","9","8","0","0","1","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","8","13","24","43","76","72","53","55","50","62","8","12","27","42","12","12","13","8","28","44","71","66","73","99","60","69","33","37","17","14","0","1","0","0","0","0","0","0","4","6","38","60","145","166","82","85","12","10","1","3","0","0","Iseut G. Vélez Rivera","Directora de Capital Humano"
"400","Rama Legislativa","2014-2015","Oficina del Contralor de Puerto Rico","2016-02-08T00:00:00.000","2016-02-18T00:00:00.000","1","0","4","211","224","0","0","20","6","0","0","10","6","123","139","6","10","52","67","0","0","0","0","53","76","0","0","0","0","0","0","0","1","45","60","4","4","4","11","0","0","0","0","12","21","0","0","1","0","0","0","0","1","6","9","2","2","2","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","10","0","0","5","6","10","20","0","0","0","0","6","6","0","1","6","14","1","1","1","2","4","1","8","11","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","5","7","12","28","50","74","66","53","58","48","62","9","9","25","42","12","13","14","8","28","44","51","42","76","110","56","63","46","48","18","17","1","1","0","0","0","0","0","0","1","0","32","47","134","163","97","100","12","11","0","4","0","0","Vanessa E. Portela","Generalista de Capital Humano"
"400","Rama Legislativa","2015-2016","Oficina del Contralor de Puerto Rico","2017-03-01T00:00:00.000","2017-03-02T00:00:00.000","1","0","0","203","220","0","0","20","6","0","0","8","6","118","131","5","10","52","67","0","0","0","0","52","74","0","0","0","0","0","0","0","1","43","57","4","4","5","12","0","0","0","0","12","21","0","0","1","0","0","0","0","1","6","9","2","2","2","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","5","9","10","0","0","0","0","11","8","0","0","0","0","1","0","0","0","4","1","9","11","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","4","10","9","25","46","71","65","49","58","48","60","10","10","24","41","13","14","14","8","11","18","63","56","54","91","73","79","42","48","17","18","7","5","0","0","0","0","0","0","0","0","23","33","122","154","104","110","17","13","1","5","0","0","Vanessa E. Portela","Generalista de Capital Humano"
"400","Rama Legislativa","2012-2013","Oficina del Contralor de Puerto Rico","2014-02-06T00:00:00.000","2014-02-07T00:00:00.000","1","0","2","224","232","0","0","15","5","0","0","15","7","136","141","7","10","51","70","0","1","0","0","45","70","0","0","0","0","0","0","0","1","36","56","4","3","5","10","0","0","0","0","13","20","0","0","2","0","0","0","0","2","6","8","2","1","2","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","2","6","15","0","0","0","0","10","17","1","0","0","0","0","0","7","6","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","4","9","11","45","56","69","72","57","59","38","49","8","12","29","44","9","9","12","8","24","24","58","78","81","100","78","73","25","33","14","15","2","1","0","0","0","0","0","0","0","1","55","77","139","160","76","73","11","10","1","3","0","0","NULL","Instituto de Estadísticas de Puerto Rico"
"1000","Departamentos y Agencias","2013-2014","Departamento de Agricultura","2015-02-06T00:00:00.000","2015-02-06T00:00:00.000","1","0","0","152","125","2","0","29","24","4","5","12","9","94","77","2","0","9","10","0","0","0","0","5","5","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","6","5","0","0","0","0","0","0","0","0","2","3","3","1","1","0","0","1","0","0","9","6","0","0","0","0","0","0","0","1","8","4","1","0","0","1","0","0","0","0","3","1","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","3","0","0","0","0","0","0","6","3","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","3","3","41","18","33","43","58","53","18","8","11","8","2","2","6","4","2","1","1","2","31","25","24","16","37","21","44","43","10","17","22","15","7","5","0","0","0","0","0","0","2","1","10","11","49","47","85","65","28","16","0","1","1","1","Juan E. Marrero Rivera","Director de Finanzas"
"1000","Departamentos y Agencias","2014-2015","Departamento de Agricultura","2016-03-01T00:00:00.000","2016-03-01T00:00:00.000","1","0","0","158","127","2","0","32","27","2","2","8","13","102","75","0","0","10","10","2","0","0","0","5","5","0","0","0","0","0","0","0","0","4","5","0","0","1","0","0","0","0","0","5","6","0","0","0","0","0","0","0","0","3","3","2","2","0","0","0","1","0","0","5","6","0","0","0","1","0","0","0","0","4","4","0","0","0","1","1","0","0","0","3","2","1","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","0","0","0","0","2","0","0","0","0","0","5","1","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","44","19","33","42","57","53","18","7","10","9","1","3","7","4","2","1","1","2","34","30","23","16","37","21","43","43","10","16","22","15","7","5","0","0","0","0","0","0","4","3","12","12","44","48","86","67","29","15","0","1","1","0","Juan E. Marrero Rivera","Director de Finanzas"
"1000","Departamentos y Agencias","2015-2016","Departamento de Agricultura","2017-02-01T00:00:00.000","2017-02-01T00:00:00.000","1","0","0","159","132","2","0","32","27","2","2","8","13","103","80","0","0","10","10","2","0","0","0","5","6","0","0","0","0","0","0","0","0","4","6","0","0","1","0","0","0","0","0","5","4","0","0","0","0","0","0","0","0","2","2","2","1","0","0","1","1","0","0","1","2","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","3","2","1","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","0","0","0","3","0","1","1","0","0","4","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","48","21","30","41","53","53","18","7","10","9","1","2","7","4","2","1","1","2","36","30","20","16","35","22","43","42","10","16","22","15","7","5","0","0","0","0","0","0","6","4","13","12","41","49","85","66","27","14","0","1","1","0","José E. Burgos Ortiz","Director de Presupuesto"
"1000","Departamentos y Agencias","2012-2013","Departamento de Agricultura","2014-01-22T00:00:00.000","2014-01-27T00:00:00.000","1","1","0","161","137","2","0","52","28","0","0","6","19","89","82","0","0","11","8","1","1","0","0","6","5","0","0","0","0","0","0","0","0","6","4","0","0","0","1","0","0","0","0","7","4","0","0","0","0","0","0","0","0","3","2","3","1","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","4","2","1","0","0","0","0","12","11","0","0","0","0","0","0","29","24","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","3","52","23","40","47","43","44","19","11","11","6","3","4","7","4","3","1","1","2","21","16","27","15","39","31","35","41","24","26","21","15","12","4","0","0","0","0","0","0","4","6","17","28","49","46","75","49","34","19","0","0","0","0","NULL","Instituto de Estadísticas de Puerto Rico"
"1020","Departamentos y Agencias","2014-2015","Departamento de Estado","2016-01-14T00:00:00.000","2016-01-14T00:00:00.000","1","0","0","36","59","4","0","16","24","0","0","3","9","10","21","0","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","0","0","1","1","0","0","0","0","2","5","0","1","1","1","3","0","0","0","10","22","0","0","2","6","0","0","1","2","7","10","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","15","0","1","0","0","0","1","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","13","23","17","22","5","21","2","6","5","4","3","3","0","4","1","1","6","1","15","28","5","4","6","2","8","21","14","17","6","16","0","0","1","0","0","0","0","0","3","3","5","14","19","21","21","36","5","14","2","0","0","0","Javier Raul Rodríguez Rivera","Director de Finanzas y Presupuesto"
"1020","Departamentos y Agencias","2012-2013","Departamento de Estado","2014-02-04T00:00:00.000","2014-02-04T00:00:00.000","1","0","0","41","63","5","1","18","26","0","0","3","11","12","19","0","1","3","2","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","8","7","0","0","1","1","0","0","0","0","2","4","0","0","1","1","4","1","0","0","6","13","0","0","2","4","0","0","1","0","3","7","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","8","5","0","0","2","0","1","1","1","0","0","0","10","6","0","0","0","0","0","0","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","12","19","17","27","6","15","2","7","7","5","3","4","0","4","1","1","5","0","20","28","7","4","9","7","11","16","9","28","0","1","1","1","0","0","0","0","0","0","2","1","4","11","18","16","23","40","9","14","3","1","0","0","NULL","Instituto de Estadísticas de Puerto Rico"
