"corpname","corpregisterindex","bestatus","corpclasstype","corporationtype","corporationjurisdictiontype","physicalcitycorp","physicalstatecorp","fullnameagent","fullnameofficer1","fullnameofficer2"
"PUERTO RICO FINANCIAL CORP","3739-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"B","162499-111","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"J.F.A. GEOLOGICAL & ENVIRONMENTAL SCIENTISTS, P.S.C.","1050-111","ACTIVA","No Disponible","No Disponible","No disponible","Aguadilla","PR","Jaime Feliciano","Jaime Feliciano","Jaime Feliciano"
"ASOCIACION RECREATIVA DE RIO ABAJO (CON EL BATO) INC.","35860-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"RADIO COMMUNICATION TOWERS SERVICE OF PR. INC","76639-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"COOPERATIVA DE CONSUMIDORES DEL NOROESTE, INC.","134-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"OPTOMETRY MASTER, C.S.P.","508-111","ACTIVA","No Disponible","No Disponible","No disponible","SAN JUAN","PR","KELVIN TORRES","KELVIN TORRES","KELVIN TORRES"
"DISABLE AMERICAN VETERANS, CSM J. RODRIGUEZ, CAPITULO # 16, INC.","26977-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"HOGAR ANA DEL CARMEN INC.","30475-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"RDJ CARIBBEAN DEVELOPERS OF PUERTO RICO, INC.","130496-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"EL ARRENDADO, INC.","52328-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"TRANSPORTE ALEXANDER, INC.","138243-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"RAMON CANTERO INC.","46572-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"DISPONIBLE","160247-111","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"DISPONIBLE","195564-111","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"EQUIPO GINECOLOGICO Y OBSTETRICO DE SALUD, P.S.C.","409-111","ACTIVA","No Disponible","No Disponible","No disponible","HUMACAO","PR","MANUEL A NAVAS","JESUS ALVAREZ","MANUEL A NAVAS"
"TALLER DEL NORTE, INC","130738-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"HORMIGAS UNO PRO BIENESTAR DE LA COMUNIDAD, INC. (HUBICOM)","39831-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"CASA SANTA LUISA DE MARILLAC, INC.","7620-","ACTIVA","No Disponible","No Disponible","No disponible","San Juan","PR",,,
"HACIENDA TINAJA, INC.","138781-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"PALL NETHERLANDS B.V.","10685-","ACTIVA","No Disponible","No Disponible","No disponible","Unknown","NO DISPONIBLE",,,
"SAN PABLO PAIN GROUP CORP.","346692-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Bayamon","PR","Madeleine Perez","Marco Pérez","Marco Pérez"
"PR ADVISORS AND CONSULTANTS, L.L.C.","391749-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","RICARDO VAZQUEZ",,
"VAB DIAGNOSTIC IMAGING PSC","331357-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","Ponce","PR","Victor Anaya","VICTOR ANAYA","VICTOR ANAYA"
"AMOR Y SALVACION DE JEHOVA CAMINO DE SANTIDAD INC.","35464-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"POSTER ADS  CORP.","386887-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Carmen M Carmona","Gabriel E Rodríguez",
"COOPERATIVA DE AGUAS DE MANANTIALES (MANACOOP)","661-1221","ACTIVA","Cooperativa de Consumo","Sin Fines de Lucro","Doméstica","Rincón","PR",,,
"YCGS, INC.","320973-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","YABUCOA","PR","WILBERTO CASANOVA","WILBERTO CASANOVA","WILBERTO CASANOVA"
"IGLESIA DE DIOS ALPHA Y OMEGA, INC.","16440-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"MINISTERIO VICTORIOSO EN CRISTO, INC.","51487-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Maunabo","PR",,,
"IGLESIA CRISTIANA PUERTA DE ESPERANZA, INC.","44886-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Arecibo","PR",,,
"NEW LIFE CHRISTIAN ACADEMY INC.","54540-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SABANA GRANDE","PR","CARLOS GARCIA","VILMARY CORDERO","ANN J MORALES"
"CLIPCE, LLC","3321-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Utuado","PR",,,
"IGLESIA PENTECOSTAL MISIONERA LA NUEVA JERUSALN INC.","53403-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Orocovis","PR",,,
"FUNDACIN SARAV CORP.","391006-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","Benjamín Muñiz","Verónica Rivera","Aida L. Velázquez"
"FESTIVAL CUEVAS DE LA MORA INC.","55175-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Comerio","PR","Nilda E Santiago","Nilda E Santiago","Nilda E Santiago"
"HIRSA'S BEAUTY SALON & BOUTIQUE, INC.","142107-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","YAUCO","PR","HIRSA CARABALLO","HIRSA CARABALLO","HIRSA CARABALLO"
"IGLESIA CRISTIANA DIOS EL UNICO REFUGIO, INC","61762-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","AGUIRRE","PR",,,
"MINISTERIO EVANGELISTICO Y RADIAL LEVANTADO AL CAIDO CON EL PODER Y LA UNCION DEL ESPIRITU SANTO DE DIOS, CORPORACIN","309163-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aguadilla","PR","Joel Ramos","Joel Ramos",
"ERAMAR INC.","347672-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","San Juan","PR","Mariel Cruz",,
"METROPOLITAN ADJUSTERS, APPRAISERS & RISK MANAGERS, INC.","195270-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","San Juan","PR","JOSE A BERLINGERI","Rozanne Berlingeri","Rozanne Berlingeri"
