"numero_de_contrato","entidad","contratista","cuantia","fecha_de_otorgamiento","vigente_desde","vigente_hasta","vigencia_en_meses","tipo_de_servicio","categoria_de_servicio","estatus","funcionario_firmante","otorgado_en_pr","otorgado_en","esta_rescindido","es_privatizacion"
"(4011) 2014-000247-A","Municipio de Bayamón","KAREN SOTELO ORTIZ","22200","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2014-03-31T00:00:00.000","5.98","OBTENER EQUIPO Y VEHICULOS","COMPRA, VENTA Y ALQUILER DE EQUIPO, VEHICULOS Y OTROS","Aceptado","ORLANDO LOPEZ BELMONTE, SECRETARIO MUNICIPAL","true","BAYAMÓN","false",
"(4011) 2014-000248-A","Municipio de Bayamón","KAREN SOTELO ORTIZ","25200","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2014-03-31T00:00:00.000","5.98","OBTENER EQUIPO Y VEHICULOS","COMPRA, VENTA Y ALQUILER DE EQUIPO, VEHICULOS Y OTROS","Aceptado","ORLANDO LOPEZ BELMONTE, SECRETARIO MUNICIPAL","true","BAYAMÓN","false",
"(4071) 2012-000866-K","Municipio de Trujillo Alto","DEL TURABO CONSTRUCTION, INC.","0","2013-09-27T00:00:00.000","2013-09-22T00:00:00.000","2013-09-28T00:00:00.000","0.23","ÁREAS RECREATIVAS","CONSTRUCCION Y REPARACION DE ESTRUCTURAS","Reparo Final","YARIDSA COLLAZO PERDOMO, AYUDANTE ESPECIAL DEL ALCALDE","true","TRUJILLO ALTO","false","false"
"(4076) 2014-000727","Municipio de Villalba","CARMEN ROBLES RIVERA","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","false","VILLALBA","false","false"
"(4076) 2013-000735","Municipio de Villalba","HECDALIS QUILES FRED","630","2013-09-27T00:00:00.000","2013-10-16T00:00:00.000","2013-10-31T00:00:00.000","0.53","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000726","Municipio de Villalba","CARMEN L. RIVERA TORRES","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000728","Municipio de Villalba","EDWIN RIVERA RODRIGUEZ","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000729","Municipio de Villalba","JOSE GLEN RODRIGUEZ VALENTIN","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000730","Municipio de Villalba","francisco santiago andujar","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000731","Municipio de Villalba","MAXIMILIANO SANTOS GARCIA","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000732","Municipio de Villalba","ALEXANDRO TORRES RIVERA","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000733","Municipio de Villalba","MADELINE VAZQUEZ ROCHE","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000734","Municipio de Villalba","AILEEN M. LUGO BURGOS","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000736","Municipio de Villalba","AMILCAR RIVERA GUZMAN","785.4","2013-09-27T00:00:00.000","2013-10-16T00:00:00.000","2013-10-31T00:00:00.000","0.53","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000740","Municipio de Villalba","CATALINO COLON SANTIAGO","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4040) 2013-000154-E","Municipio de Juncos","CABRERA RODRÍGUEZ, SAMUEL","1200","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-12-31T00:00:00.000","3.02","VIVIENDAS","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","Alfredo Alejandro Carrión, Alcalde","true","JUNCOS","false","false"
"(3000) 2013-000161","Autoridad de Tierras De Puerto Rico","BANANERA FABRE","186300","2013-09-27T00:00:00.000","2012-09-27T00:00:00.000","2023-03-27T00:00:00.000","126.05","SERVICIOS TECNICOS","SERVICIOS TÉCNICOS","Reparo Final","MIGUEL A. SANTIAGO CORDOVA, DIRECTOR EJECUTIVO INTERINO FIDA","true","SAN JUAN","false",
"(4061) 2014-000130","Municipio de Río Grande","Marcos Rivera Díaz","1","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","0.03","SERVICIOS LEGALES","SERVICIOS PROFESIONALES","Aceptado","Yamilet Quiñones Polaco, Tec. Sistemas de Oficina","true","RÍO GRANDE","false","false"
"(4061) 2014-000131","Municipio de Río Grande","Marcos Rivera Díaz","1","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","0.03","SERVICIOS LEGALES","SERVICIOS PROFESIONALES","Aceptado","Yamilet Quiñones Polaco, Tec. Sistemas de Oficina","true","RÍO GRANDE","false","false"
"(3032) 2014-000025","Junta Reglamentadora de Telecomunicaciones de Puerto Rico","NEPTUNOMEDIA, INC.","14995","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2014-06-30T00:00:00.000","9.11","SERVICIOS TECNICOS","SERVICIOS TÉCNICOS","Aceptado","Lcdo. Javier Rúa Jovet, Presidente","true","SAN JUAN","false",
"(4003) 2013-001124-A","Municipio de Aguadilla","GRESHCA LEE ROLDAN SOLANO","263.8","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2013-09-30T00:00:00.000","0.13","SERVICIOS MISCELANEOS NO PERSONALES","SERVICIOS MISCELÁNEOS NO PERSONALES","Aceptado","CARLOS MENDEZ MARTINEZ, ALCALDE","true","AGUADILLA","false",
"(4003) 2013-001145-K","Municipio de Aguadilla","RAFAEL TORRES GARCIA","0","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-10T00:00:00.000","0.33","SERVICIOS PERSONALES NO PROFESIONALES","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","CARLOS MENDEZ MARTINEZ, ALCALDE","true","AGUADILLA","false",
"(4003) 2013-001150-K","Municipio de Aguadilla","INGENIEROS DEL OESTE C.S.P.","0","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-10T00:00:00.000","0.33","SERVICIOS PERSONALES NO PROFESIONALES","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","CARLOS MENDEZ MARTINEZ, ALCALDE","true","AGUADILLA","false",
"(4021) 2014-000058-A","Municipio de Cidra","CARLOS DEL VALLE APONTE","1056","2013-09-27T00:00:00.000","2013-08-01T00:00:00.000","2013-12-31T00:00:00.000","5.03","OFRECER INMUEBLE EN ALQUILER","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","HON. JAVIER E. CARRASQUILLO CRUZ, ALCALDE","true","CIDRA","false",
"(4021) 2014-000059-A","Municipio de Cidra","CARLOS DEL VALLE APONTE","1056","2013-09-27T00:00:00.000","2013-08-01T00:00:00.000","2013-12-31T00:00:00.000","5.03","OFRECER INMUEBLE EN ALQUILER","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","HON. JAVIER E. CARRASQUILLO CRUZ, ALCALDE","true","CIDRA","false",
"(4021) 2014-000060-A","Municipio de Cidra","JAIME CHARRIEZ ROSADO","1464","2013-09-27T00:00:00.000","2013-08-01T00:00:00.000","2013-12-31T00:00:00.000","5.03","OFRECER INMUEBLE EN ALQUILER","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","HON. JAVIER E. CARRASQUILLO CRUZ, ALCALDE","true","CIDRA","false",
"(4021) 2014-000127","Municipio de Cidra","LUZ IDALIA CRUZ RODRIGUEZ","1408","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-12-31T00:00:00.000","3.02","OFRECER INMUEBLE EN ALQUILER","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","HON. JAVIER E. CARRASQUILLO CRUZ, ALCALDE","true","CIDRA","false",
"(4021) 2014-000128","Municipio de Cidra","LUZ IDALIA CRUZ RODRIGUEZ","1952","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-12-31T00:00:00.000","3.02","OFRECER INMUEBLE EN ALQUILER","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","HON. JAVIER E. CARRASQUILLO CRUZ, ALCALDE","true","CIDRA","false",
"(4021) 2014-000129","Municipio de Cidra","MIRIAM COLON ALICEA","4224","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2014-09-30T00:00:00.000","12","OFRECER INMUEBLE EN ALQUILER","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","HON. JAVIER E. CARRASQUILLO CRUZ, ALCALDE","true","CIDRA","false",
"(4021) 2014-000130","Municipio de Cidra","JOSE Z. DIAZ DIAZ","4224","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2014-09-30T00:00:00.000","12","OFRECER INMUEBLE EN ALQUILER","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","HON. JAVIER E. CARRASQUILLO CRUZ, ALCALDE","true","CIDRA","false",
"(4047) 2014-HS0018","Municipio de Manatí","RAMON SANCHEZ MUÑIZ","2400","2013-09-27T00:00:00.000","2013-09-01T00:00:00.000","2014-02-28T00:00:00.000","5.95","OBTENER INMUEBLES","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","Benjamin Ramirez Cadena, Vice Alcalde","true","MANATÍ","false",
"(4011) 2014-000149-B","Municipio de Bayamón","JOTACE GROUP ET ALS, INC.","24000","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2014-03-31T00:00:00.000","5.98","SERVICIOS LEGALES","SERVICIOS PROFESIONALES","Aceptado","ORLANDO LOPEZ BELMONTE, SECRETARIO MUNICIPAL","true","BAYAMÓN","false",
"(4003) 2014-000694","Municipio de Aguadilla","EDDA B. RETEGUIS ORTIZ","0","2013-09-27T00:00:00.000","2013-09-28T00:00:00.000","2013-09-28T00:00:00.000","0.03","ACUERDOS NO FINANCIEROS","ACUERDOS NO FINANCIEROS","Aceptado","JOSE L.CASTRO MIRANDA, ","true","AGUADILLA","false",
"(1201) 2014-000166","Departamento de Educación de Puerto Rico","WALESKA PEREZ MEDINA","30600","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2014-05-30T00:00:00.000","8.09","SERVICIO DE ADIESTRAMIENTO","SERVICIOS DE ADIESTRAMIENTO U ORIENTACION","Aceptado","Lilia M. Torres Torres, Subsecretaria de Administraci&#243;n","true","SAN JUAN","false","false"
"(1201) 2014-000167","Departamento de Educación de Puerto Rico","MARIÉN AYALA GUEVARA","22950","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2014-05-30T00:00:00.000","8.09","SERVICIO DE ADIESTRAMIENTO","SERVICIOS DE ADIESTRAMIENTO U ORIENTACION","Aceptado","Lilia M. Torres Torres, Subsecretaria de Administraci&#243;n","true","SAN JUAN","false","false"
"(1201) 2014-000150","Departamento de Educación de Puerto Rico","LOURDES MERCEDES PEREZ OLIVERAS","30600","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2014-05-30T00:00:00.000","8.09","SERVICIO DE ADIESTRAMIENTO","SERVICIOS DE ADIESTRAMIENTO U ORIENTACION","Aceptado","Lilia M. Torres Torres, Subsecretaria de Administraci&#243;n","true","SAN JUAN","false","false"
"(4058) 2014-000875","Municipio de Ponce","ENRIQUE GONZALEZ RIVERA","5880","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2014-09-26T00:00:00.000","12","VIVIENDAS","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","Hon. Maria E. Melendez Altieri, Alcaldesa","true","PONCE","false","false"
"(1000) 2014-055093","Departamento de Agricultura","OMAR A. ORTEGA CLAUDIO","53500","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2023-09-27T00:00:00.000","120.1","FONDOS ESTATALES","TRANSFERENCIA DE FONDOS","Aceptado","AGRO. FRANCISCO APONTE RIVERA, SUBSECRETARIO DE AGRICULTURA","true","SAN JUAN","false","false"
