"naic_cocode","license_type","insurers","private_group_plans","private_individual_plans","public_employees_of_commonwealth_of_pr","retired_employees_of_commonwealth_of_pr","federal_government_employees","government_health_insurance","medicare_suplementary","medicare_platinum","medicare_advantage","total_of_premiun_writte"
"95722","Health Maintenance Organizations","First Medical Health Plan, Inc.","44142444","74547741","253463773","92998983",,,"1167755","18602373","158440566","643363635"
"11152","Health Maintenance Organizations","American Health, Inc.",,,,,,,,,"519920154","519920154"
,"Health Maintenance Organizations","Constellation Health, LLC",,,,,,,,,,
"95772","Health Maintenance Organizations","Golden Cross HMO Health Plan, Corporation","236808",,"264913",,,,,,,"501721"
"95721","Health Maintenance Organizations","Humana Health Plans of Puerto Rico, Inc.","11097680","470001",,,"13857239","629312464",,"187492154","64401821","906631359"
"13022","Health Maintenance Organizations","MCS Advantage Inc",,,,"89268706",,,,"570792617","513723735","1173785058"
"95779","Health Maintenance Organizations","MCS Health Management Options, Inc.",,,,,,,,,,
"95730","Health Maintenance Organizations","Plan de Salud Menonita, Inc.","10263010","3077911","3705113","2437393",,,,,,"19483427"
"11157","Health Maintenance Organizations","MMM Healthcare Inc.",,,,,,,,,"1732988517","1732988517"
"12534","Health Maintenance Organizations","MMM MULTI HEALTH, INC.",,,,,,,,,,
"95762","Health Maintenance Organizations","Plan Médico de Servicios de Salud Bella Vista, Inc.","3882683","1379131",,,,,"128065",,,"5389879"
"12178","Health Maintenance Organizations","PMC Medicare Choice Inc",,,,,,,,,"402747575","402747575"
"95743","Health Maintenance Organizations","Ryder Health Plan Inc","673270","1085153","503118","276412",,,"80201",,,"2618154"
"84603","Domestic Insurers","Humana Insurance of Puerto Rico, Inc.","67400551","663898",,,,,"85496",,"22787624","90937569"
"77054","Domestic Insurers","MAPFRE Life Insurance Company","59806747",,"11269211","712000",,,,,"4115457","75903415"
"60030","Domestic Insurers","MCS Life Insurance Company","226151337","24149157",,,,,,,,"250300494"
"71412","Foreign Insurers","Mutual of Omaha Insurance Company","1569859","1272399",,,,,"-122171",,,"2720087"
"72087","Domestic Insurers","Multinational Life Insurance Company",,,,,,,,,,
"12952","Domestic Insurers","Pan American Life  Insurance  Co of PR","17116743",,,,,,,,,"17116743"
"55816","Domestic Insurers","Triple-S Salud","603436481","96359658","43211354",,"152496016","81580","31128893","225114837","298543407","1450372226"
"60054","Foreign Insurers","Aetna Life Insurance Company","1027277","243",,,,,,,,"1027520"
"62308","Foreign Insurers","Connecticut  General Life Insurance Company","1209597",,,,,,,"6772",,"1216369"
"62146","Foreign Insurers","Combined Insurance Company of America","152","5884591",,,,,,,,"5884743"
"69868","Foreign Insurers","United of Omaha Life Insurance Company","8433",,,,,,"3132",,,"11565"
"79413","Foreign Insurers","UnitedHealthcare Insurance Company","394139",,,,,,"7987702","3784864",,"12166705"
