"municipio","naics","name","year","number_of_establishments","population","establecimientos_por_cada_100_000_habitantes"
"Adjuntas","722211","Limited-service restaurants","2005","9","19630","45.84819154"
"Aguada","722211","Limited-service restaurants","2005","19","42672","44.52568429"
"Aguadilla","722211","Limited-service restaurants","2005","41","63629","64.4360276"
"Aguas Buenas","722211","Limited-service restaurants","2005","5","29100","17.18213058"
"Aibonito","722211","Limited-service restaurants","2005","10","26570","37.63643207"
"Añasco","722211","Limited-service restaurants","2005","12","29231","41.05230748"
"Arecibo","722211","Limited-service restaurants","2005","45","99570","45.19433564"
"Arroyo","722211","Limited-service restaurants","2005","4","19663","20.34277577"
"Barceloneta","722211","Limited-service restaurants","2005","16","23989","66.69723623"
"Barranquitas","722211","Limited-service restaurants","2005","13","30185","43.06774888"
"Bayamón","722211","Limited-service restaurants","2005","150","218795","68.55732535"
"Cabo Rojo","722211","Limited-service restaurants","2005","27","49706","54.31939806"
"Caguas","722211","Limited-service restaurants","2005","97","143885","67.41494944"
"Camuy","722211","Limited-service restaurants","2005","12","35729","33.5861625"
"Canóvanas","722211","Limited-service restaurants","2005","15","46340","32.36944325"
"Carolina","722211","Limited-service restaurants","2005","116","183603","63.17979554"
"Cataño","722211","Limited-service restaurants","2005","12","29511","40.6628037"
"Cayey","722211","Limited-service restaurants","2005","32","48464","66.02839221"
"Ceiba","722211","Limited-service restaurants","2005","5","15907","31.43270258"
"Ciales","722211","Limited-service restaurants","2005","4","19545","20.46559222"
"Cidra","722211","Limited-service restaurants","2005","11","43807","25.11014221"
"Coamo","722211","Limited-service restaurants","2005","17","39741","42.77698095"
"Comerío","722211","Limited-service restaurants","2005","5","20756","24.08941993"
"Corozal","722211","Limited-service restaurants","2005","13","37574","34.59839251"
"Culebra","722211","Limited-service restaurants","2005","1","1873","53.39028297"
"Dorado","722211","Limited-service restaurants","2005","16","36744","43.54452428"
"Fajardo","722211","Limited-service restaurants","2005","26","39329","66.10897811"
"Florida","722211","Limited-service restaurants","2005","1","12726","7.85792865"
"Guánica","722211","Limited-service restaurants","2005","6","20914","28.68891652"
"Guayama","722211","Limited-service restaurants","2005","23","45501","50.5483396"
"Guayanilla","722211","Limited-service restaurants","2005","9","22641","39.7508944"
"Guaynabo","722211","Limited-service restaurants","2005","60","100362","59.78358343"
"Gurabo","722211","Limited-service restaurants","2005","12","41907","28.63483428"
"Hatillo","722211","Limited-service restaurants","2005","30","41122","72.95365011"
"Hormigueros","722211","Limited-service restaurants","2005","4","17165","23.30323332"
"Humacao","722211","Limited-service restaurants","2005","38","59666","63.68786243"
"Isabela","722211","Limited-service restaurants","2005","20","45743","43.72253678"
"Jayuya","722211","Limited-service restaurants","2005","8","17229","46.43333914"
"Juana Díaz","722211","Limited-service restaurants","2005","14","51442","27.21511605"
"Juncos","722211","Limited-service restaurants","2005","12","39052","30.72825976"
"Lajas","722211","Limited-service restaurants","2005","13","26394","49.25361825"
"Lares","722211","Limited-service restaurants","2005","9","32999","27.27355374"
"Las Marías","722211","Limited-service restaurants","2005","2","10609","18.85191818"
"Las Piedras","722211","Limited-service restaurants","2005","16","37278","42.92075755"
"Loíza","722211","Limited-service restaurants","2005","2","31757","6.297824102"
"Luquillo","722211","Limited-service restaurants","2005","11","20233","54.36662877"
"Manatí","722211","Limited-service restaurants","2005","28","45479","61.56687702"
"Maricao","722211","Limited-service restaurants","2005","2","6461","30.95496053"
"Maunabo","722211","Limited-service restaurants","2005","4","12659","31.59807252"
"Mayagüez","722211","Limited-service restaurants","2005","72","94791","75.95657816"
"Moca","722211","Limited-service restaurants","2005","17","40559","41.91424838"
