"municipalities","population_2010_census","unemployment_rate_department_of_labor_december_2012","population_25_with_a_bachelor_degree_or_higher_acs_2011","median_household_income_acs_2011","median_family_income_acs_2011"
"Municipalities"," Population 2010 (Census)",,,,
"Adjuntas","* 19,483","23.6","14.5","12975","16495"
"Aguada","* 41,959","14.5","18.0","14935","16885"
"Aguadilla","* 60,949","13.1","19.8","14779","18176"
"Aguas Buenas","* 28,659","14.8","15.2","13792","16416"
"Aibonito","* 25,900","15.8","20.1","15736","19336"
"Añasco","* 29,261","15.0","14.9","16291","18910"
"Arecibo","* 96,440","13.9","20.1","17089","20223"
"Arroyo","* 19,575","18.0","14.8","15551","17511"
"Barceloneta","* 24,816","14.2","16.9","16278","18341"
"Barranquitas","* 30,318","16.0","16.7","15117","15996"
"Bayamón","* 208,116","10.5","24.9","25248","29451"
"Cabo Rojo","* 50,917","12.7","20.3","15681","19370"
"Caguas","* 142,893","12.3","26.2","23177","27068"
"Camuy","* 35,159","14.0","16.0","16899","19566"
"Canóvanas","* 47,648","15.6","18.7","21849","24731"
"Carolina","* 176,762","9.8","26.6","28311","31639"
"Cataño","* 28,140","14.3","18.8","18193","22632"
"Cayey","* 48,119","14.9","20.3","20046","24213"
"Ceiba","* 13,631","13.9","22.0","19523","24974"
"Ciales","* 18,782","19.1","11.2","13936","15885"
"Cidra","* 43,480","15.5","20.5","23354","26070"
"Coamo","* 40,512","18.7","17.8","16347","18330"
"Comerío","* 20,778","19.5","13.5","12910","14509"
"Corozal","* 37,142","15.3","14.5","14641","16865"
"Culebra","* 1,818","6.5","10.7","17531","21579"
"Dorado","* 38,165","10.2","27.1","27701","32016"
"Fajardo","* 36,993","14.4","21.5","20176","23040"
"Florida","* 12,680","25.1","8.8","15693","17408"
"Guánica","* 19,427","20.8","14.3","12608","15127"
"Guayama","* 45,362","17.7","20.5","18593","21363"
"Guayanilla","* 21,581","17.0","15.5","15049","17395"
"Guaynabo","* 97,924","8.0","40.8","34661","39577"
"Gurabo","* 45,369","11.2","29.2","27834","31843"
"Hatillo","* 41,953","19.2","18.9","17847","19440"
"Hormigueros","* 17,250","14.2","21.8","19548","23264"
"Humacao","* 58,466","16.5","18.3","19404","22961"
"Isabela","* 45,631","13.8","16.4","13406","15828"
"Jayuya","* 16,642","18.1","18.4","17022","19573"
"Juana Díaz","* 50,747","14.9","18.3","16332","19174"
"Juncos","* 40,290","15.2","19.1","18579","21784"
"Lajas","* 25,753","18.1","14.5","14705","17097"
"Lares","* 30,753","19.6","15.2","12529","14917"
"Las Marías","* 9,881","13.5","12.9","15447","17212"
"Las Piedras","* 38,675","17.2","18.2","18327","20959"
"Loíza","* 30,060","16.4","13.3","18897","22339"
"Luquillo","* 20,068","16.5","17.6","19333","21878"
"Manatí","* 44,113","14.4","18.2","16982","20762"
"Maricao","* 6,276","20.2","12.4","11391","13500"
"Maunabo","* 12,225","19.9","12.2","15190","17377"
"Mayagüez","* 89,080","16.0","20.6","13986","18020"
"Moca","* 40,109","13.6","17.3","13479","16687"
"Morovis","* 32,610","17.1","13.2","13871","14779"
"Naguabo","* 26,720","18.1","17.6","16048","18053"
"Naranjito","* 30,402","14.7","13.3","14691","16730"
"Orocovis","* 23,423","21.7","14.5","13921","14990"
"Patillas","* 19,277","20.8","13.9","14506","17099"
"Peñuelas","* 24,282","15.6","13.7","14504","16229"
"Ponce","* 166,327","13.5","24.0","17273","20713"
"Quebradillas","* 25,919","15.2","17.2","13581","16291"
"Rincón","* 15,200","17.7","18.6","16773","19951"
"Río Grande","* 54,304","13.4","19.6","21329","24933"
"Sabana Grande","* 25,265","14.5","18.5","15530","18985"
"Salinas","* 31,078","22.7","14.1","12592","14660"
"San Germán","* 35,527","15.5","20.4","15417","19833"
"San Juan","* 395,326","9.3","32.4","23342","28104"
"San Lorenzo","* 41,058","14.6","15.0","17683","20000"
"San Sebastián","* 42,430","17.2","16.5","13148","15638"
"Santa Isabel","* 23,274","16.7","20.2","17601","20106"
"Toa Alta","* 74,066","9.4","23.8","26526","27472"
"Toa Baja","* 89,609","10.4","19.3","22942","26189"
"Trujillo Alto","* 74,842","9.0","31.6","30571","34061"
"Utuado","* 33,149","18.0","18.2","14153","16978"
"Vega Alta","* 39,951","12.9","17.1","17072","19668"
"Vega Baja","* 59,662","13.4","17.4","16249","18641"
"Vieques","* 9,301","13.0","13.7","16769","20074"
"Villalba","* 26,073","18.9","14.2","15951","17173"
"Yabucoa","* 37,941","21.2","13.8","17185","19669"
"Yauco","* 42,043","14.7","16.3","14493","17413"
"Promedio Puerto Rico","* 47,767","16","18",,
"Fuente: Censo del 2010, Estimados ETI, Junta de Planificación y Departamento de la Familia",,,,,
,"* 3,725,789",,,,
