"municipio","pais","nacimientos_2013","poblaci_n_2013","tasa_2013","location"
"Fuera de Puerto Rico","Puerto Rico","93",,,"
Fuera de Puerto Rico, Puerto Rico "
"Se desconoce","Puerto Rico","3",,,"
Se desconoce, Puerto Rico "
"Barranquitas","Puerto Rico","394","30040","13.1","
Barranquitas, Puerto Rico 
(18.18655, -66.3065)"
"Morovis","Puerto Rico","337","32617","10.3","
Morovis, Puerto Rico 
(18.32586, -66.40653)"
"Aguada","Puerto Rico","392","40993","9.6","
Aguada, Puerto Rico 
(18.38037, -67.18918)"
"Moca","Puerto Rico","395","39153","10.1","
Moca, Puerto Rico 
(18.39493, -67.11368)"
"Lajas","Puerto Rico","220","24973","8.8","
Lajas, Puerto Rico 
(18.05288, -67.05814)"
"Aguadilla","Puerto Rico","557","58440","9.5","
Aguadilla, Puerto Rico 
(18.4346, -67.15519)"
"Aguas Buenas","Puerto Rico","255","27956","9.1","
Aguas Buenas, Puerto Rico 
(18.25706, -66.10599)"
"Vieques","Puerto Rico","118","9241","12.8","
Vieques, Puerto Rico 
(18.14858, -65.4421)"
"Culebra","Puerto Rico","23","1828","12.6","
Culebra, Puerto Rico 
(18.30333, -65.30077)"
"Las Piedras","Puerto Rico","380","38946","9.8","
Las Piedras, Puerto Rico 
(18.18253, -65.8653)"
"Barceloneta","Puerto Rico","313","25026","12.5","
Barceloneta, Puerto Rico 
(18.45441, -66.53821)"
"Cayey","Puerto Rico","461","47033","9.8","
Cayey, Puerto Rico 
(18.11465, -66.16996)"
"Camuy","Puerto Rico","342","34239","10","
Camuy, Puerto Rico 
(18.48399, -66.84469)"
"Aibonito","Puerto Rico","272","24991","10.9","
Aibonito, Puerto Rico 
(18.13988, -66.26568)"
"Patillas","Puerto Rico","190","18587","10.2","
Patillas, Puerto Rico 
(18.00562, -66.01636)"
"Cidra","Puerto Rico","435","42852","10.2","
Cidra, Puerto Rico 
(18.17539, -66.16058)"
"Guayama","Puerto Rico","400","44246","9","
Guayama, Puerto Rico 
(17.9852, -66.11315)"
"Vega Baja","Puerto Rico","570","57455","9.9","
Vega Baja, Puerto Rico 
(18.44601, -66.38755)"
"Arecibo","Puerto Rico","914","93396","9.8","
Arecibo, Puerto Rico 
(18.47239, -66.71973)"
"Naguabo","Puerto Rico","261","27092","9.6","
Naguabo, Puerto Rico 
(18.21157, -65.73506)"
"San Juan","Puerto Rico","3798","374682","10.1","
San Juan, Puerto Rico 
(18.46633, -66.10474)"
"Luquillo","Puerto Rico","188","19662","9.6","
Luquillo, Puerto Rico 
(18.37669, -65.71652)"
"Ciales","Puerto Rico","221","18091","12.2","
Ciales, Puerto Rico 
(18.33624, -66.46974)"
