"municipio","_2006_std_1","_2006_td_1","_2006_std_2","_2006_td_2","_2009_std_1","_2009_td_1","_2009_std_2","_2009_td_2","_2010_std_1","_2010_td_1","_2010_std_2","_2010_td_2","_2011_std_1","_2011_td_1","_2011_std_2","_2011_td_2","_2012_std_1","_2012_td_1","_2012_std_2","_2012_td_2","_2013_std_1","_2013_td_1","_2013_std_2","_2013_td_2","_2014_std_1","_2014_td_1","_2014_std_2","_2014_td_2"
"Adjuntas","207","215","3.10","2.00","290","563","4.10","4.90","207","367","3.00","3.20","194","312","2.80","2.70","167","170","2.40","1.50","181","181","2.60","1.62","132","134","1.90","1.20"
"Aguada","813","2977","2.60","9.30","753","3108","3.70","13.60","834","2461","4.10","11.10","567","2044","2.80","9.40","576","579","2.90","2.80","940","949","4.60","4.58","917","967","4.50","4.70"
"Aguadilla","615","1247","0.80","1.40","772","813","1.30","1.20","1585","1769","2.60","2.60","2220","2358","3.60","3.40","3126","3375","5.10","4.80","3389","3579","5.50","5.04","2813","3191","4.60","4.50"
"Aguas Buenas","371","1195","2.10","6.50","354","503","3.00","4.20","356","532","3.00","4.40","381","441","3.20","3.70","392","461","3.30","3.90","478","559","4.00","4.66","489","509","4.10","4.30"
"Aibonito","726","906","4.20","4.10","534","864","3.70","4.50","1852","1966","11.70","9.70","1604","1875","10.30","9.30","1510","1906","9.70","9.50","1445","1707","9.30","8.55","1900","2130","11.90","10.40"
"Añasco","149","1043","0.60","2.50","192","305","1.10","1.10","153","176","0.90","0.60","253","253","1.40","0.90","128","128","0.70","0.40","466","472","2.60","1.62","279","515","1.60","1.80"
"Arecibo","764","3298","0.60","2.40","3048","3529","3.00","3.20","1054","1054","1.00","1.00","633","633","0.60","0.60","462","462","0.50","0.40","374","374","0.40","0.35","391","391","0.40","0.40"
"Arroyo","130","864","0.90","5.50","835","1374","5.60","8.40","3051","3162","17.70","17.40","955","976","6.30","6.10","988","1023","6.50","6.40","640","699","4.30","4.45","284","292","2.00","1.90"
"Barceloneta","375","375","1.10","0.70","346","346","1.20","0.80","278","309","1.00","0.70","252","252","0.90","0.60","734","991","2.50","2.20","611","798","2.10","1.79","1004","1811","3.40","4.00"
"Barranquitas","695","1369","3.60","3.90","726","955","5.20","3.90","542","835","3.90","3.40","504","598","3.70","2.50","535","619","3.90","2.60","459","722","3.30","2.99","651","689","4.70","2.90"
