"a_o","a_o_escolar","grupo","graduados","cohorte","porcentaje_graduados"
"2013-01-01T00:00:00.000","2012-13","TODOS LOS ESTUDIANTES","24520","35978","68.15"
"2013-01-01T00:00:00.000","2012-13","IMPEDIDOS","3094","5472","56.54"
"2013-01-01T00:00:00.000","2012-13","POR DEBAJO DEL NIVEL DE POBREZA","14463","22025","65.66"
"2013-01-01T00:00:00.000","2012-13","LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL","59","138","42.75"
"2013-01-01T00:00:00.000","2012-13","PUERTORRIQUEÑOS","24037","35387","67.92"
"2013-01-01T00:00:00.000","2012-13","HISPANOS NO PUERTORRIQUEÑOS","434","533","81.42"
"2013-01-01T00:00:00.000","2012-13","BLANCOS NO HISPANOS","28","31","90.32"
"2013-01-01T00:00:00.000","2012-13","OTRO ORIGEN ÉTNICO","21","27","77.77"
"2013-01-01T00:00:00.000","2012-13","FEMENINO","13381","18555","72.11"
"2013-01-01T00:00:00.000","2012-13","MASCULINO","11139","17423","63.93"
"2012-01-01T00:00:00.000","2011-12","TODOS LOS ESTUDIANTES","24708","38333","64.46"
"2012-01-01T00:00:00.000","2011-12","IMPEDIDOS","2807","5110","54.93"
"2012-01-01T00:00:00.000","2011-12","POR DEBAJO DEL NIVEL DE POBREZA","16467","27148","60.66"
"2012-01-01T00:00:00.000","2011-12","LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL","63","119","52.94"
"2012-01-01T00:00:00.000","2011-12","PUERTORRIQUEÑOS","24166","37743","64.03"
"2012-01-01T00:00:00.000","2011-12","HISPANOS NO PUERTORRIQUEÑOS","484","526","92.02"
"2012-01-01T00:00:00.000","2011-12","BLANCOS NO HISPANOS","30","34","88.24"
"2012-01-01T00:00:00.000","2011-12","OTRO ORIGEN ÉTNICO","28","30","93.33"
