"month_year","for_profit","non_profit","sub_total"
"2011-05-01T00:00:00.000","483","204","687"
"2011-06-01T00:00:00.000","748","300","1048"
"2011-07-01T00:00:00.000","607","291","898"
"2011-08-01T00:00:00.000","640","240","880"
"2011-09-01T00:00:00.000","721","324","1045"
"2011-10-01T00:00:00.000","728","328","1056"
"2011-11-01T00:00:00.000","638","275","913"
"2011-12-01T00:00:00.000","597","208","805"
"2012-01-01T00:00:00.000","796","342","1138"
"2012-02-01T00:00:00.000","795","372","1167"
"2012-03-01T00:00:00.000","884","339","1223"
"2012-04-01T00:00:00.000","744","317","1061"
"2012-05-01T00:00:00.000","883","311","1194"
"2012-06-01T00:00:00.000","803","313","1116"
"2012-07-01T00:00:00.000","662","275","937"
"2012-08-01T00:00:00.000","806","307","1113"
"2012-09-01T00:00:00.000","770","288","1058"
"2012-10-01T00:00:00.000","854","302","1156"
"2012-11-01T00:00:00.000","556","211","767"
"2012-12-01T00:00:00.000","600","233","833"
"2013-01-01T00:00:00.000","1027","296","1323"
"2013-02-01T00:00:00.000","910","387","1297"
"2013-03-01T00:00:00.000","835","342","1177"
"2013-04-01T00:00:00.000","879","373","1252"
"2013-05-01T00:00:00.000","893","323","1216"
"2013-06-01T00:00:00.000","784","292","1076"
"2013-07-01T00:00:00.000","748","251","999"
"2013-08-01T00:00:00.000","925","319","1244"
"2013-09-01T00:00:00.000","763","277","1040"
"2013-10-01T00:00:00.000","777","284","1061"
"2013-11-01T00:00:00.000","596","221","817"
"2013-12-01T00:00:00.000","600","188","788"
"2014-01-01T00:00:00.000","849","301","1150"
"2014-02-01T00:00:00.000","773","275","1048"
"2014-03-01T00:00:00.000","906","333","1239"
"2014-04-01T00:00:00.000","769","319","1088"
"2014-05-01T00:00:00.000","919","293","1212"
"2014-06-01T00:00:00.000","844","267","1111"
"2014-07-01T00:00:00.000","737","248","985"
"2014-08-01T00:00:00.000","814","264","1078"
"2014-09-01T00:00:00.000","852","306","1158"
"2014-10-01T00:00:00.000","872","225","1097"
