"total","a_o_escolar","pueblo"
"1539","2011-01-01T00:00:00.000","YAUCO"
"1536","2014-01-01T00:00:00.000","YAUCO"
"1820","2013-01-01T00:00:00.000","YAUCO"
"1576","2012-01-01T00:00:00.000","YAUCO"
"1162","2011-01-01T00:00:00.000","YABUCOA"
"1283","2013-01-01T00:00:00.000","YABUCOA"
"1217","2012-01-01T00:00:00.000","YABUCOA"
"1232","2014-01-01T00:00:00.000","YABUCOA"
"1154","2014-01-01T00:00:00.000","VILLALBA"
"1161","2011-01-01T00:00:00.000","VILLALBA"
"1197","2012-01-01T00:00:00.000","VILLALBA"
"1224","2013-01-01T00:00:00.000","VILLALBA"
"241","2012-01-01T00:00:00.000","VIEQUES"
"239","2013-01-01T00:00:00.000","VIEQUES"
"226","2011-01-01T00:00:00.000","VIEQUES"
"227","2014-01-01T00:00:00.000","VIEQUES"
"1848","2011-01-01T00:00:00.000","VEGA BAJA"
"1914","2014-01-01T00:00:00.000","VEGA BAJA"
"1977","2013-01-01T00:00:00.000","VEGA BAJA"
"1980","2012-01-01T00:00:00.000","VEGA BAJA"
"1387","2014-01-01T00:00:00.000","VEGA ALTA"
"1225","2011-01-01T00:00:00.000","VEGA ALTA"
"1363","2012-01-01T00:00:00.000","VEGA ALTA"
"1233","2013-01-01T00:00:00.000","VEGA ALTA"
"1030","2013-01-01T00:00:00.000","UTUADO"
"1145","2012-01-01T00:00:00.000","UTUADO"
"1114","2014-01-01T00:00:00.000","UTUADO"
"1165","2011-01-01T00:00:00.000","UTUADO"
"1456","2012-01-01T00:00:00.000","TRUJILLO ALTO"
"1440","2014-01-01T00:00:00.000","TRUJILLO ALTO"
"1297","2013-01-01T00:00:00.000","TRUJILLO ALTO"
"1312","2011-01-01T00:00:00.000","TRUJILLO ALTO"
"2860","2014-01-01T00:00:00.000","TOA BAJA"
"2621","2011-01-01T00:00:00.000","TOA BAJA"
"2572","2013-01-01T00:00:00.000","TOA BAJA"
"2802","2012-01-01T00:00:00.000","TOA BAJA"
"2120","2013-01-01T00:00:00.000","TOA ALTA"
"2024","2014-01-01T00:00:00.000","TOA ALTA"
"2036","2011-01-01T00:00:00.000","TOA ALTA"
"2317","2012-01-01T00:00:00.000","TOA ALTA"
"621","2011-01-01T00:00:00.000","SANTA ISABEL"
"763","2012-01-01T00:00:00.000","SANTA ISABEL"
"647","2013-01-01T00:00:00.000","SANTA ISABEL"
"763","2014-01-01T00:00:00.000","SANTA ISABEL"
"1637","2011-01-01T00:00:00.000","SAN SEBASTIAN"
"1715","2012-01-01T00:00:00.000","SAN SEBASTIAN"
"1751","2013-01-01T00:00:00.000","SAN SEBASTIAN"
"1597","2014-01-01T00:00:00.000","SAN SEBASTIAN"
"1347","2013-01-01T00:00:00.000","SAN LORENZO"
"1248","2012-01-01T00:00:00.000","SAN LORENZO"
"1228","2014-01-01T00:00:00.000","SAN LORENZO"
"1259","2011-01-01T00:00:00.000","SAN LORENZO"
"10138","2012-01-01T00:00:00.000","SAN JUAN"
"11240","2013-01-01T00:00:00.000","SAN JUAN"
"9480","2014-01-01T00:00:00.000","SAN JUAN"
"9944","2011-01-01T00:00:00.000","SAN JUAN"
"1428","2013-01-01T00:00:00.000","SAN GERMAN"
"1394","2012-01-01T00:00:00.000","SAN GERMAN"
"1180","2014-01-01T00:00:00.000","SAN GERMAN"
"1344","2011-01-01T00:00:00.000","SAN GERMAN"
"1299","2013-01-01T00:00:00.000","SALINAS"
"1099","2012-01-01T00:00:00.000","SALINAS"
"1176","2011-01-01T00:00:00.000","SALINAS"
"1159","2014-01-01T00:00:00.000","SALINAS"
"1212","2011-01-01T00:00:00.000","SABANA GRANDE"
"1570","2013-01-01T00:00:00.000","SABANA GRANDE"
"1285","2012-01-01T00:00:00.000","SABANA GRANDE"
"1010","2014-01-01T00:00:00.000","SABANA GRANDE"
"1437","2012-01-01T00:00:00.000","RIO GRANDE"
"1461","2013-01-01T00:00:00.000","RIO GRANDE"
"1395","2011-01-01T00:00:00.000","RIO GRANDE"
"1324","2014-01-01T00:00:00.000","RIO GRANDE"
"526","2013-01-01T00:00:00.000","RINCON"
"556","2011-01-01T00:00:00.000","RINCON"
"565","2012-01-01T00:00:00.000","RINCON"
