"station_code","station_name","y","x","elevation","coord_x_y","active"
"RQC00660040","ACEITUNA WTP","18.1469","-66.4919","598.9","(18.1469, -66.4919)","No"
"RQC00660053","ADJUNTAS 1 S","18.1614","-66.7222","506","(18.1614, -66.7222)","No"
"RQC00660061","ADJUNTAS SUBSTN","18.1747","-66.7978","557.8","(18.1747, -66.7978)","Yes"
"RQ1PRAL0002","AGUADILLA 2.7 NNE","18.4774","-67.1437","71.3","(18.4774, -67.1437)","Yes"
"RQ1PRAL0003","AGUADILLA 5.5 NNE","18.5083","-67.1124","39.9","(18.5083, -67.1124)","Yes"
"RQC00660105","AGUADILLA CITY","18.4333","-67.15","0","(18.4333, -67.15)","No"
"RQC00660147","AGUIRRE I","17.9667","-66.2167","14.9","(17.9667, -66.2167)","No"
"RQC00660152","AGUIRRE II","17.9556","-66.2222","7.6","(17.9556, -66.2222)","Yes"
"RQC00660158","AIBONITO 1 S","18.1281","-66.2642","710.2","(18.1281, -66.2642)","Yes"
"RQ1PRAN0002","ANASCO 0.5 SSW","18.2815","-67.1431","11.6","(18.2815, -67.1431)","No"
"RQC00660410","ARECIBO 3 ESE","18.4533","-66.6747","3","(18.4533, -66.6747)","No"
"RQ1PRAC0001","ARECIBO 5.2 ESE","18.4414","-66.6589","29.6","(18.4414, -66.6589)","Yes"
"RQC00660426","ARECIBO OBSY","18.3494","-66.7525","323.1","(18.3494, -66.7525)","Yes"
"RQ1PRAY0001","ARROYO 1.5 NNE","17.9901","-66.0518","36.3","(17.9901, -66.0518)","No"
"RQC00660662","BARCELONETA 2","18.4667","-66.5","3","(18.4667, -66.5)","No"
"RQC00660668","BARCELONETA 3 SW","18.4286","-66.5631","73.2","(18.4286, -66.5631)","No"
"RQC00660736","BARRANQUITAS","18.1667","-66.3167","627.9","(18.1667, -66.3167)","No"
"RQC00660849","BAYANEY","18.3833","-66.7833","262.1","(18.3833, -66.7833)","No"
"RQC00660900","BENAVENTE-HORMIGUEROS","18.1164","-67.1133","13.7","(18.1164, -67.1133)","No"
"RQC00660948","BOCA","17.9906","-66.8161","4.6","(17.9906, -66.8161)","No"
"RQW00011603","BORINQUEN AP","18.4981","-67.1294","66.4","(18.4981, -67.1294)","No"
"RQC00661123","CABO ROJO","18.0833","-67.15","75.9","(18.0833, -67.15)","No"
"RQ1PRCR0001","CABO ROJO 0.8 SE","18.0813","-67.1394","27.4","(18.0813, -67.1394)","Yes"
"RQC00661142","CACAOS-OROCOVIS","18.2258","-66.5039","554.7","(18.2258, -66.5039)","No"
"RQC00661300","CAGUAS","18.2333","-66.0333","75.9","(18.2333, -66.0333)","No"
"RQ1PRCG0001","CAGUAS 1.1 WSW","18.2273","-66.0543","90.5","(18.2273, -66.0543)","No"
"RQ1PRCG0002","CAGUAS 1.4 SW","18.2223","-66.0567","96.9","(18.2223, -66.0567)","Yes"
"RQC00661309","CAGUAS 1 W","18.2333","-66.05","79.2","(18.2333, -66.05)","No"
"RQC00661301","CAGUAS 2 ENE","18.25","-66.0167","53.9","(18.25, -66.0167)","No"
"RQC00661345","CALERO CAMP","18.4725","-67.1156","85","(18.4725, -67.1156)","Yes"
"RQC00661423","CAMBALACHE EXP FOREST","18.45","-66.6","29.9","(18.45, -66.6)","No"
"RQC00660842","CANDELARIA TOA BAJA","18.4167","-66.2","45.1","(18.4167, -66.2)","No"
"RQC00661536","CANDELARIA TOA BAJA","18.4","-66.2167","75","(18.4, -66.2167)","No"
"RQC00661590","CANOVANAS","18.3792","-65.8939","9.1","(18.3792, -65.8939)","No"
"RQC00661623","CAONILLAS UTUADO","18.2833","-66.65","260.3","(18.2833, -66.65)","No"
"RQC00661634","CAONILLAS VILLALBA","18.1167","-66.4833","182","(18.1167, -66.4833)","No"
