"ï»¿""geometry__type",id,properties__OBJECTID,properties__WIFI,properties__CNTY,properties__EASTING,properties__NOMBRE,properties___id,properties__MUNICIPIO,properties__NORTHING,geometry__coordinates001,geometry__coordinates002,properties__MUNICIPI_1
Point,0,1,OK,7,"(18.2567, -66.1027)",Plaza de Recreo,1,Aguas Buenas,"(18.2567, -66.1027)","(-66.10274727180112, 18.256664521375058)","(-66.10274727180112, 18.256664521375058)",Aguas Buenas
Point,1,2,OK,1,"(18.1624, -66.7232)",Plaza de Recreo,2,Adjuntas,"(18.1624, -66.7232)","(-66.72323681058734, 18.16237142281046)","(-66.72323681058734, 18.16237142281046)",Adjuntas
Point,2,3,OK,3,"(18.3796, -67.1886)",Plaza de Recreo,3,Aguada,"(18.3796, -67.1886)","(-67.1886038317915, 18.37964455585452)","(-67.1886038317915, 18.37964455585452)",Aguada
Point,3,4,OK,5,"(18.4181, -67.1554)",Plaza PlÃ¡cido Acevedo,4,Aguadilla,"(18.4181, -67.1554)","(-67.1553553989534, 18.418107174550464)","(-67.1553553989534, 18.418107174550464)",Aguadilla
Point,4,5,OK,5,"(18.4294, -67.1545)",Plaza de Recreo,5,Aguadilla,"(18.4294, -67.1545)","(-67.15446728846649, 18.429432060298094)","(-67.15446728846649, 18.429432060298094)",Aguadilla
Point,5,6,NF,9,"(18.1394, -66.2664)",Plaza de Recreo,6,Aibonito,"(18.1394, -66.2664)","(-66.26635064133625, 18.139400713432316)","(-66.26635064133625, 18.139400713432316)",Aibonito
Point,6,7,DEC,11,"(18.2827, -67.14)",Plaza de Recreo,7,AÃ±asco,"(18.2827, -67.14)","(-67.14004808440212, 18.282692814575462)","(-67.14004808440212, 18.282692814575462)",AÃ±asco
Point,7,8,DEC,11,"(18.2821, -67.1402)",Plaza de Recreo,8,AÃ±asco,"(18.2821, -67.1402)","(-67.14022556346742, 18.28213015369648)","(-67.14022556346742, 18.28213015369648)",AÃ±asco
Point,8,9,ND,13,"(18.4739, -66.729)",Parque Julio RodrÃguez Olmo,9,Arecibo,"(18.4739, -66.729)","(-66.72901860556037, 18.473930377051335)","(-66.72901860556037, 18.473930377051335)",Arecibo
Point,9,10,ND,13,"(18.4721, -66.716)",Plaza de Recreo,10,Arecibo,"(18.4721, -66.716)","(-66.71599822514358, 18.47205412777932)","(-66.71599822514358, 18.47205412777932)",Arecibo
Point,10,11,ND,13,"(18.4725, -66.7119)",Plaza El Fuerte,11,Arecibo,"(18.4725, -66.7119)","(-66.711876403205, 18.47251996273606)","(-66.711876403205, 18.47251996273606)",Arecibo
Point,11,12,OK,15,"(17.9642, -66.0616)",Plaza de Recreo,12,Arroyo,"(17.9642, -66.0616)","(-66.06161565455567, 17.96418199185059)","(-66.06161565455567, 17.96418199185059)",Arroyo
Point,12,13,OK,17,"(18.4547, -66.5387)",Plaza de Recreo,13,Barceloneta,"(18.4547, -66.5387)","(-66.53874504152235, 18.454732541012675)","(-66.53874504152235, 18.454732541012675)",Barceloneta
Point,13,14,OK,19,"(18.1864, -66.3066)",Plaza de Recreo,14,Barranquitas,"(18.1864, -66.3066)","(-66.30660084238863, 18.186388335731014)","(-66.30660084238863, 18.186388335731014)",Barranquitas
Point,14,15,ND,21,"(18.3988, -66.1557)",Plaza de Recreo,15,BayamÃ³n,"(18.3988, -66.1557)","(-66.15572888852549, 18.398787826399847)","(-66.15572888852549, 18.398787826399847)",BayamÃ³n
Point,15,16,OKJRT,23,"(18.087, -67.146)",Plaza de Recreo,16,Cabo Rojo,"(18.087, -67.146)","(-67.14599615607322, 18.086993328177176)","(-67.14599615607322, 18.086993328177176)",Cabo Rojo
Point,16,17,OK,25,"(18.2345, -66.0349)",Plaza de Recreo,17,Caguas,"(18.2345, -66.0349)","(-66.03494316781843, 18.234526449324296)","(-66.03494316781843, 18.234526449324296)",Caguas
Point,17,18,OK,27,"(18.4841, -66.8446)",Plaza de Recreo,18,Camuy,"(18.4841, -66.8446)","(-66.84458539227218, 18.484068415744957)","(-66.84458539227218, 18.484068415744957)",Camuy
Point,18,19,NF,29,"(18.3791, -65.9011)",Plaza de Recreo,19,CanÃ³vanas,"(18.3791, -65.9011)","(-65.90113039620587, 18.379077847513198)","(-65.90113039620587, 18.379077847513198)",CanÃ³vanas
Point,19,20,DOA,31,"(18.3809, -65.9569)",Plaza de Recreo,20,Carolina,"(18.3809, -65.9569)","(-65.95690182181757, 18.380920805300136)","(-65.95690182181757, 18.380920805300136)",Carolina
Point,20,21,DOA,33,"(18.4409, -66.1192)",Plaza de Recreo,21,CataÃ±o,"(18.4409, -66.1192)","(-66.11917757048934, 18.440925749003267)","(-66.11917757048934, 18.440925749003267)",CataÃ±o
Point,21,22,ND,35,"(18.1127, -66.1659)",Plaza de Recreo,22,Cayey,"(18.1127, -66.1659)","(-66.16591073708227, 18.112671132838162)","(-66.16591073708227, 18.112671132838162)",Cayey
Point,22,23,OK,37,"(18.2652, -65.648)",Plaza de Recreo,23,Ceiba,"(18.2652, -65.648)","(-65.64797899009999, 18.265180623969865)","(-65.64797899009999, 18.265180623969865)",Ceiba
Point,23,24,ND,39,"(18.3364, -66.4683)",Plaza de Recreo,24,Ciales,"(18.3364, -66.4683)","(-66.46833615161499, 18.33640312471177)","(-66.46833615161499, 18.33640312471177)",Ciales
Point,24,25,ND,41,"(18.1756, -66.161)",Plaza de Recreo,25,Cidra,"(18.1756, -66.161)","(-66.1609831312439, 18.17562419355683)","(-66.1609831312439, 18.17562419355683)",Cidra
Point,25,26,OK,43,"(18.0807, -66.3562)",Plaza de Recreo,26,Coamo,"(18.0807, -66.3562)","(-66.35616495885992, 18.080677825928998)","(-66.35616495885992, 18.080677825928998)",Coamo
Point,26,27,OK,45,"(18.2183, -66.2268)",Plaza de Recreo,27,ComerÃo,"(18.2183, -66.2268)","(-66.22681626597343, 18.218312279397903)","(-66.22681626597343, 18.218312279397903)",ComerÃo
Point,27,28,OK,47,"(18.3405, -66.3173)",Plaza de Recreo,28,Corozal,"(18.3405, -66.3173)","(-66.31734176845534, 18.340521687457407)","(-66.31734176845534, 18.340521687457407)",Corozal
Point,28,29,OK,49,"(18.3017, -65.3024)",Plaza de Recreo,29,Culebra,"(18.3017, -65.3024)","(-65.30241539591134, 18.301668631767978)","(-65.30241539591134, 18.301668631767978)",Culebra
Point,29,30,OK,51,"(18.4595, -66.2619)",Plaza de Recreo,30,Dorado,"(18.4595, -66.2619)","(-66.26190681463682, 18.45951624489713)","(-66.26190681463682, 18.45951624489713)",Dorado
Point,30,31,OK,53,"(18.3246, -65.6531)",Plaza de Recreo,31,Fajardo,"(18.3246, -65.6531)","(-65.65309339574726, 18.324576897030813)","(-65.65309339574726, 18.324576897030813)",Fajardo
Point,31,32,OK,54,"(18.3629, -66.5672)",Plaza de Recreo,32,Florida,"(18.3629, -66.5672)","(-66.56706131768885, 18.36293487060677)","(-66.56706131768885, 18.36293487060677)",Florida
Point,32,33,ND,55,"(17.9723, -66.908)",Plaza de Recreo,33,GuÃ¡nica,"(17.9723, -66.908)","(-66.90803726181936, 17.9722989834699)","(-66.90803726181936, 17.9722989834699)",GuÃ¡nica
Point,33,34,NF,57,"(17.9851, -66.1137)",Plaza de Recreo,34,Guayama,"(17.9851, -66.1137)","(-66.11368860782537, 17.98508241865278)","(-66.11368860782537, 17.98508241865278)",Guayama
Point,34,35,DEC,59,"(18.0176, -66.79)",Plaza de Recreo,35,Guayanilla,"(18.0176, -66.79)","(-66.78995468397777, 18.017592617442066)","(-66.78995468397777, 18.017592617442066)",Guayanilla
Point,35,36,OK,61,"(18.3579, -66.112)",Plaza de Recreo,36,Guaynabo,"(18.3579, -66.112)","(-66.11201162946303, 18.35785144920483)","(-66.11201162946303, 18.35785144920483)",Guaynabo
Point,36,37,ND,63,"(18.2555, -65.9725)",Plaza de Recreo,37,Gurabo,"(18.2555, -65.9725)","(-65.97247707917646, 18.25553171111494)","(-65.97247707917646, 18.25553171111494)",Gurabo
